,PI4KA (5297)
ACH-000004,-1.22265503447
ACH-000007,-1.24657515179
ACH-000009,-1.03470704286
ACH-000011,-0.731214297061
ACH-000012,-1.2585310183299998
ACH-000013,-1.02726292378
ACH-000014,-0.618788950942
ACH-000015,-1.08550047085
ACH-000017,-1.03618827336
ACH-000018,-1.33339076858
ACH-000019,-1.02297065258
ACH-000021,-0.405672242385
ACH-000022,-1.31119597073
ACH-000025,-1.1154096724
ACH-000028,-0.955628344289
ACH-000030,-1.29490768362
ACH-000035,-1.1433068362999999
ACH-000036,-1.11845005095
ACH-000037,-0.646396743932
ACH-000039,-1.0987478612200001
ACH-000040,-1.0354394585700002
ACH-000041,-1.04937313417
ACH-000042,-1.15159984572
ACH-000045,-1.0408833182100001
ACH-000047,-1.0414591721
ACH-000052,-0.658222988457
ACH-000053,-1.1445026180600002
ACH-000054,-1.0282891387100002
ACH-000055,-1.1968230154700001
ACH-000060,-1.24742800228
ACH-000067,-1.141530191
ACH-000070,-0.875677676452
ACH-000075,-0.750266486075
ACH-000078,-1.08503052715
ACH-000082,-1.12046532878
ACH-000085,-1.03617691354
ACH-000086,-0.995058320002
ACH-000087,-1.0849044375599999
ACH-000092,-0.9949874890420001
ACH-000095,-0.971906800865
ACH-000097,-1.0826087119
ACH-000098,-1.11892534152
ACH-000099,-0.957102464542
ACH-000108,-1.0563144443
ACH-000113,-0.986619462368
ACH-000115,-0.866885073859
ACH-000116,-0.9975449393160001
ACH-000118,-0.9077677808310001
ACH-000120,-0.940450411162
ACH-000123,-1.18908676783
ACH-000127,-0.721763851451
ACH-000128,-1.0309108598299999
ACH-000132,-1.29394235882
ACH-000133,-1.1147889282899999
ACH-000137,-1.0507657402600001
ACH-000138,-1.02758656173
ACH-000142,-1.06691399826
ACH-000143,-1.0376130611499998
ACH-000146,-0.8572549230679999
ACH-000148,-0.9470820462809999
ACH-000150,-0.9995111532969999
ACH-000152,-0.89453988516
ACH-000153,-0.8437528311
ACH-000159,-0.8706621643420001
ACH-000160,-1.12242229001
ACH-000163,-0.8359972936740001
ACH-000167,-1.41160785509
ACH-000168,-0.826927867903
ACH-000169,-1.0487704005399998
ACH-000178,-0.902820578839
ACH-000182,-0.742967314751
ACH-000183,-1.11756265519
ACH-000188,-0.9941651062010001
ACH-000189,-1.04444227223
ACH-000190,-1.229145105
ACH-000198,-0.988696532843
ACH-000204,-0.89065559694
ACH-000206,-0.7245335901019999
ACH-000207,-0.9494435624690001
ACH-000211,-0.974084211392
ACH-000215,-1.00031575739
ACH-000221,-1.06863938485
ACH-000222,-0.895894114212
ACH-000223,-1.0430125448
ACH-000226,-1.1528774070999999
ACH-000227,-0.548725758855
ACH-000228,-1.33438939018
ACH-000231,-0.9262020686700001
ACH-000232,-1.12304332184
ACH-000233,-1.07857657952
ACH-000234,-1.0713981826799999
ACH-000235,-0.963688408927
ACH-000237,-1.10521057686
ACH-000238,-0.8877182790620001
ACH-000243,-1.00208821895
ACH-000244,-0.923639891829
ACH-000246,-0.9987282752330001
ACH-000248,-0.979019836042
ACH-000250,-0.8332649156919999
ACH-000251,-1.18044042499
ACH-000253,-1.10351859915
ACH-000255,-1.0380662657100002
ACH-000256,-1.48412765859
ACH-000257,-0.893214978883
ACH-000258,-0.8859446540520001
ACH-000259,-0.9379301056139999
ACH-000260,-0.937010191546
ACH-000261,-1.08164318176
ACH-000262,-0.6662803976780001
ACH-000263,-1.028958239
ACH-000264,-1.24463901037
ACH-000265,-0.9594945445149999
ACH-000266,-1.06867859725
ACH-000272,-1.27521753676
ACH-000273,-1.03123286214
ACH-000274,-1.0491082497600002
ACH-000277,-1.19338915752
ACH-000278,-1.35382478194
ACH-000279,-0.9544450084020001
ACH-000280,-1.26763828914
ACH-000281,-1.03995952549
ACH-000288,-1.19351912279
ACH-000291,-0.451411346755
ACH-000293,-1.4837544603900001
ACH-000294,-0.852725611011
ACH-000295,-0.915606443988
ACH-000296,-1.28265333248
ACH-000302,-1.33264288354
ACH-000304,-0.9550969097249999
