,DMRTA2 (63950)
ACH-000004,-0.251508282358
ACH-000007,-0.119002023019
ACH-000009,-0.440630746819
ACH-000011,-0.531922768062
ACH-000012,-0.612151654493
ACH-000013,-0.500404037362
ACH-000014,-0.368907090936
ACH-000015,-0.476908915345
ACH-000017,-0.6851073002150001
ACH-000018,-0.22912884394299998
ACH-000019,-0.476636361088
ACH-000021,-0.226418915907
ACH-000022,-0.555761572761
ACH-000025,-0.44340736733400005
ACH-000028,-0.299258785176
ACH-000030,-0.48899640293799995
ACH-000035,-0.670279607774
ACH-000036,-0.32217219927900004
ACH-000037,-0.28138325793499996
ACH-000039,-0.42578947459100003
ACH-000040,-0.533857077832
ACH-000041,-0.551210285255
ACH-000042,-0.35956846835100004
ACH-000045,-0.31708772661
ACH-000047,-0.188695885847
ACH-000052,-0.626923471464
ACH-000053,-0.340500748239
ACH-000054,-0.439333519138
ACH-000055,-0.398562945085
ACH-000060,-0.72116734494
ACH-000067,-0.401029703816
ACH-000070,-0.614941900147
ACH-000075,-0.44726161103600004
ACH-000078,-0.575369730439
ACH-000082,-0.386619930723
ACH-000085,-0.295032011675
ACH-000086,-0.44790429225
ACH-000087,-0.388345089349
ACH-000092,-0.545404781844
ACH-000095,-0.49661545786899997
ACH-000097,-0.469377305959
ACH-000098,-0.427609995771
ACH-000099,-0.409446887149
ACH-000108,-0.31685061982900004
ACH-000113,-0.355185927169
ACH-000115,-0.394838237645
ACH-000116,-0.3838943689
ACH-000118,-0.147728570451
ACH-000120,-0.370870139388
ACH-000123,-0.370306413138
ACH-000127,-0.53564657755
ACH-000128,-0.659500042646
ACH-000132,-0.371721735313
ACH-000133,-0.539049019727
ACH-000137,-0.6267177314119999
ACH-000138,-0.140478302042
ACH-000142,-0.40366620408200005
ACH-000143,-0.493768779147
ACH-000146,-0.288554252535
ACH-000148,-0.405330465629
ACH-000150,-0.465553379473
ACH-000152,-0.6165625622550001
ACH-000153,-0.369716052513
ACH-000159,-0.580638201168
ACH-000160,-0.530160636133
ACH-000163,-0.256679514274
ACH-000167,-0.377677659309
ACH-000168,-0.0247405340327
ACH-000169,-0.548117952341
ACH-000178,-0.425859902812
ACH-000182,-0.24200339454300002
ACH-000183,-0.46778060049599995
ACH-000188,-0.5477124831
ACH-000189,-0.303054417778
ACH-000190,-0.470046594093
ACH-000198,-0.346392792717
ACH-000204,-0.564492105556
ACH-000206,-0.325726864733
ACH-000207,-0.184406853327
ACH-000211,-0.40456900988600003
ACH-000215,-0.401083467099
ACH-000221,-0.43061927672899997
ACH-000222,-0.12436021930999999
ACH-000223,-0.38727515704800003
ACH-000226,-0.456426394779
ACH-000227,-0.39816496326899997
ACH-000228,-0.30800114532
ACH-000231,-0.261982259482
ACH-000232,-0.606529189841
ACH-000233,-0.40927913204000005
ACH-000234,-0.401606918911
ACH-000235,-0.39465771659000004
ACH-000237,-0.507607020743
ACH-000238,-0.43778000218900004
ACH-000243,-0.29165184382599996
ACH-000244,-0.5662017972919999
ACH-000246,-0.371504139737
ACH-000248,-0.339172694181
ACH-000250,-0.320253645531
ACH-000251,-0.45100178879600006
ACH-000253,-0.49912278276199995
ACH-000255,-0.52051058357
ACH-000256,-0.312092840163
ACH-000257,-0.7193166946699999
