,SCGB1C1 (147199)
ACH-000004,-0.286627207487
ACH-000007,-0.500443274733
ACH-000009,-0.8021257626389999
ACH-000011,-0.72683313426
ACH-000012,-0.625769703593
ACH-000013,-0.326517680261
ACH-000014,-0.8726604402150001
ACH-000015,-0.447617940861
ACH-000017,-0.585377128366
ACH-000018,-0.672154297459
ACH-000019,-0.41412259755999997
ACH-000021,-0.340821102135
ACH-000022,-0.506595128477
ACH-000025,-0.81197751427
ACH-000028,-0.606396573697
ACH-000030,-0.653504618567
ACH-000035,-0.52436421104
ACH-000036,-0.8419457705940001
ACH-000037,-0.725243301055
ACH-000039,-0.84938344093
ACH-000040,-0.6783768258439999
ACH-000041,-0.32670273601100003
ACH-000042,-0.709534643206
ACH-000045,-0.407509951403
ACH-000047,-0.6082196454609999
ACH-000052,-0.353219693561
ACH-000053,-0.6756191701790001
ACH-000054,-0.688183273615
ACH-000055,-0.568049705607
ACH-000060,-0.7024982409489999
ACH-000067,-0.781072860026
ACH-000070,-0.481625537432
ACH-000075,-0.920369183249
ACH-000078,-0.845192366698
ACH-000082,-0.661967700432
ACH-000085,-0.723660383842
ACH-000086,-0.5606824547339999
ACH-000087,-0.530895060767
ACH-000092,-0.548475400038
ACH-000095,-0.7854637278479999
ACH-000097,-0.43572854697200003
ACH-000098,-0.563424237778
ACH-000099,-0.9452948533069999
ACH-000108,-0.637530916853
ACH-000113,-0.506753660265
ACH-000115,-0.7921167658830001
ACH-000116,-0.645834664316
ACH-000118,-0.38532848515100004
ACH-000120,-0.518664214063
ACH-000123,-0.754028917181
ACH-000127,-0.370547955889
ACH-000128,-0.590718255709
ACH-000132,-0.617279398526
ACH-000133,-0.6137971834179999
ACH-000137,-0.669786478839
ACH-000138,-0.61872842486
ACH-000142,-0.9577166224779999
ACH-000143,-0.446826788003
ACH-000146,-0.55115717257
ACH-000148,-0.748674392475
ACH-000150,-0.7809125560369999
ACH-000152,-0.608780594429
ACH-000153,-0.43529225522500004
ACH-000159,-0.652862082122
ACH-000160,-0.35742388159599997
ACH-000163,-0.562840240483
ACH-000167,-0.297194712905
ACH-000168,-1.10438699436
ACH-000169,-0.623637672119
ACH-000178,-0.685552595175
ACH-000182,-0.44905663782300004
ACH-000183,-0.595842672761
ACH-000188,-0.579047534707
ACH-000189,-0.5480376226829999
ACH-000190,-0.7749871811929999
ACH-000198,-0.732547010062
ACH-000204,-0.543788790027
ACH-000206,-0.317429982645
ACH-000207,-1.40866106783
ACH-000211,-0.757320532822
ACH-000215,-0.711359679218
ACH-000221,-0.333674778168
ACH-000222,-0.744403828106
ACH-000223,-0.782369312438
ACH-000226,-0.607668954421
ACH-000227,-0.530015254698
ACH-000228,-0.533861671645
ACH-000231,-0.642128845373
ACH-000232,-0.5038782285660001
ACH-000233,-0.709619615781
ACH-000234,-0.7705198739810001
ACH-000235,-0.636320307868
ACH-000237,-0.6939867257019999
ACH-000238,-0.823442226117
ACH-000243,-0.633469846681
ACH-000244,-0.741289201945
ACH-000246,-0.691881998369
ACH-000248,-0.416385547515
ACH-000250,-0.878613855454
ACH-000251,-0.45866876295599995
ACH-000253,-1.0985659324200001
ACH-000255,-0.164639944341
ACH-000256,-0.91339762638
ACH-000257,-0.696120521583
ACH-000258,-0.7721187149709999
ACH-000259,-0.798992342969
ACH-000260,-0.583940490937
ACH-000261,-0.553332506887
ACH-000262,-0.636163029075
ACH-000263,-0.456296826686
