,LLPH (84298)
ACH-000004,-0.341082795867
ACH-000007,-0.0786775283247
ACH-000009,-0.551348928357
ACH-000011,-0.6249202552709999
ACH-000012,-0.44857458463
ACH-000013,-0.48160894597099996
ACH-000014,-0.422432125704
ACH-000015,-0.572465216086
ACH-000017,-0.0830323931939
ACH-000018,-0.679529406813
ACH-000019,-0.0957405993839
ACH-000021,-0.321308103126
ACH-000022,-0.262136314395
ACH-000025,-0.326002861871
ACH-000028,-0.38606367954899995
ACH-000030,-0.5429382482230001
ACH-000035,-0.354143539395
ACH-000036,-0.18303277440299998
ACH-000037,-0.248718699043
ACH-000039,-0.617317513389
ACH-000040,-0.343162450582
ACH-000041,-0.454838009578
ACH-000042,-0.308770695279
ACH-000045,-0.463202309534
ACH-000047,-0.32664667032600003
ACH-000052,-0.264403378886
ACH-000053,-0.315093574372
ACH-000054,-0.27239760694000004
ACH-000055,-0.561738927319
ACH-000060,-0.33223798342599997
ACH-000067,-0.4937457083199999
ACH-000070,-0.322566839611
ACH-000075,-0.320255862775
ACH-000078,-0.369648440258
ACH-000082,-0.598291051673
ACH-000085,-0.517339930247
ACH-000086,-0.416996565536
ACH-000087,-0.322143822332
ACH-000092,-0.32006427617600003
ACH-000095,-0.492291902139
ACH-000097,-0.435144646167
ACH-000098,-0.336202823094
ACH-000099,-0.332539163453
ACH-000108,-0.151812223759
ACH-000113,-0.366582101659
ACH-000115,-0.401703770585
ACH-000116,-0.46110622433
ACH-000118,-0.561157693342
ACH-000120,-0.40238608787
ACH-000123,-0.416256913218
ACH-000127,-0.534339035882
ACH-000128,-0.543539979499
ACH-000132,-0.0675334264858
ACH-000133,-0.6751924797319999
ACH-000137,-0.462492768407
ACH-000138,-0.38621534708599997
ACH-000142,-0.312442222374
ACH-000143,-0.215325279314
ACH-000146,-0.332993374901
ACH-000148,-0.449342553634
ACH-000150,-0.398072876344
ACH-000152,-0.482126095666
ACH-000153,-0.35691411832099995
ACH-000159,-0.188771721932
ACH-000160,-0.715971416766
ACH-000163,-0.656367144665
ACH-000167,-0.5087775558150001
ACH-000168,-0.521287552425
ACH-000169,-0.420770054256
