,SLX4 (84464)
ACH-000004,-0.281824455701
ACH-000007,-0.176180713658
ACH-000009,-0.0244751995383
ACH-000011,-0.235993232159
ACH-000012,-0.294389351558
ACH-000013,-0.177950028012
ACH-000014,-0.158328622429
ACH-000015,-0.251372289845
ACH-000017,-0.08383968296339998
ACH-000018,-0.324170180335
ACH-000019,-0.393247377051
ACH-000021,-0.422669329837
ACH-000022,-0.16903846881200002
ACH-000025,-0.261685770031
ACH-000028,-0.013161630018200001
ACH-000030,-0.029703801117199998
ACH-000035,-0.319761625976
ACH-000036,-0.384425797676
ACH-000037,-0.191880637366
ACH-000039,-0.395623316166
ACH-000040,-0.45804442538999995
ACH-000041,0.026473540608599997
ACH-000042,-0.23423075673500002
ACH-000045,-0.309611730169
ACH-000047,-0.35321352998000005
ACH-000052,-0.158094670243
ACH-000053,-0.320294140169
ACH-000054,-0.33664301617700004
ACH-000055,-0.539899314954
ACH-000060,-0.354731553551
ACH-000067,-0.209312916217
ACH-000070,-0.35573096001599996
ACH-000075,-0.0836579442864
ACH-000078,-0.27569768478900003
ACH-000082,-0.42146422012900003
ACH-000085,-0.14507348865999997
ACH-000086,-0.22534899120000002
ACH-000087,-0.551501040119
ACH-000092,-0.210344412392
ACH-000095,-0.247131451817
ACH-000097,-0.07870096414149999
ACH-000098,-0.332530398818
ACH-000099,-0.225049517212
ACH-000108,-0.34267586054
ACH-000113,-0.39464871136999996
ACH-000115,-0.440107546232
ACH-000116,-0.321862035856
ACH-000118,-0.430261317742
ACH-000120,-0.453101332759
ACH-000123,-0.15132371107599998
ACH-000127,-0.303175150868
ACH-000128,-0.038959709961599996
ACH-000132,-0.285802695457
ACH-000133,-0.212374063883
ACH-000137,-0.154978997946
ACH-000138,-0.0498909807964
ACH-000142,-0.250712102911
ACH-000143,-0.0362869461733
ACH-000146,-0.258666443337
ACH-000148,-0.406608943122
ACH-000150,-0.588642897964
ACH-000152,-0.32184815132100003
ACH-000153,-0.080817349764
ACH-000159,-0.169869698631
ACH-000160,-0.13046417659
ACH-000163,-0.492628542327
ACH-000167,-0.394187557372
ACH-000168,-0.593623357509
ACH-000169,-0.204374330309
ACH-000178,-0.307464399667
ACH-000182,-0.034245070838099995
ACH-000183,-0.43014263149899995
ACH-000188,-0.04688355359680001
ACH-000189,-0.650588898017
ACH-000190,-0.147061172947
ACH-000198,-0.406279800956
ACH-000204,-0.275858925213
ACH-000206,-0.225715871465
ACH-000207,-0.181620375999
ACH-000211,-0.302897069693
ACH-000215,-0.192789867931
ACH-000221,-0.0537667255881
ACH-000222,-0.33849229865599995
ACH-000223,-0.0889510821827
ACH-000226,-0.30201323456900003
ACH-000227,-0.35950252206999994
ACH-000228,-0.283974046317
ACH-000231,-0.397578800891
ACH-000232,-0.260529155258
ACH-000233,-0.349064209731
ACH-000234,-0.0682325779589
ACH-000235,-0.19029993954799998
ACH-000237,-0.30933975117699997
ACH-000238,-0.20969737173300002
ACH-000243,-0.38990102068099997
ACH-000244,-0.551082745771
ACH-000246,-0.30692822710400003
ACH-000248,0.12164955268100001
ACH-000250,-0.2942184077
ACH-000251,-0.288369471912
ACH-000253,-0.148152689958
ACH-000255,-0.156406985489
ACH-000256,-0.203962662023
ACH-000257,-0.25985331855
ACH-000258,-0.329763812744
ACH-000259,-0.297593225109
ACH-000260,-0.22437078472199998
ACH-000261,-0.363657600677
ACH-000262,-0.410643654578
ACH-000263,-0.49557007401299996
ACH-000264,-0.275143116652
