,ADSS (159)
ACH-000004,-0.865283113746
ACH-000007,-0.510277047708
ACH-000009,-0.5782025919789999
ACH-000011,-0.624481583697
ACH-000012,-0.311968469629
ACH-000013,-0.16987850939500002
ACH-000014,-0.549187292195
ACH-000015,-0.233637880114
ACH-000017,-0.970677083838
ACH-000018,-0.257681351463
ACH-000019,-0.596400779688
ACH-000021,-0.261137235984
ACH-000022,-0.476743651506
ACH-000025,-0.767759146258
ACH-000028,-0.244603844476
ACH-000030,-0.910274946703
ACH-000035,-0.231375817484
ACH-000036,-0.242890259439
ACH-000037,-0.598875291071
ACH-000039,-0.417454729397
ACH-000040,-0.315325467096
ACH-000041,-0.42528658618799997
ACH-000042,-0.369654515367
ACH-000045,-0.34481447299999995
ACH-000047,-0.825264847233
ACH-000052,-0.138822542266
ACH-000053,-0.930283658065
ACH-000054,-0.28927680200399997
ACH-000055,-0.6216238258160001
ACH-000060,-0.21641099278499998
ACH-000067,-0.169322495021
ACH-000070,-0.887876748312
ACH-000075,-0.0450924387847
ACH-000078,-0.161447936406
ACH-000082,-0.315268597321
ACH-000085,-0.020424971668799998
ACH-000086,-0.260009213919
ACH-000087,-0.7023750590350001
ACH-000092,-0.297790218103
ACH-000095,-0.17547378742199998
ACH-000097,-0.440518946364
ACH-000098,-0.273247115766
ACH-000099,-0.428708086863
ACH-000108,-0.7521099689059999
ACH-000113,-0.537602301324
ACH-000115,-0.285380464733
ACH-000116,-0.259956779779
ACH-000118,-0.8429217954359999
ACH-000120,-0.169661140734
ACH-000123,-0.187738320337
ACH-000127,-0.652338956743
ACH-000128,-0.18385172672800001
ACH-000132,-0.37844383460000003
ACH-000133,-0.21913336949700002
ACH-000137,-0.29655499786
ACH-000138,-0.412750070365
ACH-000142,-0.625542177122
ACH-000143,-0.461205094572
ACH-000146,-0.715893533368
ACH-000148,-0.467788258896
ACH-000150,-0.166544953937
ACH-000152,-0.487095564485
ACH-000153,-0.655695699207
ACH-000159,-0.782538355918
ACH-000160,-0.36126522522200005
ACH-000163,-0.605134502172
ACH-000167,-0.464893356811
ACH-000168,-0.841385937346
ACH-000169,0.00612650052992
ACH-000178,-0.667047156922
ACH-000182,-0.231607387207
ACH-000183,-0.489664663183
ACH-000188,-0.19726427107099997
ACH-000189,-0.8567985603470001
ACH-000190,-0.220789825225
ACH-000198,-0.722715830253
ACH-000204,-0.773770753723
ACH-000206,-0.995905530989
ACH-000207,-0.515408538323
ACH-000211,-0.27499275641
ACH-000215,-0.200209668662
ACH-000221,-0.19606327485599997
ACH-000222,-0.983594577239
ACH-000223,-0.618072650339
ACH-000226,-0.680847606719
ACH-000227,0.009984939693399999
ACH-000228,-0.39706751035300003
ACH-000231,-0.301438960987
ACH-000232,-0.318797777635
ACH-000233,-0.816214618742
ACH-000234,-0.855293327676
ACH-000235,-0.910686439553
ACH-000237,-0.46107330202
ACH-000238,-0.3786043678
ACH-000243,-0.585113507373
ACH-000244,-0.171090607468
ACH-000246,-0.332663414349
ACH-000248,-0.6226160225280001
ACH-000250,-0.691695642075
ACH-000251,-0.465665631521
ACH-000253,-0.9684613664700001
ACH-000255,0.0173645937738
ACH-000256,-0.537877536181
ACH-000257,-0.0890775509283
ACH-000258,-0.792490211987
ACH-000259,-0.31556772736600003
ACH-000260,-0.329071212194
ACH-000261,-0.41810145645900004
ACH-000262,-0.334887049734
ACH-000263,-0.764582603225
ACH-000264,-0.41443043871
ACH-000265,-0.144159497851
ACH-000266,-0.7338846067139999
ACH-000272,-1.13556491207
ACH-000273,-0.476328225212
ACH-000274,-0.38481207167
ACH-000277,-0.803368285532
ACH-000278,-0.7224314083040001
ACH-000279,-0.492076626994
ACH-000280,-0.0996225760044
ACH-000281,-0.738259169321
ACH-000288,-0.384621984091
ACH-000291,-0.0507704100639
ACH-000293,-0.306680084144
ACH-000294,-0.8410207194329999
ACH-000295,-0.810489029909
ACH-000296,-0.42810661523599997
ACH-000302,-0.294561678599
ACH-000304,-0.45963601735299997
ACH-000307,-0.839902967373
ACH-000308,-0.5111186867
ACH-000310,-0.40953801330899997
ACH-000311,-0.665032276025
ACH-000312,-0.145169728907
ACH-000315,-0.907281387832
ACH-000316,-0.34226274117
ACH-000317,-0.941002171207
ACH-000318,-0.317701387564
ACH-000319,-0.324173638835
ACH-000320,-0.548895888621
ACH-000322,-0.565372128221
ACH-000323,-0.104905943528
ACH-000324,-0.301063618488
ACH-000329,-0.374839401352
ACH-000330,-0.80761779779
ACH-000331,0.018381778285299997
ACH-000332,-0.41691689557800005
ACH-000334,-1.1432145895899999
ACH-000335,-0.6503896745059999
ACH-000336,-0.306428005832
ACH-000337,-0.940332071939
ACH-000339,-1.12632830962
ACH-000341,-0.562627452164
ACH-000348,-0.464894407556
ACH-000350,-0.352963179894
ACH-000352,-0.8996660236799998
ACH-000356,-0.8527387979819999
ACH-000361,-0.208558291796
ACH-000362,-0.705988276126
ACH-000363,-1.05116428781
ACH-000364,-0.401022686916
ACH-000365,-0.911990230301
ACH-000366,-0.14262369117100002
ACH-000368,-0.22199624429200002
ACH-000374,-0.0985950106485
ACH-000375,-0.34693798216
ACH-000376,-0.218271384835
ACH-000381,-0.9841931540000001
ACH-000383,-1.0545945922
ACH-000387,-0.8592937619299998
ACH-000389,-0.0960489032524
ACH-000390,-0.25785428531
ACH-000393,-0.535120465061
ACH-000395,-0.76410099413
ACH-000397,-0.575228173619
ACH-000401,-0.7454989897409999
ACH-000402,-0.419043407467
ACH-000403,-0.465762339319
ACH-000404,-0.607026430987
ACH-000406,-0.983220356095
ACH-000407,-0.225388088272
ACH-000408,-0.0629365809179
ACH-000410,-0.680122284477
ACH-000411,-0.910524702597
ACH-000414,-0.298562711299
ACH-000415,-0.289635994588
ACH-000416,-1.2587273506299999
ACH-000420,-0.315715050419
ACH-000421,-0.34652109364100003
ACH-000424,-0.243453576653
ACH-000425,-0.692074912973
ACH-000426,-1.3440277060499999
ACH-000427,-0.162127351612
ACH-000433,-0.179745114393
ACH-000436,-0.953820852968
ACH-000444,-0.22147399357099998
ACH-000445,-0.315433022224
ACH-000448,-0.503702480255
ACH-000450,-0.44752986668000005
ACH-000452,-0.169889740952
ACH-000454,-0.546377117197
ACH-000458,-0.350426450321
ACH-000459,-0.786966141812
ACH-000460,-0.952473585829
ACH-000461,-0.264753345873
ACH-000463,-0.158660019219
ACH-000464,-0.286420844925
ACH-000466,-0.317179902772
ACH-000467,-0.801225642279
ACH-000468,-0.503181351219
ACH-000469,-0.251162667331
ACH-000470,-0.60226983313
ACH-000471,-0.851444030483
ACH-000472,-0.36161769971600005
ACH-000473,-0.0759446891983
ACH-000475,-0.424484813234
ACH-000476,-0.448286693567
ACH-000477,-0.5174341595049999
ACH-000480,-0.025049486616700003
ACH-000481,-0.568418919718
ACH-000483,-0.32706590698800003
ACH-000484,-0.8312504566150001
ACH-000485,-0.7081024734550001
ACH-000486,-0.342797404995
ACH-000487,-0.668593754121
ACH-000488,0.106749022321
ACH-000490,-0.127468386252
