,TUBA3D (113457)
ACH-000004,-0.380880262646
ACH-000007,-0.500244762662
ACH-000009,-0.623803869726
ACH-000011,-0.49076319894500003
ACH-000012,-0.409215599153
ACH-000013,-0.332265665056
ACH-000014,-0.559086028024
ACH-000015,-0.568503615945
ACH-000017,-0.350014291607
ACH-000018,-0.354117309858
ACH-000019,-0.443481544572
ACH-000021,-0.518649273729
ACH-000022,-0.271846621059
ACH-000025,-0.394975750552
ACH-000028,-0.45019550160800004
ACH-000030,-0.49211923414
ACH-000035,-0.23935079688900002
ACH-000036,-0.49596304754500004
ACH-000037,-0.378863362319
ACH-000039,-0.400286869213
ACH-000040,-0.263770694711
ACH-000041,-0.374980662408
ACH-000042,-0.50903816278
ACH-000045,-0.285055343776
ACH-000047,-0.459433815504
ACH-000052,-0.354070011288
ACH-000053,-0.39952311342
ACH-000054,-0.564435546101
ACH-000055,-0.156910094561
ACH-000060,-0.113218952384
ACH-000067,-0.333661440361
ACH-000070,-0.33374017184300003
ACH-000075,-0.289819784019
ACH-000078,-0.42123435386
ACH-000082,-0.310737539983
ACH-000085,-0.23139540829100003
ACH-000086,-0.538034680419
ACH-000087,-0.440237723487
ACH-000092,-0.602954399317
ACH-000095,-0.492237534063
ACH-000097,-0.507094423439
ACH-000098,-0.226156190297
ACH-000099,-0.44765888457900005
ACH-000108,-0.493806790682
ACH-000113,-0.442350878741
ACH-000115,-0.290033233281
ACH-000116,-0.268268405422
ACH-000118,-0.475502886374
ACH-000120,-0.251508081167
ACH-000123,-0.451999321654
ACH-000127,-0.32558535286699997
ACH-000128,-0.541822928526
ACH-000132,-0.45906501723399995
ACH-000133,-0.167638378535
ACH-000137,-0.519499627956
ACH-000138,-0.42333251350400003
ACH-000142,-0.254787117108
ACH-000143,-0.35970559317199996
ACH-000146,-0.210904883552
ACH-000148,-0.280844535223
ACH-000150,-0.313492684219
ACH-000152,-0.351405530598
ACH-000153,-0.38046448908
ACH-000159,-0.617373091538
ACH-000160,-0.517356282995
ACH-000163,-0.36464870452500003
ACH-000167,-0.65509358072
ACH-000168,-0.341470869041
ACH-000169,-0.362463745762
ACH-000178,-0.313782954585
ACH-000182,-0.462982309934
ACH-000183,-0.257043054416
ACH-000188,-0.317440397361
ACH-000189,-0.467042099484
ACH-000190,-0.16410878693199998
ACH-000198,-0.438503098218
ACH-000204,-0.536117645101
ACH-000206,-0.573772974045
ACH-000207,-0.535060441098
ACH-000211,-0.5257064719210001
ACH-000215,-0.313150005168
ACH-000221,-0.301806570758
ACH-000222,-0.428981967193
ACH-000223,-0.590106141063
ACH-000226,-0.411752080689
ACH-000227,-0.47612156118999993
ACH-000228,-0.711281494516
ACH-000231,-0.288699945906
ACH-000232,-0.503084796723
ACH-000233,-0.569166394849
ACH-000234,-0.553024048987
ACH-000235,-0.45294038954300003
ACH-000237,-0.42783264406599997
ACH-000238,-0.235129599037
ACH-000243,-0.527196269089
ACH-000244,-0.430211564278
ACH-000246,-0.5259838898899999
ACH-000248,-0.40097509994999997
ACH-000250,-0.345735035286
ACH-000251,-0.34301444559600003
ACH-000253,-0.575430371616
ACH-000255,-0.37331890591
ACH-000256,-0.331882983072
ACH-000257,-0.0570380642251
ACH-000258,-0.279832168635
ACH-000259,-0.39290113641999996
ACH-000260,-0.390016838647
ACH-000261,-0.330326198279
ACH-000262,-0.32628879508499997
ACH-000263,-0.390360659653
ACH-000264,-0.294016273028
ACH-000265,-0.558998725728
ACH-000266,-0.590079648242
ACH-000272,-0.43783864156400004
ACH-000273,-0.313867241456
ACH-000274,-0.47920405824100004
ACH-000277,-0.259514084448
ACH-000278,-0.24969013685199998
ACH-000279,-0.581367801158
ACH-000280,-0.45437185158200005
ACH-000281,-0.36953260758400003
ACH-000288,-0.361378350906
ACH-000291,-0.37242445008599995
ACH-000293,-0.30451806195799996
ACH-000294,-0.5374387339410001
ACH-000295,-0.313902970167
ACH-000296,-0.37364993475
ACH-000302,-0.48683611665
ACH-000304,-0.493641396817
ACH-000307,-0.479171848941
ACH-000308,-0.508418052513
ACH-000310,-0.583081078874
ACH-000311,-0.579845606649
ACH-000312,-0.308542949074
ACH-000315,-0.37852080785
ACH-000316,-0.34997315026299997
ACH-000317,-0.504979542179
ACH-000318,-0.40427329165299997
ACH-000319,-0.293822866815
ACH-000320,-0.734029983142
ACH-000322,-0.40106073029600003
ACH-000323,-0.477807964169
ACH-000324,-0.596995642346
ACH-000329,-0.472315937879
ACH-000330,-0.39826460413900006
ACH-000331,-0.486525429789
ACH-000332,-0.41251942518299994
ACH-000334,-0.496928340264
ACH-000335,-0.42293378165299994
ACH-000336,-0.9446367404189999
ACH-000337,-0.26967846167
ACH-000339,-0.477866972708
ACH-000341,-0.30885271807500003
ACH-000348,-0.23386093975400002
ACH-000350,-0.264932790938
ACH-000352,-0.41214221968500003
ACH-000356,-0.35810873257200004
ACH-000361,-0.426329943267
ACH-000362,-0.42733102192100003
ACH-000363,-0.302745233989
ACH-000364,-0.5576100252830001
ACH-000365,-0.487024082692
ACH-000366,-0.460027611443
ACH-000368,-0.39771860850699997
ACH-000374,-0.53310649688
ACH-000375,-0.44427627370800005
ACH-000376,-0.322605446477
ACH-000381,-0.464775320663
ACH-000383,-0.327255061848
ACH-000387,-0.454978502552
ACH-000389,-0.47279091785800004
ACH-000390,-0.544526985025
ACH-000393,-0.665582539732
ACH-000395,-0.475784846388
ACH-000397,-0.344708916674
ACH-000401,-0.225985593288
ACH-000402,0.127731718824
ACH-000403,-0.726184618135
ACH-000404,-0.290488815214
ACH-000406,-0.417202924978
ACH-000407,-0.492679746777
ACH-000408,-0.57364643526
ACH-000410,-0.21198845419
ACH-000411,-0.40118561445600004
ACH-000414,-0.460882580898
ACH-000415,-0.522508416366
ACH-000416,-0.442419828575
ACH-000420,-0.31282090032800003
ACH-000421,-0.329799222686
ACH-000424,-0.449738858816
ACH-000425,-0.485653811963
ACH-000426,-0.320785756322
ACH-000427,-0.47045219361900004
ACH-000433,-0.44787054390000003
ACH-000436,-0.322504763836
ACH-000444,-0.563731167982
ACH-000445,-0.41133745476899997
ACH-000448,-0.34454092682099996
ACH-000450,-0.376657294014
ACH-000452,-0.35335660685500003
ACH-000454,-0.35137553501400004
ACH-000458,-0.354816938987
ACH-000459,-0.249917725956
ACH-000460,-0.439203667148
ACH-000461,-0.42755940510300006
ACH-000463,-0.5996125170000001
ACH-000464,-0.48824793899499996
ACH-000466,-0.696847240089
ACH-000467,-0.269609651213
ACH-000468,-0.464515075301
ACH-000469,-0.345557858645
ACH-000470,-0.478982726929
ACH-000471,-0.438697525851
ACH-000472,-0.441885257862
ACH-000473,-0.234332708996
ACH-000475,-0.536033930883
ACH-000476,-0.355012161074
ACH-000477,-0.35150466053999996
ACH-000480,-0.28685989462
ACH-000481,-0.659467949203
ACH-000483,-0.371444510118
ACH-000484,-0.349082466722
ACH-000485,-0.5075512723800001
ACH-000486,-0.51893504367
ACH-000487,-0.40227103562
ACH-000488,-0.182351932175
ACH-000490,-0.258345618146
ACH-000491,-0.490541749829
ACH-000495,-0.8182614434209999
ACH-000496,-0.622378614939
ACH-000499,-0.351084023348
ACH-000500,-0.694149481627
ACH-000502,-0.245465466175
ACH-000503,-0.278428349907
ACH-000505,-0.36803658057300004
ACH-000507,-0.329145598326
ACH-000510,-0.57517107867
ACH-000511,-0.350527990295
ACH-000512,-0.419120486451
