,TEKT1 (83659)
ACH-000004,-0.42147663875299995
ACH-000007,-0.40747313783699995
ACH-000009,-0.295297884552
ACH-000011,-0.000982213318583
ACH-000012,-0.0721329131398
ACH-000013,-0.0770853801014
ACH-000014,-0.187987497819
ACH-000015,-0.282939631078
ACH-000017,0.0200233523198
ACH-000018,-0.0695178542373
ACH-000019,-0.371378259078
ACH-000021,0.00137780504832
ACH-000022,0.0199844806986
ACH-000025,-0.17763549103
ACH-000028,-0.152676815046
ACH-000030,-0.0891644580875
ACH-000035,-0.0577304793489
ACH-000036,-0.0524425201313
ACH-000037,-0.219036799734
ACH-000039,-0.0682828115029
ACH-000040,-0.13058091006300002
ACH-000041,-0.15617215717900002
ACH-000042,-0.158233706161
ACH-000045,-0.22624247537300002
ACH-000047,-0.10406886914100001
ACH-000052,-0.19357352353
ACH-000053,-0.12598314306
ACH-000054,-0.0404758985629
ACH-000055,0.069263418246
ACH-000060,-0.165836976407
ACH-000067,-0.12216309431299999
ACH-000070,0.0337286081637
ACH-000075,0.203185612247
ACH-000078,-0.277502471059
ACH-000082,-0.140586640945
ACH-000085,-0.15238015715199998
ACH-000086,0.0951784321167
ACH-000087,0.101878331076
ACH-000092,0.0814898743936
ACH-000095,-0.118582905524
ACH-000097,0.0249586689248
ACH-000098,-0.14347031168500002
ACH-000099,-0.256495718969
ACH-000108,-0.0740077137395
ACH-000113,-0.10800045397
ACH-000115,-0.0519464489073
ACH-000116,-0.0385856910913
ACH-000118,-0.024274619294300002
ACH-000120,-0.16916532607299997
ACH-000123,-0.09581857712369998
ACH-000127,-0.252093471739
ACH-000128,-0.388812149947
ACH-000132,-0.101881743957
ACH-000133,-0.040421773824
ACH-000137,0.288118776728
ACH-000138,-0.139768623738
ACH-000142,-0.21467237941599998
ACH-000143,-0.0891363899103
ACH-000146,-0.15299961099099998
ACH-000148,-0.216408661368
ACH-000150,0.0723476231054
ACH-000152,-0.166863403798
ACH-000153,0.0531737902873
ACH-000159,-0.0658175432145
ACH-000160,0.0128292945218
ACH-000163,-0.132731703618
ACH-000167,-0.00477032300101
ACH-000168,-0.331189072198
