,SMU1 (55234)
ACH-000004,-2.24651394607
ACH-000007,-1.7623431883900003
ACH-000009,-1.9724887454799997
ACH-000011,-1.5900507383000002
ACH-000012,-1.7634009460900002
ACH-000013,-1.9520838318
ACH-000014,-1.9474282815900001
ACH-000015,-1.8539222011200003
ACH-000017,-1.9814682266099999
ACH-000018,-1.7002632980799999
ACH-000019,-2.20366087663
ACH-000021,-1.83125880413
ACH-000022,-2.00687004071
ACH-000025,-1.6280257645200003
ACH-000028,-1.8390525969099998
ACH-000030,-1.8972567656000001
ACH-000035,-1.37167026009
ACH-000036,-1.7330439003
ACH-000037,-2.34824070852
ACH-000039,-1.95577875607
ACH-000040,-1.8664880298700002
ACH-000041,-1.5353119113299998
ACH-000042,-1.86443345944
ACH-000045,-1.9785442383
ACH-000047,-1.99314909064
ACH-000052,-1.7630840831099999
ACH-000053,-1.84645608694
ACH-000054,-1.77864311762
ACH-000055,-1.94690811254
ACH-000060,-1.7448900970299999
ACH-000067,-1.33576433154
ACH-000070,-2.0967360510799997
ACH-000075,-1.68883695417
ACH-000078,-2.15765174156
ACH-000082,-1.75952157268
ACH-000085,-1.83669888526
ACH-000086,-1.6147177391999998
ACH-000087,-1.72228880023
ACH-000092,-1.6572012865399999
ACH-000095,-2.0351277452
ACH-000097,-2.0871516726
ACH-000098,-1.9286121091900004
ACH-000099,-1.87539941838
ACH-000108,-1.8868617056599999
ACH-000113,-1.9795664941599997
ACH-000115,-2.3377735182599997
ACH-000116,-1.5544724337600002
ACH-000118,-1.7354886157
ACH-000120,-1.5914950865700002
ACH-000123,-1.90755707657
ACH-000127,-1.9682674745299997
ACH-000128,-1.5125314653100002
ACH-000132,-1.9591792568900002
ACH-000133,-1.70103885975
ACH-000137,-1.8205521970700003
ACH-000138,-1.69011355652
ACH-000142,-1.6092041643500001
ACH-000143,-1.69994482114
ACH-000146,-1.7852745005500001
ACH-000148,-1.9093064587900002
ACH-000150,-1.6108165826299998
ACH-000152,-1.7031669789700001
ACH-000153,-1.3133452786700002
ACH-000159,-1.9802097966999999
ACH-000160,-2.5232401870500003
ACH-000163,-1.9484374021200002
ACH-000167,-2.44458392446
ACH-000168,-1.70207754695
ACH-000169,-1.79739438601
ACH-000178,-1.64867624938
ACH-000182,-2.04906361484
ACH-000183,-1.77314511255
ACH-000188,-1.8253577518900002
ACH-000189,-1.7407962024
ACH-000190,-1.68132707209
ACH-000198,-2.04803943176
ACH-000204,-1.8551220435299998
ACH-000206,-1.8646644554400003
ACH-000207,-2.4738733650999998
ACH-000211,-1.5040372340600001
ACH-000215,-2.1296251121400003
ACH-000221,-2.2447065935
ACH-000222,-2.0311156605400003
ACH-000223,-2.1170965821400003
ACH-000226,-1.67499586991
ACH-000227,-2.05360674968
ACH-000228,-1.9058345592700001
ACH-000231,-1.69835352244
ACH-000232,-2.0095673682700004
ACH-000233,-1.99810815502
ACH-000234,-1.68305301385
ACH-000235,-1.94914676885
ACH-000237,-1.79707253449
ACH-000238,-2.1626036848599997
ACH-000243,-1.5543950689800001
ACH-000244,-1.71946795151
ACH-000246,-1.7112682226
ACH-000248,-1.61789594051
ACH-000250,-1.81301200692
ACH-000251,-1.7307001567099998
ACH-000253,-1.94536217963
ACH-000255,-1.3950123571200002
ACH-000256,-2.09226638968
ACH-000257,-1.9477144355900002
ACH-000258,-2.2432948034
ACH-000259,-1.82613120118
ACH-000260,-1.6740434492899998
ACH-000261,-1.6863040172
ACH-000262,-1.66122469821
ACH-000263,-1.9763165404799998
ACH-000264,-2.0075127158000003
ACH-000265,-1.84700621395
ACH-000266,-1.55875596419
ACH-000272,-1.88573004847
ACH-000273,-1.4490745686700002
ACH-000274,-2.12144194692
ACH-000277,-2.3208162214
ACH-000278,-1.88135320545
ACH-000279,-2.09867344163
ACH-000280,-1.8143800869099997
ACH-000281,-1.5857663733200003
ACH-000288,-1.8058722223400003
ACH-000291,-1.80885002985
ACH-000293,-1.68573000847
ACH-000294,-1.77758740824
ACH-000295,-2.24802762415
ACH-000296,-2.01296329677
ACH-000302,-1.8654870618700001
ACH-000304,-1.93992745053
ACH-000307,-1.79751716877
ACH-000308,-2.23094779399
ACH-000310,-2.1645132242200003
ACH-000311,-1.71660648268
ACH-000312,-1.69685737149
ACH-000315,-1.8293833959099999
ACH-000316,-1.80522479965
ACH-000317,-1.77692143211
ACH-000318,-1.77903990629
ACH-000319,-1.53228253044
ACH-000320,-1.8623164679
ACH-000322,-2.16351648818
