,LBH (81606)
ACH-000004,0.0181052042746
ACH-000007,0.0194705917435
ACH-000009,-0.061426191903099996
ACH-000011,0.054124797755199995
ACH-000012,0.101240178695
ACH-000013,0.0664841251628
ACH-000014,-0.202954078037
ACH-000015,-0.0622453844042
ACH-000017,-0.0503434805452
ACH-000018,0.111515524824
ACH-000019,-0.123191181098
ACH-000021,-0.0491046553971
ACH-000022,-0.010826703026299999
ACH-000025,-0.0744694931244
ACH-000028,-0.0340328009515
ACH-000030,-0.0462945382986
ACH-000035,-0.107453544268
ACH-000036,-0.0410740505439
ACH-000037,-0.179981883172
ACH-000039,-0.0185902052594
ACH-000040,0.0027794116005500006
ACH-000041,0.0387761935216
ACH-000042,-0.0160542901602
ACH-000045,-0.000475276489161
ACH-000047,0.000868981653597
ACH-000052,0.0279036065998
ACH-000053,-0.0175762858348
ACH-000054,-0.11264134755300001
ACH-000055,0.00288056168505
ACH-000060,-0.029207111768099998
ACH-000067,-0.0697273799433
ACH-000070,-0.061172942694
ACH-000075,-0.00270278948048
ACH-000078,-0.150489344004
ACH-000082,-0.0750164565475
ACH-000085,0.0782177334189
ACH-000086,-0.014862583134600002
ACH-000087,-0.173282422301
ACH-000092,-0.09053313065179999
ACH-000095,-0.06863424943640001
ACH-000097,-0.0144442897392
ACH-000098,-0.0517871249828
ACH-000099,-0.08886111749
ACH-000108,-0.09618996402310001
ACH-000113,0.015718714704799998
ACH-000115,-0.038159339660699995
ACH-000116,0.026468427645
ACH-000118,0.058952525703999996
ACH-000120,-0.04933386388640001
ACH-000123,-0.09253954954119999
ACH-000127,-0.10351407282
ACH-000128,-0.122515051165
ACH-000132,-0.0170903365673
ACH-000133,0.023003120386099998
ACH-000137,-0.08608088570219999
ACH-000138,0.0481767825359
ACH-000142,0.0317575596288
ACH-000143,0.031220194045599996
ACH-000146,-0.0493677046559
ACH-000148,0.000276518505954
ACH-000150,0.145725635357
ACH-000152,-0.108396043701
ACH-000153,-0.107991077633
ACH-000159,0.0278248724071
ACH-000160,0.0417153780572
ACH-000163,-0.148906134409
ACH-000167,-0.311987934881
ACH-000168,-0.164907852333
ACH-000169,0.072773994047
ACH-000178,-0.0380431014499
ACH-000182,-0.08853733454330001
ACH-000183,0.0417661242249
ACH-000188,-0.09324928352800001
ACH-000189,-0.247867329141
ACH-000190,-0.187223187155
ACH-000198,-0.0725165270903
ACH-000204,-0.143348316404
ACH-000206,0.0261406846685
ACH-000207,-0.057497205576
ACH-000211,-0.0887072690508
ACH-000215,-0.116796801185
ACH-000221,0.18505253545000003
ACH-000222,0.201509212843
ACH-000223,-0.054964664303599996
ACH-000226,-0.0710195998227
ACH-000227,-0.210189564117
ACH-000228,0.0786450638081
ACH-000231,-0.0838663908006
ACH-000232,-0.0283757637213
ACH-000233,0.0138470471002
ACH-000234,-0.18194920926199998
ACH-000235,-0.0765259676816
ACH-000237,-0.085037972948
ACH-000238,-0.039628941694
ACH-000243,-0.0747177916993
ACH-000244,-0.19150944426600003
ACH-000246,-0.022687160762999998
ACH-000248,0.162913268002
ACH-000250,-0.000780174037557
ACH-000251,-0.168641165711
ACH-000253,-0.117327846308
ACH-000255,-0.08948403647389999
ACH-000256,0.0533407006024
ACH-000257,0.0946534498891
ACH-000258,-0.19316276222399997
ACH-000259,-0.141016635021
ACH-000260,-0.024280718839099998
ACH-000261,0.15925477942500002
ACH-000262,-0.125781751902
ACH-000263,-0.448151337381
ACH-000264,-0.09399714784089999
ACH-000265,-0.0322991085857
ACH-000266,-0.0474457420094
ACH-000272,-0.0773102074446
ACH-000273,-0.017510774767
ACH-000274,-0.149700304822
ACH-000277,-0.277045782445
ACH-000278,-0.0703093368638
ACH-000279,-0.0570469458885
ACH-000280,-0.0214122359827
ACH-000281,0.086000400724
ACH-000288,-0.0360594762585
ACH-000291,-0.08634930648160001
ACH-000293,-0.10276472107000001
ACH-000294,-0.07271540783080001
ACH-000295,-0.314012136437
ACH-000296,0.14768876509
ACH-000302,0.0121321215651
ACH-000304,-0.10097586348
ACH-000307,-0.151364072659
ACH-000308,-0.0159317595009
ACH-000310,0.08155036725110001
ACH-000311,-7.0016546405e-05
ACH-000312,-0.10015732283399999
ACH-000315,0.14350833427200002
ACH-000316,0.0319190390546
ACH-000317,-0.123849661021
ACH-000318,-0.192322982256
ACH-000319,0.153775081343
ACH-000320,0.132890600306
ACH-000322,0.08556226211710001
ACH-000323,0.047366613258
ACH-000324,-0.009233744890940001
ACH-000329,0.0747548846588
ACH-000330,-0.05976048026869999
ACH-000331,-0.0542886553378
ACH-000332,-0.10673303739199999
ACH-000334,-0.199284777958
ACH-000335,-0.10562026213199999
ACH-000336,-0.24985729551600003
ACH-000337,0.0377985173839
ACH-000339,-0.00979140876231
ACH-000341,0.0668931118375
ACH-000348,-0.007423807735659999
ACH-000350,0.165358923162
ACH-000352,-0.0152449577926
ACH-000356,-0.00554445406446
ACH-000361,-0.199584708959
ACH-000362,-0.0988791665013
ACH-000363,0.018055979312499998
ACH-000364,0.0529989961275
ACH-000365,-0.0969048080067
ACH-000366,-0.176060583616
ACH-000368,-0.143052198547
ACH-000374,-0.0807987943887
ACH-000375,-0.33026877809
ACH-000376,-0.07146741328110001
ACH-000381,-0.146623280938
ACH-000383,-0.0473771339534
ACH-000387,-0.0112811093179
ACH-000389,-0.0704151612392
ACH-000390,-0.0532842945969
ACH-000393,-0.145099583818
ACH-000395,-0.0724602797618
ACH-000397,-0.171970314933
ACH-000401,0.05301768184669999
ACH-000402,0.046425938782099996
ACH-000403,-0.024494868366099997
ACH-000404,-0.304996013369
ACH-000406,-0.0070323062568699996
ACH-000407,-0.126104468709
ACH-000408,0.10519749251
ACH-000410,-0.126126245052
ACH-000411,-0.0708943284672
ACH-000414,0.151117382383
ACH-000415,0.11801350960899999
ACH-000416,-0.0334789112644
ACH-000420,0.034580939727
ACH-000421,-0.039804398368300006
ACH-000424,0.014260744835700001
ACH-000425,-0.0665936499205
ACH-000426,-0.061527345419699994
ACH-000427,-0.0333286130999
ACH-000433,0.0019658395586800003
ACH-000436,-0.005584585891
ACH-000444,-0.128850976212
ACH-000445,0.21110947603799998
ACH-000448,-0.212123986112
ACH-000450,0.298009525075
ACH-000452,0.030550724624099995
ACH-000454,-0.251273122706
ACH-000458,0.0403509601885
ACH-000459,0.0112677513585
ACH-000460,-0.095308604133
ACH-000461,-0.12561941533
ACH-000463,0.0609254742711
ACH-000464,-0.13380029715800001
ACH-000466,0.0503453387485
ACH-000467,-0.0282827670381
ACH-000468,0.119383578032
ACH-000469,-0.12459216577099999
ACH-000470,-0.184561094484
ACH-000471,-0.11191995234799999
ACH-000472,-0.11281408434599999
ACH-000473,-0.120737492124
ACH-000475,-0.14491426177
ACH-000476,-0.0360291334588
ACH-000477,0.18665559530900003
ACH-000480,0.0943572164652
ACH-000481,-0.0548471775236
ACH-000483,0.006147188286939999
ACH-000484,-0.304155264207
ACH-000485,-0.005172096702029999
ACH-000486,-0.0714510431788
ACH-000487,-0.18566383282200002
ACH-000488,0.00112673917758
ACH-000490,-0.07467373137410001
ACH-000491,-0.122749752342
ACH-000495,-0.141015220637
ACH-000496,0.00101731522016
ACH-000499,-0.33969440446000004
ACH-000500,0.148008404028
ACH-000502,0.0387165599178
ACH-000503,-0.135289959027
ACH-000505,-0.0234919070898
ACH-000507,-0.0442110807519
ACH-000510,-0.0789436206684
ACH-000511,-0.0373005250418
ACH-000512,0.221031659903
ACH-000516,-0.035539573452400004
ACH-000517,-0.14524127010600002
ACH-000518,-0.07513216157489999
ACH-000520,-0.0741177134281
ACH-000521,0.00880866135332
ACH-000522,-0.217315517392
ACH-000524,-0.04321235799169999
