,VCPKMT (79609)
ACH-000004,-0.187309761339
ACH-000007,-0.31712186766600003
ACH-000009,-0.0700870862813
ACH-000011,-0.0466470305619
ACH-000012,-0.23510138732500002
ACH-000013,-0.24241552071400002
ACH-000014,0.015595651500899999
ACH-000015,-0.103504797315
ACH-000017,-0.374718153666
ACH-000018,-0.181905774574
ACH-000019,-0.0011735098399200002
ACH-000021,-0.0794568347265
ACH-000022,-0.21047010285999998
ACH-000025,-0.114111483126
ACH-000028,-0.30964047769499997
ACH-000030,-0.153684949799
ACH-000035,-0.00187284047044
ACH-000036,-0.158553719257
ACH-000037,-0.0353326663479
ACH-000039,0.005934580510600001
ACH-000040,-0.27454897710000004
ACH-000041,-0.18312203989
ACH-000042,-0.143061799089
ACH-000045,-0.157559854797
ACH-000047,-0.0475013823757
ACH-000052,-0.494951755677
ACH-000053,-0.250765131631
ACH-000054,-0.353854348582
ACH-000055,-0.310561038497
ACH-000060,-0.37635728205200003
ACH-000067,0.0216515104835
ACH-000070,-0.20596233907699998
ACH-000075,-0.196945093396
ACH-000078,-0.12842496350299998
ACH-000082,-0.288311218472
ACH-000085,0.0598898668107
ACH-000086,-0.24006575156399998
ACH-000087,-0.304506575431
ACH-000092,-0.194294167909
ACH-000095,-0.156165423815
ACH-000097,-0.195651036492
ACH-000098,0.00143904455906
ACH-000099,-0.138935774609
ACH-000108,0.017349811036900004
ACH-000113,-0.223469359782
ACH-000115,-0.12124740239600001
ACH-000116,-0.19810833259799998
ACH-000118,-0.201959314511
ACH-000120,-0.156774226041
ACH-000123,-0.286367121125
ACH-000127,-0.180716200927
ACH-000128,-0.24197129492400002
ACH-000132,-0.137987105583
ACH-000133,-0.162892737805
ACH-000137,-0.21963309340599999
ACH-000138,-0.228826618625
ACH-000142,-0.160446789559
ACH-000143,-0.119354826087
ACH-000146,-0.0557455350802
ACH-000148,-0.19982856658599998
ACH-000150,-0.07866977144580001
ACH-000152,-0.196529266799
ACH-000153,-0.0836049750493
ACH-000159,-0.27445295491099997
ACH-000160,-0.38351069009800004
ACH-000163,-0.312492695837
ACH-000167,-0.21278279353799998
ACH-000168,-0.34382761880900004
ACH-000169,-0.130803303024
ACH-000178,-0.147820947722
ACH-000182,-0.23045401049199998
ACH-000183,-0.23599649703899997
ACH-000188,-0.175619632986
ACH-000189,-0.77870215668
ACH-000190,-0.189927701151
ACH-000198,-0.145171783209
ACH-000204,-0.154961031502
ACH-000206,-0.271678567827
ACH-000207,-0.0780891641181
ACH-000211,-0.142584206199
ACH-000215,-0.16536489750999997
ACH-000221,-0.04550364137230001
ACH-000222,0.038252143584599996
ACH-000223,-0.100589660365
ACH-000226,-0.226675971207
ACH-000227,-0.152855289913
ACH-000228,-0.309654949304
ACH-000231,-0.228225298728
ACH-000232,-0.155557231216
ACH-000233,-0.337765693195
ACH-000234,-0.054111396547600006
ACH-000235,-0.271257725563
ACH-000237,0.08528353882310001
ACH-000238,-0.24824338021499998
ACH-000243,-0.458165920363
ACH-000244,-0.32419858046300004
ACH-000246,-0.216770954343
ACH-000248,-0.07420771147039999
ACH-000250,-0.293677444724
ACH-000251,-0.497560410341
ACH-000253,-0.05255081872140001
ACH-000255,-0.23108784556999995
ACH-000256,-0.208842497406
ACH-000257,-0.20612365915199998
ACH-000258,0.089391060817
ACH-000259,-0.115463156165
ACH-000260,-0.205527406548
ACH-000261,-0.33505364754
ACH-000262,-0.33569315511299996
ACH-000263,-0.057246338623400006
ACH-000264,-0.316481973869
ACH-000265,-0.18421142181400002
ACH-000266,-0.238770901891
ACH-000272,-0.261133892769
ACH-000273,-0.20072001580600002
ACH-000274,-0.14365400509
ACH-000277,-0.158317798935
ACH-000278,-0.0307981452578
ACH-000279,-0.154112760332
ACH-000280,-0.26441682574700004
ACH-000281,-0.205839765324
ACH-000288,-0.24460526495700002
ACH-000291,-0.075781602006
ACH-000293,-0.109813016437
ACH-000294,-0.071516751289
ACH-000295,-0.125148669029
ACH-000296,-0.0104198150762
ACH-000302,-0.0338980841133
ACH-000304,-0.11539787137
ACH-000307,-0.118305747892
ACH-000308,-0.147121724842
ACH-000310,-0.0645891603359
ACH-000311,-0.278715653937
ACH-000312,-0.043617929074499996
ACH-000315,-0.36252387738499997
ACH-000316,-0.0578685452802
ACH-000317,-0.34880491892300003
ACH-000318,-0.190123277758
ACH-000319,-0.0628753265975
ACH-000320,-0.025551740267199998
ACH-000322,-0.28419382234499996
ACH-000323,-0.18532072801
ACH-000324,-0.33398363671
ACH-000329,-0.0811049937509
ACH-000330,-0.035371243559199995
ACH-000331,-0.07698635335819999
ACH-000332,-0.209785905917
ACH-000334,-0.297516850828
ACH-000335,-0.425951651286
ACH-000336,-0.0893325805958
ACH-000337,-0.249198280233
ACH-000339,-0.143500851164
ACH-000341,-0.051715621192300006
ACH-000348,-0.264472253087
ACH-000350,0.0464251096197
ACH-000352,-0.184770560167
ACH-000356,-0.141154830054
ACH-000361,-0.24476444095
ACH-000362,-0.23088645381499998
ACH-000363,-0.28524939227699997
ACH-000364,-0.172163468573
ACH-000365,-0.17980007554400002
ACH-000366,-0.0087357249085
ACH-000368,-0.148034084409
ACH-000374,-0.0660643528359
ACH-000375,0.029900910001599997
ACH-000376,-0.140258272304
ACH-000381,-0.165634542007
ACH-000383,-0.194079286455
ACH-000387,-0.180478706022
ACH-000389,0.00137440797426
ACH-000390,-0.11371348314600001
ACH-000393,-0.180914367545
ACH-000395,-0.17827253311299998
ACH-000397,-0.288469437061
ACH-000401,-0.121841196364
ACH-000402,-0.456023378372
ACH-000403,-0.12375373749000002
ACH-000404,0.00911534759592
ACH-000406,-0.19119757891300002
ACH-000407,-0.305233842633
ACH-000408,-0.371310982641
ACH-000410,-0.271398347368
ACH-000411,-0.163860642105
ACH-000414,-0.18441608261599998
ACH-000415,-0.119264856341
ACH-000416,0.00251321738904
ACH-000420,0.034974259752000005
ACH-000421,-0.0988817742585
ACH-000424,-0.167625569804
ACH-000425,-0.07980893592289999
ACH-000426,-0.24495357871999998
ACH-000427,-0.00924014768884
ACH-000433,-0.365526077748
ACH-000436,-0.0672157131469
ACH-000444,-0.276367668814
ACH-000445,-0.0379043256849
ACH-000448,-0.297192666502
ACH-000450,-0.29130014852200004
ACH-000452,-0.121266284919
ACH-000454,-0.0648915660392
ACH-000458,-0.19034141239
ACH-000459,-0.365238687238
ACH-000460,-0.264206292003
ACH-000461,-0.20250586455400002
ACH-000463,-0.229320739736
ACH-000464,-0.231861750991
ACH-000466,-0.278822677877
ACH-000467,0.0407428005295
ACH-000468,0.0372773470851
ACH-000469,-0.121461273129
ACH-000470,0.025192965468099997
ACH-000471,-0.191554877663
ACH-000472,-0.162756394662
ACH-000473,-0.286707401179
ACH-000475,-0.198707387488
ACH-000476,-0.318295526333
ACH-000477,-0.0413254171262
ACH-000480,0.045591695274099994
ACH-000481,-0.377847424602
ACH-000483,-0.100660307695
ACH-000484,-0.23113760371199998
ACH-000485,-0.160396506418
ACH-000486,-0.286076539706
ACH-000487,-0.021907539394
ACH-000488,-0.173102649921
ACH-000490,-0.238463954131
ACH-000491,-0.22213765349700001
ACH-000495,-0.13474514399700002
ACH-000496,0.0217382967973
ACH-000499,-0.36925012932400003
ACH-000500,-0.578357958217
ACH-000502,-0.277420803557
ACH-000503,-0.183416548657
ACH-000505,-0.131678931134
ACH-000507,-0.228823239416
ACH-000510,-0.09594868307769999
ACH-000511,-0.307882805214
ACH-000512,-0.0420827600821
ACH-000516,-0.178953635621
ACH-000517,-0.159151343364
ACH-000518,-0.036673936126699995
ACH-000520,-0.135247634459
ACH-000521,0.0503961387357
ACH-000522,-0.297340652467
ACH-000524,-0.196454347196
ACH-000527,-0.122437074806
ACH-000528,-0.18052520708900002
ACH-000537,-0.158940986526
ACH-000541,-0.185623050586
ACH-000542,-0.102747977908
ACH-000544,-0.0310650407994
ACH-000545,-0.307423317433
ACH-000547,-0.35453813968099995
ACH-000548,-0.131741411642
ACH-000549,-0.101509182164
ACH-000550,-0.139364811831
ACH-000552,-0.294665678803
ACH-000556,-0.0975416359328
ACH-000557,-0.189826103121
ACH-000570,-0.205889696701
ACH-000571,-0.13379706287999998
ACH-000573,-0.17441182606
ACH-000576,-0.275340416275
ACH-000580,-0.136631273876
ACH-000584,-0.253286305624
ACH-000585,-0.288322768726
ACH-000588,-0.0563573327878
ACH-000589,-0.10910025601199999
ACH-000591,-0.27128291919799996
ACH-000593,0.037685335515199994
ACH-000600,-0.400598361115
ACH-000601,-0.141349775434
ACH-000604,0.1538140969
ACH-000605,-0.268666977543
ACH-000606,-0.34180397351899994
ACH-000608,-0.23245005022
ACH-000614,-0.145996136759
ACH-000616,-0.300443541024
ACH-000618,-0.015125608144100001
ACH-000619,-0.12023720346899999
ACH-000620,-0.062255722160099995
ACH-000621,-0.044533958500800004
ACH-000622,-0.23380013701400001
ACH-000623,-0.25017857344
ACH-000624,-0.265407521343
ACH-000627,-0.119050712273
ACH-000630,-0.21377020207699998
ACH-000632,-0.173988997085
ACH-000633,-0.224594157583
ACH-000637,0.043610908160199996
ACH-000638,-0.144138147051
ACH-000646,-0.160928275143
ACH-000647,-0.17048430634300002
ACH-000648,-0.0466759631216
ACH-000649,-0.171023792788
ACH-000651,-0.153226828114
ACH-000652,-0.0734627747317
ACH-000653,0.0337635902021
ACH-000657,-0.157336046353
ACH-000658,-0.0780499379035
ACH-000661,-0.33811449712499997
ACH-000662,-0.298610238777
ACH-000663,-0.5278134340389999
ACH-000665,-0.11876443688100001
ACH-000671,-0.101626788147
ACH-000673,-0.276817664801
ACH-000676,-0.157082672329
ACH-000677,-0.271439296018
ACH-000681,-0.0238008965594
ACH-000682,0.0921692496711
ACH-000683,-0.09890250563349999
ACH-000684,-0.188457327153
ACH-000688,-0.07531650470750001
ACH-000693,-0.144524288137
ACH-000694,-0.051562653195900005
ACH-000695,-0.178368691542
ACH-000696,-0.226287767258
ACH-000697,0.0485200266776
ACH-000699,-0.242863928418
ACH-000701,-0.10279341017000002
ACH-000706,-0.245310900903
ACH-000711,-0.268163998932
ACH-000713,-0.113356349936
ACH-000714,-0.106465167009
ACH-000718,-0.35794952826800003
ACH-000720,-0.235342636697
ACH-000721,-0.0385404876087
ACH-000724,0.260446978035
ACH-000725,-0.245216755884
ACH-000732,-0.212747074982
ACH-000734,-0.107921613311
ACH-000735,-0.120641174502
ACH-000736,-0.21460085884799998
ACH-000738,-0.14108584012599998
ACH-000746,-0.14810589848
ACH-000747,-0.205212393158
ACH-000748,-0.35889115394599996
ACH-000753,-0.13717462146099998
