,FILIP1L (11259)
ACH-000004,-0.0246056970483
ACH-000007,0.06523366186719999
ACH-000009,-0.06878966983
ACH-000011,-0.07923649487139998
ACH-000012,-0.153426633042
ACH-000013,0.027795242295499997
ACH-000014,-0.429678201173
ACH-000015,-0.0843284032984
ACH-000017,-0.0277300939915
ACH-000018,-0.237656491158
ACH-000019,0.0008281552741669999
ACH-000021,-0.152117944924
ACH-000022,0.0704604082901
ACH-000025,-0.111699073926
ACH-000028,-0.133731119322
ACH-000030,-0.030885494900099997
ACH-000035,-0.31729548232500004
ACH-000036,-0.0550305240491
ACH-000037,0.101001674894
ACH-000039,-0.280833993452
ACH-000040,-0.18425290298
ACH-000041,-0.09012774002660001
ACH-000042,-0.0590513444896
ACH-000045,-0.209620191811
ACH-000047,-0.0211954018854
ACH-000052,-0.0975711663404
ACH-000053,-0.213510643182
ACH-000054,0.0263005532699
ACH-000055,-0.0536770139619
ACH-000060,-0.166424041374
ACH-000067,-0.0978576836767
ACH-000070,0.18946995936299998
ACH-000075,-0.036496149237599994
ACH-000078,-0.27821991601
ACH-000082,-0.0870728387965
ACH-000085,0.054454574418
ACH-000086,-0.23320249400600002
ACH-000087,0.00564187514439
ACH-000092,-0.12756291286399998
ACH-000095,-0.0756230031961
ACH-000097,-0.038135942324099996
ACH-000098,0.051158582363
ACH-000099,-0.0570237977128
ACH-000108,-0.218916580589
ACH-000113,-0.0506722855118
ACH-000115,-0.0942354340464
ACH-000116,-0.108074226021
ACH-000118,-0.146960184615
ACH-000120,-0.132852971439
ACH-000123,-0.118652748859
ACH-000127,-0.006371926651989999
ACH-000128,-0.0349295127495
ACH-000132,-0.10168133675
ACH-000133,-0.183825445218
ACH-000137,-0.0774460472801
ACH-000138,-0.243513554538
ACH-000142,0.112301337156
ACH-000143,-0.138698086236
ACH-000146,-0.120407341386
ACH-000148,0.004987890370810001
ACH-000150,0.208613739922
ACH-000152,-0.0964410434609
ACH-000153,-0.0499889468925
ACH-000159,-0.196368796756
ACH-000160,-0.0825789581552
ACH-000163,-0.0522287219047
ACH-000167,-0.28050239863299997
ACH-000168,-0.36641142979
ACH-000169,0.0850316441429
ACH-000178,-0.028726075642499998
ACH-000182,-0.135694071812
