,UFD1L (7353)
ACH-000004,-1.34931423489
ACH-000007,-1.3264732803100001
ACH-000009,-1.25358064404
ACH-000011,-1.18729463842
ACH-000012,-1.3994814661300001
ACH-000013,-1.33150959037
ACH-000014,-0.779886510224
ACH-000015,-1.32761059129
ACH-000017,-1.47285974185
ACH-000018,-1.13876880187
ACH-000019,-1.4367411233
ACH-000021,-0.619566668096
ACH-000022,-1.50181193886
ACH-000025,-1.0476314953399999
ACH-000028,-1.15382156833
ACH-000030,-1.0511494410299997
ACH-000035,-1.18787766779
ACH-000036,-1.35905397425
ACH-000037,-0.6873336194230001
ACH-000039,-1.18168971563
ACH-000040,-1.26997478313
ACH-000041,-1.45735894449
ACH-000042,-1.26880318299
ACH-000045,-1.17723179795
ACH-000047,-1.1244974515100001
ACH-000052,-1.44821209712
ACH-000053,-1.5576047929799999
ACH-000054,-1.13060709072
ACH-000055,-1.00118454664
ACH-000060,-1.06806058566
ACH-000067,-1.0500264022
ACH-000070,-1.34440916986
ACH-000075,-1.3553276696
ACH-000078,-0.979813029806
ACH-000082,-1.30033325126
ACH-000085,-1.05725644076
ACH-000086,-1.02319557135
ACH-000087,-1.11029953116
ACH-000092,-0.88651148925
ACH-000095,-1.34858841649
ACH-000097,-1.26605949335
ACH-000098,-1.08906168375
ACH-000099,-1.17224124373
ACH-000108,-1.17275277442
ACH-000113,-1.17227138721
ACH-000115,-1.7447074780900003
ACH-000116,-1.14456336089
ACH-000118,-1.23972412382
ACH-000120,-1.19473385974
ACH-000123,-1.42323217945
ACH-000127,-1.0850563491399998
ACH-000128,-1.2320041011799998
ACH-000132,-1.4153357447200001
ACH-000133,-1.26540280249
ACH-000137,-1.01300504479
ACH-000138,-1.1261361614399998
ACH-000142,-1.13945857309
ACH-000143,-1.3104490555
ACH-000146,-1.5624711227099999
ACH-000148,-1.08223246469
ACH-000150,-0.999836843899
ACH-000152,-1.2694146177399999
ACH-000153,-1.15170702559
ACH-000159,-1.0272210272600002
ACH-000160,-1.40066531967
ACH-000163,-1.20304170107
ACH-000167,-1.08146318579
ACH-000168,-1.27317636612
ACH-000169,-1.44612105148
ACH-000178,-1.13770289192
ACH-000182,-0.937368307085
ACH-000183,-1.0303886972399998
ACH-000188,-1.05901547762
ACH-000189,-0.93861771445
ACH-000190,-1.15731938095
ACH-000198,-1.4988139788100001
ACH-000204,-0.926029287395
ACH-000206,-1.15591212654
ACH-000207,-0.705169104228
