,FETUB (26998)
ACH-000004,-0.17122873254299997
ACH-000007,-0.17028131828200002
ACH-000009,-0.253199441585
ACH-000011,-0.41363787805200003
ACH-000012,-0.21356673626400002
ACH-000013,-0.21282699383200002
ACH-000014,-0.43826034215099996
ACH-000015,-0.0595125571756
ACH-000017,-0.22853591041700003
ACH-000018,-0.0917000425199
ACH-000019,-0.184126820815
ACH-000021,-0.224374150374
ACH-000022,-0.240045557982
ACH-000025,-0.20229945293600002
ACH-000028,-0.23995201481800002
ACH-000030,-0.364815268972
ACH-000035,-0.058200040088800004
ACH-000036,-0.381795653228
ACH-000037,-0.294799256624
ACH-000039,-0.317707991608
ACH-000040,-0.478432528155
ACH-000041,-0.402282532067
ACH-000042,-0.251898143644
ACH-000045,-0.376392677367
ACH-000047,-0.271678073739
ACH-000052,-0.19469617759500002
ACH-000053,-0.255621177609
ACH-000054,-0.612255976884
ACH-000055,-0.226875351659
ACH-000060,-0.367962991371
ACH-000067,-0.5122388192890001
ACH-000070,-0.301679334244
ACH-000075,-0.37878682218000004
ACH-000078,-0.472515709903
ACH-000082,-0.346416823039
ACH-000085,-0.42881210079800003
ACH-000086,-0.203835246826
ACH-000087,-0.22028423259399998
ACH-000092,-0.484599882855
ACH-000095,-0.444755351405
ACH-000097,-0.384096539463
ACH-000098,-0.221040841771
ACH-000099,-0.544090839874
ACH-000108,-0.41642268349399997
ACH-000113,-0.284704500647
ACH-000115,-0.5487384676199999
ACH-000116,-0.489627834297
ACH-000118,-0.185413263579
ACH-000120,-0.29662546200199996
ACH-000123,-0.337871368415
ACH-000127,-0.386514737391
ACH-000128,-0.25778249769699996
ACH-000132,-0.437425542592
ACH-000133,-0.40355980438100003
ACH-000137,-0.314944283614
ACH-000138,-0.412805442563
ACH-000142,-0.270143045006
ACH-000143,-0.316795685338
ACH-000146,-0.35339662501999997
ACH-000148,-0.219738626915
ACH-000150,-0.48019186217500004
ACH-000152,-0.42781117350000003
ACH-000153,-0.41840685105
ACH-000159,-0.319273848554
ACH-000160,-0.452912873675
