,CPNE6 (9362)
ACH-000004,-0.337859197145
ACH-000007,-0.255725846825
ACH-000009,-0.27824638514600003
ACH-000011,-0.139406817169
ACH-000012,-0.264903868504
ACH-000013,-0.372743114961
ACH-000014,-0.10223377786900001
ACH-000015,-0.158978062664
ACH-000017,-0.278113553173
ACH-000018,-0.396313639043
ACH-000019,-0.195155162334
ACH-000021,-0.458942868427
ACH-000022,-0.170879828761
ACH-000025,-0.221363228074
ACH-000028,-0.210688247299
ACH-000030,-0.29765137738
ACH-000035,-0.239718735552
ACH-000036,-0.192853505606
ACH-000037,-0.0639633245697
ACH-000039,-0.230852618688
ACH-000040,-0.319263296622
ACH-000041,-0.28567944046300003
ACH-000042,-0.237197675106
ACH-000045,-0.118978627117
ACH-000047,-0.440248711379
ACH-000052,-0.312960707869
ACH-000053,-0.24309012678599998
ACH-000054,-0.312103524904
ACH-000055,-0.303093770115
ACH-000060,-0.45699203882100004
ACH-000067,-0.329649246048
ACH-000070,-0.32691643855
ACH-000075,-0.147716566824
ACH-000078,-0.0971087115213
ACH-000082,-0.173338788793
ACH-000085,-0.125525057095
ACH-000086,-0.326155012467
ACH-000087,-0.212865738948
ACH-000092,-0.307079640206
ACH-000095,-0.168034656384
ACH-000097,-0.326077690855
ACH-000098,-0.316270030666
ACH-000099,-0.224352086193
ACH-000108,-0.19765431142
ACH-000113,-0.240113397938
ACH-000115,-0.20393221633900002
ACH-000116,-0.333115715378
ACH-000118,-0.38147127704000006
ACH-000120,-0.108992050689
ACH-000123,-0.30346704570099997
ACH-000127,-0.250699683753
ACH-000128,-0.243910633138
ACH-000132,-0.07005107101430001
ACH-000133,-0.264975578817
ACH-000137,-0.0568478321499
ACH-000138,-0.211773152566
ACH-000142,-0.29746923040999995
ACH-000143,-0.20431679508099998
ACH-000146,-0.22502931676600002
ACH-000148,-0.351667485008
ACH-000150,-0.037930191737000005
ACH-000152,-0.303732024232
ACH-000153,-0.104452502158
ACH-000159,-0.408461945125
ACH-000160,-0.485355450277
ACH-000163,-0.351704279674
ACH-000167,-0.43511170712999997
