,PRRC2C (23215)
ACH-000004,-0.09481091631869999
ACH-000007,-0.606477558124
ACH-000009,-0.552945590327
ACH-000011,-0.193762460729
ACH-000012,-0.18119817875500002
ACH-000013,-0.0988653890174
ACH-000014,-0.35413988819200004
ACH-000015,-0.16886706311799998
ACH-000017,-0.574305461995
ACH-000018,-0.257443203094
ACH-000019,-0.470189248059
ACH-000021,-0.289859550844
ACH-000022,-0.215029611918
ACH-000025,-0.17488266316
ACH-000028,-0.00748778053415
ACH-000030,-0.394941241113
ACH-000035,-0.224599992296
ACH-000036,0.145184711142
ACH-000037,0.141961040643
ACH-000039,-0.892126947069
ACH-000040,0.043029546009599996
ACH-000041,-0.417131027918
ACH-000042,-0.39632755620099996
ACH-000045,-0.028800942604499998
ACH-000047,-0.564490527788
ACH-000052,-0.28490223495
ACH-000053,-0.154083674267
ACH-000054,-0.165228871537
ACH-000055,-0.0923249592953
ACH-000060,0.105790466977
ACH-000067,-0.0984849490672
ACH-000070,-0.1770519356
ACH-000075,-0.019724245934099997
ACH-000078,-0.023542551294900002
ACH-000082,0.06893061376339998
ACH-000085,-0.203648439606
ACH-000086,-0.0562608562775
ACH-000087,-0.38013898736999996
ACH-000092,-0.125650138532
ACH-000095,-0.260247661568
ACH-000097,-0.36231094670999997
ACH-000098,0.08600871780310002
ACH-000099,-0.261443439256
ACH-000108,-0.358257928434
ACH-000113,-0.0984829186403
ACH-000115,-0.307234959113
ACH-000116,-0.10963608224600001
ACH-000118,-0.299586476932
ACH-000120,-0.298442927321
ACH-000123,-0.300812736784
ACH-000127,-0.32704771128800003
ACH-000128,-0.09063171662210001
ACH-000132,-0.20033697973099998
ACH-000133,-0.126417802065
ACH-000137,-0.0409772595944
ACH-000138,-0.37931600849799996
ACH-000142,-0.0478313104584
ACH-000143,-0.00606090878365
ACH-000146,-0.018564736899599997
ACH-000148,-0.167885962574
ACH-000150,-0.0516641450483
ACH-000152,-0.463882522027
ACH-000153,-0.34816214603900003
ACH-000159,-0.18223067729200002
ACH-000160,0.00683745777736
ACH-000163,-0.0395498007386
ACH-000167,-0.641729338896
ACH-000168,0.21516215902600003
ACH-000169,-0.23823864320799998
ACH-000178,-0.440439687715
ACH-000182,-0.156920453655
ACH-000183,-0.28414688692699996
ACH-000188,0.012582141958
ACH-000189,-0.261929031237
ACH-000190,-0.227557041629
ACH-000198,-0.10493000734999999
ACH-000204,-0.541592030642
ACH-000206,-0.052253752992000004
ACH-000207,0.1339215568
ACH-000211,-0.384993700447
ACH-000215,-0.0782452660945
ACH-000221,-0.272588066959
ACH-000222,-0.460405088564
ACH-000223,-0.392591627028
ACH-000226,-0.1422823277
ACH-000227,-0.18686560250300002
ACH-000228,-0.015584250305600001
ACH-000231,-0.341765033601
ACH-000232,0.0469525236924
ACH-000233,0.065768118495
ACH-000234,-0.349642169876
ACH-000235,-0.238993075764
ACH-000237,-0.101553744355
ACH-000238,-0.0510990805646
ACH-000243,-0.250297080143
ACH-000244,-0.45052537795599995
