,MYH14 (79784)
ACH-000459,-0.346077620795
ACH-000460,-0.241592725184
ACH-000461,-0.230071367534
ACH-000463,-0.042112078737699996
ACH-000464,0.0575300092971
ACH-000466,-0.119315713072
ACH-000467,-0.0351571207436
ACH-000468,-0.214163038418
ACH-000469,-0.21764886876800002
ACH-000470,-0.14153711169299998
ACH-000471,-0.166189961519
ACH-000472,-0.0468580806297
ACH-000473,-0.109751406401
ACH-000475,-0.10006180013699999
ACH-000476,0.058276521936999996
ACH-000477,-0.220297167026
ACH-000480,-0.12397294593599999
ACH-000481,-0.374840790757
ACH-000483,0.102595489795
ACH-000484,-0.261312929034
ACH-000485,-0.108379343687
ACH-000486,-0.155757820149
ACH-000487,-0.25361202098
ACH-000488,-0.188691444687
ACH-000490,-0.105456811555
ACH-000491,-0.0556786760755
ACH-000495,-0.0827151849358
ACH-000496,-0.0744690383349
ACH-000499,0.024033263178300002
ACH-000500,-0.727781294644
ACH-000502,-0.06557869918630001
ACH-000503,-0.6763805577509999
ACH-000505,-0.14054059433399999
ACH-000507,-0.15008673328
ACH-000510,-0.280220986791
ACH-000511,-0.322491778806
ACH-000512,-0.235837017049
ACH-000516,-0.12880352078600002
ACH-000517,-0.258042333779
ACH-000518,-0.11839611012800001
ACH-000520,-0.16247231649
ACH-000521,-0.160206421664
ACH-000522,0.00432210978016
ACH-000524,-0.0842640739753
ACH-000527,-0.09571936779370001
ACH-000528,-0.07272376729060001
ACH-000537,-0.126523610064
ACH-000541,-0.196770686017
ACH-000542,-0.061558867192900005
ACH-000544,0.00521223571593
ACH-000545,-0.123217122016
ACH-000547,-0.270866892998
ACH-000548,-0.273815500007
ACH-000549,-0.163306781157
ACH-000550,-0.143623339385
ACH-000552,-0.118497620664
ACH-000556,-0.221812292282
ACH-000557,-0.156077708122
ACH-000570,-0.22055281706500002
ACH-000571,-0.140485629186
ACH-000573,0.009406676860290002
ACH-000576,-0.13497076076
ACH-000580,-0.0701621311944
ACH-000584,-0.123666928045
ACH-000585,-0.23356822281700002
ACH-000588,-0.0738448000422
ACH-000589,-0.151601676315
ACH-000591,-0.21755210963899999
ACH-000593,-0.10619181704399999
ACH-000600,-0.18888197008699997
ACH-000601,-0.121665616426
ACH-000604,-0.16196182388900002
ACH-000605,-0.056390346256499996
ACH-000606,-0.17829095284000002
ACH-000608,-0.292866814633
ACH-000614,0.17355778611699998
ACH-000616,-0.18489694746100002
ACH-000618,0.0333161821975
ACH-000619,0.0445849021261
ACH-000620,-0.186507080897
ACH-000621,-0.129177231626
ACH-000622,-0.153200327215
ACH-000623,-0.250697195377
ACH-000624,-0.18947668236499998
ACH-000627,-0.273469803766
ACH-000630,-0.164425053013
ACH-000632,-0.34387160913000003
ACH-000633,-0.09894789140110001
ACH-000637,-0.27674301788100003
ACH-000638,-0.05409438446190001
ACH-000646,-0.142135190503
ACH-000647,-0.0374201897735
ACH-000648,-0.114010462849
ACH-000649,-0.123502940502
ACH-000651,-0.152524459824
ACH-000652,0.0810175967608
ACH-000653,0.3130017113
ACH-000657,-0.23841891365600001
ACH-000658,-0.10226560121400001
ACH-000661,-0.108119696229
ACH-000662,-0.174270473743
ACH-000663,-0.298558356523
ACH-000665,-0.170814854915
ACH-000671,-0.0019159079907899999
ACH-000673,-0.179880968103
ACH-000676,-0.0187255457407
ACH-000677,-0.145201484435
ACH-000681,-0.23416834078600002
ACH-000682,-0.12126941710000001
ACH-000683,-0.0944134810745
ACH-000684,0.0325819283208
ACH-000688,-0.27838225489199997
ACH-000693,-0.0438563054584
ACH-000694,-0.17749967180999998
ACH-000695,-0.169804558185
ACH-000696,-0.164135487311
ACH-000697,0.0538640094546
ACH-000699,-0.128256587576
ACH-000701,-0.309228770476
ACH-000706,-0.010555718426000001
ACH-000711,-0.251627363598
ACH-000713,-0.0536806068625
ACH-000714,-0.19146300816300002
ACH-000718,0.054638820579000005
ACH-000720,-0.13588891365
ACH-000721,-0.202469646269
ACH-000724,-0.105460616154
ACH-000725,-0.194590629609
ACH-000732,0.134613820217
ACH-000734,-0.206492138196
ACH-000735,-0.124025593057
ACH-000736,-0.10287272207800001
ACH-000738,-0.10132837810699999
ACH-000746,-0.150253654309
ACH-000747,-0.0827240112642
ACH-000748,-0.143159243234
ACH-000753,-0.00485140158492
ACH-000756,-0.24061784728900001
ACH-000757,-0.211393244181
ACH-000758,-0.022869016231200003
ACH-000760,-0.24155904437
ACH-000763,-0.130510472291
ACH-000764,0.06319345323009999
ACH-000765,-0.0983754966775
ACH-000766,-0.261981466442
ACH-000767,-0.21105217063499998
ACH-000768,-0.13593193741100001
ACH-000769,-0.0498157835711
ACH-000770,-0.20776124380999997
ACH-000771,-0.07213669274960001
ACH-000773,-0.184463443184
ACH-000776,-0.23632246120099998
ACH-000777,-0.227199973933
ACH-000778,-0.226698727577
ACH-000781,-0.18390864351199998
ACH-000782,0.006801247942199999
ACH-000783,-0.196900978365
ACH-000784,-0.218748570717
ACH-000785,-0.00739471934783
ACH-000787,-0.30539805586999996
ACH-000788,-0.173280309175
ACH-000791,-0.08351529959580001
ACH-000792,-0.19578376909899997
ACH-000794,-0.18542317259399999
ACH-000796,-0.184878860925
ACH-000799,-0.116269533547
ACH-000800,-0.147007481989
ACH-000802,-0.116430121026
ACH-000804,-0.317528203401
ACH-000805,-0.174605622428
ACH-000809,-0.25047158561599997
ACH-000810,-0.131493399541
ACH-000811,-0.154094984751
ACH-000817,-0.0817795626994
ACH-000819,-0.25645693679299997
ACH-000820,0.595220461371
ACH-000821,-0.378419100268
ACH-000822,-0.15412061394999998
ACH-000823,-0.11978792437699999
ACH-000824,-0.44030188053499997
ACH-000827,-0.08594908767519999
ACH-000829,-0.11656354543400001
ACH-000831,-0.21153261807999998
ACH-000832,-0.08102366333710001
ACH-000833,-0.255701132948
ACH-000834,-0.213670739295
ACH-000835,-0.265620753554
ACH-000836,-0.191556983693
ACH-000837,-0.146450486062
ACH-000838,0.0662881280981
ACH-000839,-0.14723464563400002
ACH-000840,-0.132030053649
ACH-000841,0.11151928534399999
ACH-000843,-0.238810049754
ACH-000846,-0.060101011136099995
ACH-000847,-0.224478373262
ACH-000848,-0.110061140446
ACH-000849,-0.0711527189239
ACH-000851,-0.08450277098169999
ACH-000855,-0.163450479804
ACH-000856,-0.240622034694
ACH-000858,-0.157559891513
ACH-000859,-0.235282259939
ACH-000861,-0.08942300955289999
ACH-000862,-0.0923906651685
ACH-000865,-0.216487422942
ACH-000866,-0.0438430462564
ACH-000867,-0.07044527808689999
ACH-000869,-0.150652011312
ACH-000872,-0.0991433508805
ACH-000873,0.011415636690100001
ACH-000876,-0.22679412652699998
ACH-000878,-0.11465822363
ACH-000880,-0.120961970863
ACH-000881,-0.301192484465
ACH-000882,-0.23119065766999997
ACH-000884,-0.0871072109299
ACH-000885,-0.20316049915399997
ACH-000887,-0.204057954392
ACH-000888,-0.0676415761158
ACH-000889,-0.126489019062
ACH-000890,-0.20275339393300001
ACH-000896,-0.09327395443019999
ACH-000898,0.131423686703
ACH-000900,-0.179355568775
ACH-000901,-0.23421200765900002
ACH-000905,0.05836892268899999
ACH-000906,-0.258040471092
ACH-000907,0.0818265675131
ACH-000910,-0.18168380586
ACH-000911,-0.17002495016600003
ACH-000912,-0.0758616899394
ACH-000913,-0.00471534239525
ACH-000915,-0.0362068714409
ACH-000916,-0.271690975382
ACH-000917,-0.168678971057
ACH-000921,-0.155246067788
ACH-000924,-0.0467554993049
ACH-000926,-0.09469862027930001
ACH-000928,0.07685793731210001
ACH-000929,-0.039013667783099996
ACH-000932,-0.119991786514
ACH-000935,0.00937793799993
ACH-000936,-0.254305379999
ACH-000937,-0.176999202537
ACH-000938,-0.194370184741
ACH-000939,-0.187704159155
ACH-000941,-0.0623474443678
ACH-000943,-0.225257314679
ACH-000946,-0.11300980895099999
ACH-000947,-0.119214081362
ACH-000948,-0.140180040201
ACH-000950,-0.257416255179
ACH-000953,-0.199503705043
ACH-000957,-0.207088012123
ACH-000958,0.010785568865499999
ACH-000960,-0.121962337678
ACH-000963,-0.14721220295
ACH-000968,-0.130306062552
ACH-000969,-0.110701239651
ACH-000973,-0.0368093788168
ACH-000974,-0.1269840947
ACH-000975,-0.18821410233199998
ACH-000976,-0.291271373253
