,SAR1A (56681)
ACH-000004,-0.0687228921228
ACH-000007,0.045950131607400004
ACH-000009,0.180449916373
ACH-000011,0.463626229946
ACH-000012,0.0748399426975
ACH-000013,0.202296883932
ACH-000014,-0.8234043849680001
ACH-000015,0.109363126076
ACH-000017,0.229033066644
ACH-000018,0.028456569474299996
ACH-000019,0.00323933600707
ACH-000021,0.187818738776
ACH-000022,0.222544306459
ACH-000025,0.144859090103
ACH-000028,0.0603391280007
ACH-000030,-0.187541620488
ACH-000035,0.0747591931263
ACH-000036,-0.453567417096
ACH-000037,-0.017615151920599998
ACH-000039,0.0868082047631
ACH-000040,0.10591973701199998
ACH-000041,-0.715332743495
ACH-000042,0.16882499124400002
ACH-000045,-0.0983645125552
ACH-000047,0.10051411348099999
ACH-000052,0.10527820424699999
ACH-000053,0.17293976527
ACH-000054,0.016223012832299998
ACH-000055,0.12221347627000001
ACH-000060,0.06373553980340001
ACH-000067,-0.534950175715
ACH-000070,0.04840343791619999
ACH-000075,0.0339303042405
ACH-000078,-0.0207478067369
ACH-000082,-0.0945338843037
ACH-000085,0.15606921466600002
ACH-000086,0.07881184743860001
ACH-000087,0.034272754131200005
ACH-000092,0.0464686684831
ACH-000095,-0.14455021855699998
ACH-000097,0.007692436023390001
ACH-000098,0.054944236221199996
ACH-000099,0.195830045854
ACH-000108,0.169543104281
ACH-000113,0.16914786938499998
ACH-000115,-0.0843364089896
ACH-000116,0.162681858579
ACH-000118,0.0920150941656
ACH-000120,-0.345828850515
ACH-000123,-0.0317363662433
ACH-000127,0.012258109625
ACH-000128,0.23336903617
ACH-000132,-0.285091357947
ACH-000133,-0.0933980317313
ACH-000137,0.14773841760099998
ACH-000138,0.135401280184
ACH-000142,0.27226860312199996
ACH-000143,0.210684720132
ACH-000146,0.08596536560969999
ACH-000148,-0.0241804638087
ACH-000150,0.051085774362099996
ACH-000152,-0.11752803932499999
ACH-000153,0.10886836303
ACH-000159,-0.00460107089281
ACH-000160,0.101644419862
ACH-000163,-0.33698166283799996
ACH-000167,0.0660497737146
ACH-000168,0.0680785669191
ACH-000169,0.156024270668
ACH-000178,0.14466707302200002
ACH-000182,0.185564719413
ACH-000183,0.10489908354000001
ACH-000188,0.17657565541099998
ACH-000189,0.09514654520719999
ACH-000190,-0.22906671191999997
ACH-000198,0.183150849472
ACH-000204,0.271474416677
ACH-000206,-0.18906494028999998
ACH-000207,0.353922059148
ACH-000211,0.12342584768100001
