,RABEP1 (9135)
ACH-000004,-0.32703517296100004
ACH-000007,0.0276736757961
ACH-000009,-0.28194717014000004
ACH-000011,-0.101441477423
ACH-000012,-0.33960297998800004
ACH-000013,-0.290732929117
ACH-000014,-0.0169924016567
ACH-000015,-0.36238140990900003
ACH-000017,-0.247920303747
ACH-000018,-0.212348045671
ACH-000019,-0.525858784007
ACH-000021,-0.31987722677700003
ACH-000022,-0.11692141759500001
ACH-000025,-0.292900409817
ACH-000028,-0.226166021666
ACH-000030,-0.20409573584000001
ACH-000035,-0.280779355349
ACH-000036,-0.27468093771499996
ACH-000037,0.00959199694959
ACH-000039,-0.373318295845
ACH-000040,-0.143997023674
ACH-000041,-0.232991454597
ACH-000042,-0.330245642345
ACH-000045,-0.379358232117
ACH-000047,-0.274190081586
ACH-000052,-0.444465258049
ACH-000053,-0.207051217437
ACH-000054,-0.28007100258699996
ACH-000055,-0.32740499577
ACH-000060,-0.285322746405
ACH-000067,-0.42329612413400003
ACH-000070,-0.210901284402
ACH-000075,-0.152115385859
ACH-000078,-0.437682415236
ACH-000082,-0.311130731485
ACH-000085,-0.117923732437
ACH-000086,-0.166622527573
ACH-000087,-0.31600100283000004
ACH-000092,-0.0323099406251
ACH-000095,-0.296681201737
ACH-000097,-0.24225667336599999
ACH-000098,-0.384714391987
ACH-000099,-0.298109763713
ACH-000108,-0.242368768092
ACH-000113,-0.292309147022
ACH-000115,-0.236947932319
ACH-000116,-0.303006905972
ACH-000118,-0.27978049159
ACH-000120,-0.309014459246
ACH-000123,-0.329122224104
ACH-000127,-0.209137814965
ACH-000128,-0.121306443487
ACH-000132,-0.249687181609
ACH-000133,-0.420177955867
ACH-000137,-0.0194126031435
ACH-000138,-0.320303953876
ACH-000142,-0.23227914815
ACH-000143,-0.177481327689
ACH-000146,-0.341311516598
ACH-000148,-0.252684637083
ACH-000150,-0.307117404507
ACH-000152,-0.317094639968
ACH-000153,-0.31680299891999997
ACH-000159,-0.09236593647050001
ACH-000160,-0.327457820973
ACH-000163,-0.148766420894
ACH-000167,-0.320264287914
ACH-000168,-0.366507011022
ACH-000169,-0.366869267466
ACH-000178,-0.360781085417
ACH-000182,-0.204374686133
ACH-000183,-0.241776729689
ACH-000188,-0.268099117472
ACH-000189,0.179917566671
ACH-000190,-0.279525802112
ACH-000198,-0.288100517686
ACH-000204,-0.0890362622446
ACH-000206,-0.337695803308
ACH-000207,-0.5892983100729999
ACH-000211,-0.214180038749
ACH-000215,-0.358930864904
ACH-000221,-0.38520137066699994
ACH-000222,-0.343285306455
ACH-000223,-0.252689197742
ACH-000226,-0.275478169944
ACH-000227,-0.397561327952
ACH-000228,-0.176005025368
ACH-000231,-0.30351768739999996
ACH-000232,-0.234586396748
ACH-000233,-0.289792365081
ACH-000234,-0.356535667865
ACH-000235,-0.287025944362
ACH-000237,-0.365582938908
ACH-000238,-0.319088073486
ACH-000243,-0.206519699166
ACH-000244,-0.241227765133
ACH-000246,-0.35878783634000005
ACH-000248,-0.227259588041
ACH-000250,-0.246921688047
ACH-000251,-0.354881627392
ACH-000253,-0.297910960777
ACH-000255,-0.09494761974549999
ACH-000256,-0.412541324882
ACH-000257,-0.19714700413199998
ACH-000258,0.161637343941
ACH-000259,-0.259556015641
ACH-000260,-0.25531614743000003
ACH-000261,-0.20899124959600002
ACH-000262,-0.365482952604
ACH-000263,-0.516184530296
ACH-000264,-0.307132211198
ACH-000265,-0.136458875162
ACH-000266,-0.27576087984299996
