,DHRS7B (25979)
ACH-000004,-0.129140358225
ACH-000007,-0.160005357316
ACH-000009,-0.408830300101
ACH-000011,-0.166741474428
ACH-000012,-0.236660205797
ACH-000013,-0.19354315169199998
ACH-000014,-0.0990458047457
ACH-000015,-0.376373360281
ACH-000017,0.0300460804405
ACH-000018,-0.34667610323700004
ACH-000019,-0.306101873286
ACH-000021,-0.207691614983
ACH-000022,-0.125078285026
ACH-000025,-0.19913747987
ACH-000028,-0.19920401267299997
ACH-000030,-0.228806207329
ACH-000035,-0.370443503424
ACH-000036,-0.19325740368799998
ACH-000037,0.011388932137500002
ACH-000039,0.0200654366927
ACH-000040,-0.411505503391
ACH-000041,-0.404290416905
ACH-000042,-0.262114254414
ACH-000045,-0.134320720439
ACH-000047,-0.759139120535
ACH-000052,-0.174269080903
ACH-000053,-0.178906736728
ACH-000054,-0.187481796686
ACH-000055,-0.06264782182590001
ACH-000060,-0.12962043416
ACH-000067,-0.25942786901
ACH-000070,-0.123082963375
ACH-000075,-0.200467369022
ACH-000078,-0.199915335731
ACH-000082,-0.268480406592
ACH-000085,-0.854632663782
ACH-000086,-0.07084590299310001
ACH-000087,-0.189436635516
ACH-000092,-0.09498988434260001
ACH-000095,-0.20321393036200003
ACH-000097,-0.194565402765
ACH-000098,-0.176249804097
ACH-000099,-0.220081711248
ACH-000108,-0.300695179754
ACH-000113,-0.13757938929000002
ACH-000115,-0.0247075920608
ACH-000116,-0.208308468356
ACH-000118,-0.365521835122
ACH-000120,-0.0309423725679
ACH-000123,-0.199479910116
ACH-000127,-0.28353220140700003
ACH-000128,-0.18377211198600002
ACH-000132,-0.217421466417
ACH-000133,-0.384573961039
ACH-000137,-0.20424382899000001
ACH-000138,-0.201703229372
ACH-000142,-0.20176095586800002
ACH-000143,-0.202962180475
ACH-000146,-0.275580240126
ACH-000148,-0.205961210836
ACH-000150,-0.486882809565
ACH-000152,-0.255792179558
ACH-000153,-0.40689272937200005
ACH-000159,-0.150018659146
ACH-000160,-0.126183430939
ACH-000163,-0.308767361615
ACH-000167,-0.238470017377
ACH-000168,-0.113789175719
ACH-000169,-0.11868774633300001
ACH-000178,-0.309458983744
ACH-000182,-0.751289374992
ACH-000183,-0.394097167714
ACH-000188,-0.167893846609
ACH-000189,-0.203486809434
ACH-000190,-0.177382278651
ACH-000198,-0.0368581533352
ACH-000204,0.256426505153
ACH-000206,-0.34554612151
ACH-000207,-0.41298957594999997
ACH-000211,-0.10434555288999998
ACH-000215,-0.22730787324299997
ACH-000221,-0.359730347403
ACH-000222,0.008721694752080001
ACH-000223,-0.09751206931430001
ACH-000226,-0.325650180572
ACH-000227,-0.0364780136345
ACH-000228,-0.0298386313736
ACH-000231,-0.213406605566
ACH-000232,-0.202421750561
ACH-000233,-0.185946474798
ACH-000234,-0.124519850638
ACH-000235,-0.262933892358
ACH-000237,-0.20787624902399998
ACH-000238,-0.248206996649
ACH-000243,-0.201051619518
ACH-000244,-0.24286768150199997
ACH-000246,-0.07441836892419999
ACH-000248,-0.17208966928599997
ACH-000250,-0.27522493609000004
ACH-000251,-0.20307313654599998
ACH-000253,-0.137573976264
ACH-000255,-0.245307888043
ACH-000256,-0.345813254583
ACH-000257,-0.235659909659
ACH-000258,-0.21628765578099998
ACH-000259,-0.265285033565
ACH-000260,-0.15343591480799998
ACH-000261,-0.0933246493949
ACH-000262,-0.527125777895
ACH-000263,0.016967282049799998
ACH-000264,-0.21545306612799997
ACH-000265,-0.6748221389810001
ACH-000266,-0.166242751609
ACH-000272,-0.27529638232500003
ACH-000273,-0.0467262926342
ACH-000274,-0.246701086677
ACH-000277,-0.142320709605
ACH-000278,-0.365606750727
ACH-000279,-0.391648513423
ACH-000280,-0.23976274040399997
ACH-000281,-0.13853110718699999
ACH-000288,-0.387794918067
ACH-000291,-0.27220245887899996
ACH-000293,-0.0488409258306
ACH-000294,-0.107747505938
ACH-000295,-0.172943287347
ACH-000296,-0.460140757561
ACH-000302,-0.140722141764
ACH-000304,-0.269935969881
ACH-000307,-0.111376746099
ACH-000308,-0.068560905257
ACH-000310,-0.20182379954
ACH-000311,-0.191490066084
ACH-000312,-0.0961671167632
ACH-000315,-0.160966284018
ACH-000316,-0.166147407031
ACH-000317,0.197877855696
ACH-000318,-0.225554620411
ACH-000319,-0.148867847977
ACH-000320,-0.195361806287
ACH-000322,-0.369405777576
ACH-000323,-0.276864386256
ACH-000324,-0.26905922764699997
ACH-000329,-0.225388234735
ACH-000330,-0.34816130853699995
ACH-000331,-0.312512359053
ACH-000332,-0.310076620896
