,PTPMT1 (114971)
ACH-000004,-1.22758662007
ACH-000007,-0.838575240443
ACH-000009,-0.61563491073
ACH-000011,-1.30433128578
ACH-000012,-0.987717553156
ACH-000013,-0.7223205829279999
ACH-000014,-1.13977331002
ACH-000015,-0.584512872816
ACH-000017,-0.7722588629880001
ACH-000018,-0.8077345851309999
ACH-000019,-0.964397718829
ACH-000021,-0.597370899102
ACH-000022,-0.859987759664
ACH-000025,-1.14367140069
ACH-000028,-0.992118975864
ACH-000030,-0.877959771352
ACH-000035,-0.842363373217
ACH-000036,-0.9884717292799999
ACH-000037,-1.31306608805
ACH-000039,-1.0113541875299998
ACH-000040,-1.39136298497
ACH-000041,-1.0366748264299999
ACH-000042,-0.562146955846
ACH-000045,-0.8046110715710001
ACH-000047,-0.735421570601
ACH-000052,-0.611721127791
ACH-000053,-0.703044166094
ACH-000054,-0.44409349314999996
ACH-000055,-0.5896106287439999
ACH-000060,-0.500029503252
ACH-000067,-1.04501438994
ACH-000070,-0.7415788311139999
ACH-000075,-0.8990851582580001
ACH-000078,-0.24457095127599998
ACH-000082,-0.6196987122290001
ACH-000085,-0.994837533413
ACH-000086,-1.00444898951
ACH-000087,-1.3333646995100001
ACH-000092,-0.524057954872
ACH-000095,-0.339847808051
ACH-000097,-0.822461623854
ACH-000098,-0.647131596236
ACH-000099,-0.586057696982
ACH-000108,-0.477011377891
ACH-000113,-1.02385909105
ACH-000115,-0.591566709872
ACH-000116,-0.810301266732
ACH-000118,-0.567915183594
ACH-000120,-0.71162132514
ACH-000123,-0.715408674493
ACH-000127,-0.9735717974
ACH-000128,-1.0033763931
ACH-000132,-0.6766984760629999
ACH-000133,-1.0864591055500001
ACH-000137,-0.8350574585510001
ACH-000138,-0.866700670405
ACH-000142,-1.18314761789
ACH-000143,-0.976817375315
ACH-000146,-0.5055713961389999
ACH-000148,-1.14241820255
ACH-000150,-0.985352129949
ACH-000152,-0.902628048328
ACH-000153,-0.5499686021069999
ACH-000159,-0.8232334726389999
ACH-000160,-0.6647764634269999
ACH-000163,-1.33622487733
ACH-000167,-1.18223452823
ACH-000168,-0.8979120835430001
ACH-000169,-0.9520124837880001
ACH-000178,-0.869767200865
ACH-000182,-0.53751962182
ACH-000183,-0.764035983879
ACH-000188,-1.0470676808700001
ACH-000189,-0.685627799847
ACH-000190,-0.632406446717
ACH-000198,-0.6995728219840001
ACH-000204,-0.48711799040299997
ACH-000206,-1.01211139485
ACH-000207,-0.982109475205
ACH-000211,-1.22157446985
ACH-000215,-1.28576627735
ACH-000221,-1.04807500972
ACH-000222,-0.8720966573890001
ACH-000223,-0.55228899805
ACH-000226,-0.8793655389749999
ACH-000227,-1.04598254861
ACH-000228,-0.39285742288000003
ACH-000231,-1.1164402640200002
ACH-000232,-1.11644724675
ACH-000233,-0.9321529884020001
ACH-000234,-0.490857381219
ACH-000235,-0.539555482009
ACH-000237,-0.637020080661
ACH-000238,-0.86902620201
ACH-000243,-0.890596903575
ACH-000244,-0.817749577855
ACH-000246,-0.92854860453
ACH-000248,-0.9989941717380001
ACH-000250,-0.6573172293949999
ACH-000251,-1.072451018
ACH-000253,-0.533162986778
ACH-000255,-0.741712505587
ACH-000256,-0.8935947473370001
ACH-000257,-0.622362834975
ACH-000258,-0.704784933449
ACH-000259,-1.13001765324
ACH-000260,-0.800451245613
ACH-000261,-1.059858162
ACH-000262,-1.08460226715
ACH-000263,-0.385620834793
