,CPLX4 (339302)
ACH-000004,0.229737925119
ACH-000007,0.166142224476
ACH-000009,0.359443456946
ACH-000011,0.339223009598
ACH-000012,0.307131917552
ACH-000013,0.136160922244
ACH-000014,0.0904238755367
ACH-000015,0.157553018874
ACH-000017,0.0726027262995
ACH-000018,0.35481119836999997
ACH-000019,-0.0553609927451
ACH-000021,0.21119507813299998
ACH-000022,0.13592076674
ACH-000025,0.122692954152
ACH-000028,0.234793594839
ACH-000030,0.0769258084867
ACH-000035,0.384960331434
ACH-000036,0.007999405162020001
ACH-000037,-0.104486577923
ACH-000039,0.011526743534799998
ACH-000040,0.0776693164448
ACH-000041,0.18254477775400002
ACH-000042,0.18060398143800002
ACH-000045,0.239300815723
ACH-000047,0.33962663477399996
ACH-000052,0.143192622082
ACH-000053,0.194720266201
ACH-000054,0.233088742639
ACH-000055,0.189644471899
ACH-000060,0.16016864455600002
ACH-000067,0.406700636102
ACH-000070,0.316027751383
ACH-000075,0.170236700682
ACH-000078,0.14741065406099998
ACH-000082,0.165119167302
ACH-000085,0.11600266680299999
ACH-000086,0.24003537173
ACH-000087,0.13486379295700002
ACH-000092,0.209800771691
ACH-000095,0.0734347183153
ACH-000097,0.273712139316
ACH-000098,0.243148861154
ACH-000099,0.200761964294
ACH-000108,0.140269974473
ACH-000113,0.272413718207
ACH-000115,0.116314510453
ACH-000116,0.190310303251
ACH-000118,0.177377373152
ACH-000120,0.197050445922
ACH-000123,0.138763869725
ACH-000127,0.210914277162
ACH-000128,0.19404017616
ACH-000132,0.0753956987076
ACH-000133,0.231056029131
ACH-000137,0.174732548504
ACH-000138,0.0863539882137
ACH-000142,0.20573897137000002
ACH-000143,0.127559336446
ACH-000146,0.193565749881
ACH-000148,0.232905394445
ACH-000150,0.309068797151
ACH-000152,0.360011231372
ACH-000153,0.538575272942
ACH-000159,0.220119044303
ACH-000160,0.235120492306
ACH-000163,0.405314074921
ACH-000167,0.31533443424
ACH-000168,-0.0642130451833
ACH-000169,0.23780647373799998
ACH-000178,0.08594566155109999
ACH-000182,0.233489797435
ACH-000183,0.130392544233
ACH-000188,0.256751544278
ACH-000189,0.301145146692
ACH-000190,0.32165520840100004
ACH-000198,0.171171358682
ACH-000204,-0.104578464113
ACH-000206,0.319980138024
ACH-000207,-0.007968036010390001
ACH-000211,0.130633831924
ACH-000215,0.146626541137
ACH-000221,0.241111010853
ACH-000222,0.285310808858
ACH-000223,0.0115777494923
ACH-000226,0.19897169737
ACH-000227,0.0589388809418
ACH-000228,0.151588856292
ACH-000231,0.204992354923
ACH-000232,0.07267371097
