,MPPE1 (65258)
ACH-000004,-0.10706104082699999
ACH-000007,-0.250418428496
ACH-000009,-0.310000888888
ACH-000011,-0.24738445788199998
ACH-000012,-0.337474665132
ACH-000013,-0.16768952943600002
ACH-000014,-0.232694913437
ACH-000015,-0.29367399655299997
ACH-000017,-0.265363207538
ACH-000018,-0.249661948775
ACH-000019,-0.187055463934
ACH-000021,-0.181207594996
ACH-000022,-0.0740023047006
ACH-000025,-0.21244221677499997
ACH-000028,-0.0252390819089
ACH-000030,-0.29490460448100003
ACH-000035,-0.278166603935
ACH-000036,-0.280259014215
ACH-000037,-0.127117609882
ACH-000039,-0.246691308489
ACH-000040,-0.224036883472
ACH-000041,-0.242389546577
ACH-000042,-0.804749678119
ACH-000045,-0.27743137204999996
ACH-000047,-0.0209516404665
ACH-000052,-0.35085717289800006
ACH-000053,-0.169648944391
ACH-000054,-0.16171525025900002
ACH-000055,-0.402602116651
ACH-000060,-0.11748515991399999
ACH-000067,-0.2126702673
ACH-000070,-0.115273582564
ACH-000075,-0.28295757506700003
ACH-000078,-0.06988138642189999
ACH-000082,-0.134064296641
ACH-000085,-0.437048990311
ACH-000086,-0.061265300228900005
ACH-000087,-0.088124266988
ACH-000092,-0.31533846135899996
ACH-000095,-0.123390422315
ACH-000097,-0.191258464142
ACH-000098,-0.298911660741
ACH-000099,-0.271064045436
ACH-000108,-0.344694628175
ACH-000113,-0.232445352361
ACH-000115,-0.269673709904
ACH-000116,-0.0405604130544
ACH-000118,-0.169230318381
ACH-000120,-0.33724049735399997
ACH-000123,-0.166597604197
ACH-000127,-0.0643925573295
ACH-000128,-0.14320336948100001
ACH-000132,-0.182699834196
ACH-000133,-0.16561106588
ACH-000137,-0.345228306575
ACH-000138,-0.038776332442300006
ACH-000142,-0.0675687510782
ACH-000143,-0.288718898056
ACH-000146,-0.153544863978
ACH-000148,-0.164948787929
ACH-000150,-0.412558002855
ACH-000152,-0.004099140860699999
ACH-000153,-0.0839035406798
ACH-000159,-0.0108963681223
ACH-000160,-0.452691365986
ACH-000163,-0.22156596687199998
ACH-000167,-0.441082869391
ACH-000168,-0.221218492834
ACH-000169,-0.216258782005
ACH-000178,-0.153288886396
ACH-000182,-0.0427510001183
ACH-000183,-0.164983490234
ACH-000188,-0.0921653740827
ACH-000189,-0.072735255782
ACH-000190,-0.435746892355
ACH-000198,-0.254211490593
ACH-000204,-0.10024651726099999
ACH-000206,-0.217062931895
ACH-000207,-0.304397029507
ACH-000211,-0.40095972674999997
ACH-000215,-0.214692211272
ACH-000221,-0.22297755626899998
ACH-000222,-0.39822397574100005
ACH-000223,-0.342388057678
ACH-000226,-0.025492243568400002
ACH-000227,-0.08285194319160001
ACH-000228,-0.42446581381
ACH-000231,-0.18756578005199998
ACH-000232,-0.22921139978500002
ACH-000233,-0.251425526904
ACH-000234,-0.11916470913100001
ACH-000235,-0.100064269759
ACH-000237,-0.180828189502
ACH-000238,-0.316520894536
ACH-000243,-0.265847508267
ACH-000244,-0.247364198254
ACH-000246,-0.190313189384
ACH-000248,-0.240485913249
ACH-000250,-0.0474987929075
ACH-000251,-0.0339271363357
ACH-000253,-0.0165501501124
ACH-000255,-0.38343491098899996
ACH-000256,-0.314417072756
ACH-000257,-0.0543577173387
ACH-000258,0.0311268532527
ACH-000259,-0.104308519734
ACH-000260,-0.24468250843400002
ACH-000261,-0.257677675642
ACH-000262,-0.211739207471
ACH-000263,-0.45701114269500004
ACH-000264,-0.20584585635299998
ACH-000265,-0.18593435370099998
ACH-000266,-0.20799552760899997
ACH-000272,-0.190149586724
ACH-000273,-0.361284733807
ACH-000274,-0.135325124369
ACH-000277,0.0895951803517
ACH-000278,-0.178138379166
ACH-000279,-0.266412212468
ACH-000280,-0.39635667081799997
ACH-000281,-0.36617247685500004
ACH-000288,-0.123443710418
ACH-000291,-0.26335288055100003
ACH-000293,-0.344485718283
ACH-000294,0.0165316751365
ACH-000295,-0.382539755625
ACH-000296,-0.38667151408699996
ACH-000302,-0.261194869326
ACH-000304,0.148292196305
ACH-000307,-0.130248178367
ACH-000308,-0.140862815242
ACH-000310,-0.08477799272510002
ACH-000311,-0.272779574955
ACH-000312,-0.21243074636
ACH-000315,-0.10138790145
ACH-000316,-0.27272292998799996
ACH-000317,0.0886364778553
ACH-000318,-0.16864603155299998
ACH-000319,-0.215741350707
ACH-000320,-0.16857814548099997
ACH-000322,-0.18061720594300001
ACH-000323,-0.290646734307
ACH-000324,-0.0960032621395
ACH-000329,-0.155810412468
ACH-000330,0.000520769827919
ACH-000331,-0.00411196797815
ACH-000332,-0.245347126576
ACH-000334,-0.271758970019
ACH-000335,-0.22555638196400002
ACH-000336,-0.174908248057
ACH-000337,-0.297678191222
ACH-000339,-0.288711838218
ACH-000341,-0.191016836532
ACH-000348,-0.29236036936500004
ACH-000350,-0.40719227613200004
ACH-000352,-0.288679343034
ACH-000356,-0.178201933128
ACH-000361,0.106184216346
ACH-000362,-0.150176638708
ACH-000363,-0.189071935766
ACH-000364,-0.207721974217
ACH-000365,-0.197897885315
ACH-000366,-0.149731224729
ACH-000368,-0.403611834831
ACH-000374,0.183764958891
ACH-000375,-0.15053137283
ACH-000376,-0.31226339823000004
ACH-000381,-0.127244342584
ACH-000383,-0.199610711719
ACH-000387,-0.12902761082800002
ACH-000389,-0.364200359665
ACH-000390,-0.235511375498
ACH-000393,-0.372934799618
ACH-000395,-0.46937569447099997
ACH-000397,-0.263446087477
ACH-000401,-0.161588275462
ACH-000402,0.0023342511957
ACH-000403,-0.30152886591899997
ACH-000404,0.00548518734627
ACH-000406,-0.233608692201
ACH-000407,-0.214530005865
ACH-000408,-0.283495134116
ACH-000410,-0.17162985325199998
ACH-000411,-0.11880577302
ACH-000414,-0.264718266295
ACH-000415,-0.0385640315459
ACH-000416,-0.21865995037500002
ACH-000420,-0.361120189794
ACH-000421,-0.5762614276879999
ACH-000424,-0.381885456532
ACH-000425,-0.170138667004
ACH-000426,-0.156191524275
ACH-000427,-0.437271118481
ACH-000433,-0.24724075855
ACH-000436,-0.09508009035260001
ACH-000444,-0.1423327151
ACH-000445,-0.358096921652
ACH-000448,-0.26766756496800004
ACH-000450,0.0514159918336
ACH-000452,-0.159288187268
ACH-000454,-0.127149939859
ACH-000458,-0.321318464894
ACH-000459,-0.0968168510975
ACH-000460,-0.163610266565
ACH-000461,-0.1739782034
ACH-000463,-0.336493262394
ACH-000464,-0.049139447861199996
ACH-000466,-0.248816741139
ACH-000467,-0.0616447057247
ACH-000468,-0.0796196176553
ACH-000469,-0.22704463922600002
ACH-000470,-0.47829727989299997
ACH-000471,-0.312400654356
ACH-000472,-0.346829553976
ACH-000473,-0.357401815483
ACH-000475,-0.254269090602
ACH-000476,-0.336126414764
ACH-000477,-0.026606730379400003
ACH-000480,-0.257085503116
ACH-000481,-0.192866430355
ACH-000483,-0.52891199115
ACH-000484,0.0461444641488
ACH-000485,-0.0729289412737
