,MIP (4284)
ACH-000404,-0.166988908497
ACH-000406,-0.17014573984099998
ACH-000407,0.026572470694
ACH-000408,-0.08385566987819999
ACH-000410,0.020300551461499998
ACH-000411,-0.045596351786500004
ACH-000414,-0.169182126214
ACH-000415,-0.020164797813200002
ACH-000416,-0.07156862246949999
ACH-000420,0.060728901238599996
ACH-000421,-0.157586687554
ACH-000424,-0.419044294746
ACH-000425,-0.0481838256156
ACH-000426,-0.0899465388577
ACH-000427,-0.403661407102
ACH-000433,-0.126207950681
ACH-000436,0.0379401717711
ACH-000444,-0.027370473126099998
ACH-000445,-0.149332345719
ACH-000448,-0.153667007849
ACH-000450,-0.5059931304699999
ACH-000452,-0.173822737319
ACH-000454,-0.217915877439
ACH-000458,-0.13043222211
ACH-000459,-0.04056212605619999
ACH-000460,-0.0977342814208
ACH-000461,0.059529949619
ACH-000463,-0.16630962329
ACH-000464,-0.266306522236
ACH-000466,-0.113108525656
ACH-000467,-0.08518646697650001
ACH-000468,-0.214771800415
ACH-000469,-0.103031670447
ACH-000470,0.0361627244156
ACH-000471,0.058352218277599996
ACH-000472,-0.126504040622
ACH-000473,-0.272204205023
ACH-000475,-0.0354795751809
ACH-000476,0.026642513835200003
ACH-000477,-0.175357456305
ACH-000480,-0.38331793816299997
ACH-000481,-0.0011001326144000003
ACH-000483,-0.17076178389199997
ACH-000484,0.10057944726399999
ACH-000485,0.033752756684400004
ACH-000486,-0.07493152912119999
ACH-000487,0.058679344761499996
ACH-000488,-0.21777202242199997
ACH-000490,-0.131283543949
ACH-000491,-0.284133077398
ACH-000495,0.0978342745975
ACH-000496,-0.126265580976
ACH-000499,-0.219689566034
ACH-000500,0.520382482496
ACH-000502,-0.08955153984780001
ACH-000503,0.28732149084
ACH-000505,-0.0316519715682
ACH-000507,-0.0900336272986
ACH-000510,0.00896753116077
ACH-000511,-0.0158558287246
ACH-000512,0.102662635791
ACH-000516,-0.1096371979
ACH-000517,-0.151976024392
ACH-000518,-0.124106307537
ACH-000520,-0.236958251203
ACH-000521,0.0657045596677
ACH-000522,0.0263846640229
ACH-000524,-0.126306527699
ACH-000527,-0.04599045082119999
ACH-000528,-0.12381224992999999
ACH-000537,-0.0848435416761
ACH-000541,0.137474884236
ACH-000542,-0.0309330450566
ACH-000544,-0.0494524688459
ACH-000545,-0.0328194001774
ACH-000547,0.015976961690899998
ACH-000548,-0.0275139731079
ACH-000549,-0.15349673973
ACH-000550,-0.0469400737505
ACH-000552,-0.0378777318616
ACH-000556,-0.17918468257
ACH-000557,-0.127457494047
ACH-000570,-0.120810237117
ACH-000571,0.0126542345123
ACH-000573,-0.023194623995500003
ACH-000576,-0.17802353637200002
ACH-000580,-0.320036292317
ACH-000584,-0.017335406463
ACH-000585,-0.114841765338
ACH-000588,-0.100462022804
ACH-000589,-0.122649514987
ACH-000591,-0.148565445573
ACH-000593,-0.0959394067013
ACH-000600,-0.117548984933
ACH-000601,-0.07663646205489999
ACH-000604,-0.27319749221
ACH-000605,-0.138845230278
ACH-000606,-0.142487197912
ACH-000608,-0.34402021647500003
ACH-000614,0.0653656616021
ACH-000616,-0.34989278030500004
ACH-000618,-0.0954665818269
ACH-000619,0.031281175771300004
ACH-000620,-0.0779345635863
ACH-000621,-0.21244758146499998
ACH-000622,-0.13219403678799999
ACH-000623,-0.00996854391244
ACH-000624,-0.10597007531099999
