,APOBEC3D (140564)
ACH-000004,-0.381131988142
ACH-000007,-0.060974647359199996
ACH-000009,-0.25133679267299996
ACH-000011,-0.186563798627
ACH-000012,-0.103483917672
ACH-000013,-0.327900239685
ACH-000014,-0.338004033789
ACH-000015,-0.316771381839
ACH-000017,-0.186969289772
ACH-000018,-0.0657758332725
ACH-000019,-0.33971051147799997
ACH-000021,-0.232301517155
ACH-000022,-0.258382119425
ACH-000025,-0.08973055256489999
ACH-000028,-0.251706311692
ACH-000030,-0.301687199046
ACH-000035,-0.05999071818659999
ACH-000036,-0.16120290418400002
ACH-000037,-0.0677905558596
ACH-000039,-0.12148868341499999
ACH-000040,-0.179493776013
ACH-000041,-0.262707215347
ACH-000042,-0.5342115124819999
ACH-000045,-0.29381234889400004
ACH-000047,-0.190107766616
ACH-000052,-0.235584947368
ACH-000053,-0.24114873636999998
ACH-000054,-0.0884994046356
ACH-000055,0.115694949023
ACH-000060,-0.378728790541
ACH-000067,-0.256538954324
ACH-000070,-0.365783298537
ACH-000075,-0.164929874779
ACH-000078,-0.406769027798
ACH-000082,-0.122951531168
ACH-000085,-0.280749038445
ACH-000086,-0.0466695297206
ACH-000087,-0.122052093296
ACH-000092,-0.158875000445
ACH-000095,-0.294976765774
ACH-000097,-0.316764640346
ACH-000098,-0.24697508465999998
ACH-000099,-0.314737200796
ACH-000108,-0.284756923365
ACH-000113,-0.0444177750581
ACH-000115,-0.35359289337
ACH-000116,-0.14506435268100001
ACH-000118,-0.179541154408
ACH-000120,-0.144859041804
ACH-000123,-0.261117882487
ACH-000127,-0.159999576524
ACH-000128,-0.128574554811
ACH-000132,-0.0381384926655
ACH-000133,-0.0090116859887
ACH-000137,-0.296584562374
ACH-000138,-0.09471819258099999
ACH-000142,-0.06986163272069999
ACH-000143,-0.180561662634
ACH-000146,-0.26926705665
ACH-000148,0.077806340068
ACH-000150,-0.133897887003
ACH-000152,-0.0667843788172
ACH-000153,-0.00138647507544
ACH-000159,-0.00926867110722
ACH-000160,-0.26676915071999996
ACH-000163,-0.252062271118
ACH-000167,-0.532283008953
ACH-000168,-0.23864324080899998
ACH-000169,-0.239494431565
ACH-000178,-0.196437053901
ACH-000182,-0.24546144252399998
ACH-000183,-0.177195243139
ACH-000188,-0.0360541817631
ACH-000189,0.0217060212772
ACH-000190,-0.036603466798
