,SMURF1 (57154)
ACH-000004,-0.040852260331800005
ACH-000007,-0.0763134974115
ACH-000009,-0.08478705803139999
ACH-000011,-0.4596165602100001
ACH-000012,-0.07053190419810001
ACH-000013,-0.178850952447
ACH-000014,-0.255454291628
ACH-000015,-0.168689022626
ACH-000017,-0.265681204188
ACH-000018,-0.0151802327281
ACH-000019,-0.476689908627
ACH-000021,-0.339348497813
ACH-000022,-0.338330241308
ACH-000025,0.0459008114278
ACH-000028,-0.439548705527
ACH-000030,-0.164035261045
ACH-000035,-0.516591151983
ACH-000036,-0.635263438141
ACH-000037,-0.08673994544819999
ACH-000039,-0.180287892526
ACH-000040,-0.292481296845
ACH-000041,-0.21164671611900002
ACH-000042,-0.158709373891
ACH-000045,-0.141800333575
ACH-000047,-0.0878180721082
ACH-000052,-0.23982273241500002
ACH-000053,-0.0176368462113
ACH-000054,-0.422753218923
ACH-000055,-0.227390444809
ACH-000060,-0.42371046179399996
ACH-000067,-0.36785384649499997
ACH-000070,-0.26090647717099996
ACH-000075,-0.457559685669
ACH-000078,0.0104325424828
ACH-000082,-0.149184985183
ACH-000085,-0.35648554248000003
ACH-000086,-0.0607899313271
ACH-000087,-0.292772785577
ACH-000092,-0.133753733262
ACH-000095,-0.18919924894200002
ACH-000097,-0.345109776119
ACH-000098,-0.27891763338000003
ACH-000099,-0.0187484782676
ACH-000108,0.0695209652731
ACH-000113,0.021466213927500002
ACH-000115,-0.132253983848
ACH-000116,-0.0200731394284
ACH-000118,-0.00262982116676
ACH-000120,-0.230054460377
ACH-000123,-0.112065882439
ACH-000127,-0.20375081158
ACH-000128,-0.317814753869
ACH-000132,-0.0977455876605
ACH-000133,-0.12479764736400001
ACH-000137,-0.103316665424
ACH-000138,0.006449871751390001
ACH-000142,-0.7245176010609999
ACH-000143,-0.372806898392
ACH-000146,-0.126594099804
ACH-000148,-0.270839680199
ACH-000150,-0.238538238748
ACH-000152,-0.257044011087
ACH-000153,-0.488884987173
ACH-000159,-0.349542400979
ACH-000160,-0.42457119387500003
ACH-000163,0.0942026193158
ACH-000167,-0.116994594031
ACH-000168,-0.107613977707
ACH-000169,-0.207942851339
ACH-000178,-0.12531427916
ACH-000182,-0.0223793195132
ACH-000183,-0.144957441853
ACH-000188,-0.322969214806
ACH-000189,-0.248511578911
ACH-000190,-0.0987814511245
ACH-000198,-0.14297943043
ACH-000204,0.11709688120200001
ACH-000206,-0.0129409940555
ACH-000207,-0.519152666874
ACH-000211,-0.32373279481
ACH-000215,-0.15179864956800002
ACH-000221,-0.39657683788599996
ACH-000222,-0.676876585688
ACH-000223,-0.292736810868
ACH-000226,-0.0364058338271
ACH-000227,-0.11524677473099999
ACH-000228,-0.0339152825898
ACH-000231,-0.140802669333
ACH-000232,-0.35439432185099995
ACH-000233,-0.038232996229
ACH-000234,-0.12172753557299999
ACH-000235,-0.230744342233
ACH-000237,-0.19386053989399998
ACH-000238,-0.257502892497
ACH-000243,-0.09849294501039998
ACH-000244,-0.463992857792
ACH-000246,-0.180059565847
ACH-000248,-0.35318245192500003
ACH-000250,-0.211291943994
ACH-000251,-0.236085547297
ACH-000253,-0.0323212478681
ACH-000255,-0.038864076563
ACH-000256,-0.11052637249500001
ACH-000257,-0.34268185077200003
ACH-000258,-0.08857611834760001
ACH-000259,-0.126593312542
ACH-000260,-0.0510971820156
ACH-000261,-0.312798271769
ACH-000262,-0.266045778353
ACH-000263,-0.0831824825248
ACH-000264,-0.23800783196999997
ACH-000265,-0.06738261973899999
ACH-000266,-0.19029647847800002
ACH-000272,-0.17779248157699998
ACH-000273,0.0508064214075
ACH-000274,-0.15092714810900001
ACH-000277,-0.36348167062299996
ACH-000278,-0.104183526235
ACH-000279,-0.176490910306
ACH-000280,-0.261759742632
ACH-000281,-0.257704623678
ACH-000288,-0.277483260733
ACH-000291,-0.20350551454
ACH-000293,-0.500476216932
ACH-000294,0.0252815579942
ACH-000295,-0.776747730783
ACH-000296,-0.11234633101399999
ACH-000302,-0.145112908586
ACH-000304,-0.006642411006079999
ACH-000307,0.0433234594161
ACH-000308,-0.278478697358
ACH-000310,0.0351434686677
ACH-000311,-0.325464605668
ACH-000312,-0.021896235345299997
ACH-000315,-0.24735613785399999
ACH-000316,-0.572550554597
ACH-000317,-0.170783409725
ACH-000318,-0.257779154562
ACH-000319,-0.0452112892552
ACH-000320,-0.0804484355022
ACH-000322,-0.246617295674
ACH-000323,-0.235094173134
ACH-000324,-0.148241054341
ACH-000329,-0.218120475486
ACH-000330,-0.204412015232
ACH-000331,-0.160571536357
ACH-000332,-0.0992941134874
ACH-000334,-0.0168604654823
ACH-000335,-0.237396365026
ACH-000336,-0.290206411326
ACH-000337,-0.137074098948
ACH-000339,-0.078846748067
ACH-000341,-0.170792659084
ACH-000348,-0.33102540577100004
ACH-000350,-0.0153481127458
ACH-000352,-0.0711099331813
ACH-000356,-0.19534723699099998
ACH-000361,-0.0503710153862
ACH-000362,-0.21795952036
ACH-000363,-0.0149750735354
ACH-000364,-0.37071898037100004
ACH-000365,-0.426715610496
ACH-000366,-0.0675445125983
ACH-000368,-0.37091812275200003
