,GDAP1 (54332)
ACH-000004,-0.0587118507811
ACH-000007,0.012159593048300001
ACH-000009,-0.126659869479
ACH-000011,-0.0797841014266
ACH-000012,-0.551142275732
ACH-000013,-0.087771939409
ACH-000014,-0.137319869714
ACH-000015,-0.112573073086
ACH-000017,-0.152846754438
ACH-000018,-0.20091728261
ACH-000019,-0.0707857450072
ACH-000021,-0.12583293492
ACH-000022,-0.105949576249
ACH-000025,-0.291666863258
ACH-000028,-0.0933185105352
ACH-000030,-0.0913161300128
ACH-000035,-0.28841816981699997
ACH-000036,0.018967915281200003
ACH-000037,-0.183480654478
ACH-000039,-0.157985356951
ACH-000040,0.0059662903055399995
ACH-000041,-0.200068823021
ACH-000042,0.0110519617727
ACH-000045,-0.07480841590689999
ACH-000047,-0.128517398936
ACH-000052,-0.07411490873599999
ACH-000053,-0.19712956778000001
ACH-000054,-0.05641848343309999
ACH-000055,-0.374940183781
ACH-000060,0.037963584344000004
ACH-000067,-0.0990448440228
ACH-000070,0.0560274934918
ACH-000075,-0.0678440904144
ACH-000078,0.013980073689899999
ACH-000082,-0.0389796804741
ACH-000085,-0.224998582768
ACH-000086,0.060001347627999996
ACH-000087,-0.13448946411499998
ACH-000092,-0.061993035832699994
ACH-000095,-0.113629605816
ACH-000097,-0.123090891471
ACH-000098,-0.073841563587
ACH-000099,-0.21432470868200001
ACH-000108,-0.226843693487
ACH-000113,-0.213135037291
ACH-000115,-0.042589242392100005
ACH-000116,-0.0533502524126
ACH-000118,-0.09052890675660001
ACH-000120,-0.164184993486
ACH-000123,-0.173172677438
ACH-000127,-0.124625971315
ACH-000128,-0.030919939735400002
ACH-000132,-0.139360798912
ACH-000133,-0.06884772354089999
ACH-000137,-0.0449316107632
ACH-000138,0.0187876991797
ACH-000142,-0.0491062448972
ACH-000143,-0.13161570998
ACH-000146,-0.105561580603
ACH-000148,0.00404286558754
ACH-000150,-0.106422380702
ACH-000152,-0.264574953114
ACH-000153,-0.372857103044
ACH-000159,0.07464935197889999
ACH-000160,-0.0680115684183
ACH-000163,-0.0652698166692
ACH-000167,-0.137923133418
ACH-000168,-0.156813491534
ACH-000169,0.0335170763546
ACH-000178,-0.11407550267699999
ACH-000182,-0.238488097349
ACH-000183,-0.29765826026299996
ACH-000188,-0.14810899168199998
ACH-000189,0.008703564840129999
ACH-000190,0.07320364509610001
ACH-000198,-0.0514788225545
ACH-000204,-0.35842876365099996
ACH-000206,-0.0791365249257
ACH-000207,-0.09684376098360001
ACH-000211,-0.0246201286354
ACH-000215,-0.0210087839424
ACH-000221,-0.135611520516
ACH-000222,-0.15373907480000001
ACH-000223,-0.0402396389346
ACH-000226,-0.22870215136100003
ACH-000227,0.0138478843731
ACH-000228,-0.059393732907300004
ACH-000231,-0.192810028357
ACH-000232,-0.151842311138
ACH-000233,-0.14648167740499998
ACH-000234,0.0249095593593
ACH-000235,-0.191247959221
ACH-000237,-0.0360499716245
ACH-000238,-0.18322617889000004
ACH-000243,-0.17855193752
ACH-000244,-0.362711189315
ACH-000246,-0.021213436424599996
ACH-000248,-0.527571786385
ACH-000250,-0.11251024529300001
ACH-000251,0.031584594915
ACH-000253,-0.135378718302
ACH-000255,-0.0711022825677
ACH-000256,-0.0559587236924
ACH-000257,0.0749334827258
ACH-000258,-0.6534957994039999
ACH-000259,0.110701068035
ACH-000260,-0.16402436861199998
ACH-000261,-0.19720903646899998
ACH-000262,0.00787630753895
ACH-000263,0.199096063011
ACH-000264,-0.144285730551
