,GOLGA8R (101059918)
ACH-000004,-0.499627937606
ACH-000007,-0.673903356304
ACH-000009,-0.564531323794
ACH-000011,-0.231919245563
ACH-000012,-0.20501956931499998
ACH-000013,-0.21145926042100002
ACH-000014,-0.461445152997
ACH-000015,-0.323459600859
ACH-000017,-0.45889367040299994
ACH-000018,-0.392942977006
ACH-000019,-0.535982515514
ACH-000021,-0.372747646698
ACH-000022,-0.447508997129
ACH-000025,-0.57972076577
ACH-000028,-0.315581986922
ACH-000030,-0.397945864048
ACH-000035,-0.2701258485
ACH-000036,-0.358838191748
ACH-000037,-0.5434941866390001
ACH-000039,-0.31808203366300003
ACH-000040,-0.376306307306
ACH-000041,-0.316589633429
ACH-000042,-0.326883753027
ACH-000045,-0.156200336699
ACH-000047,-0.618875794491
ACH-000052,-0.521419715109
ACH-000053,-0.40973322625
ACH-000054,-0.60917643173
ACH-000055,-0.28186186306899996
ACH-000060,-0.252948767225
ACH-000067,-0.379037559926
ACH-000070,-0.302627368686
ACH-000075,-0.48938380643
ACH-000078,-0.34715626817699996
ACH-000082,-0.42255831206200006
ACH-000085,-0.289529041665
ACH-000086,-0.37166274798
ACH-000087,-0.39329269553499996
ACH-000092,-0.653275825983
ACH-000095,-0.528936142469
ACH-000097,-0.525974970826
ACH-000098,-0.549475590398
ACH-000099,-0.443548243882
ACH-000108,-0.374198936184
ACH-000113,-0.46166661395099995
ACH-000115,-0.4504060001199999
ACH-000116,-0.513502319672
ACH-000118,-0.257553677936
ACH-000120,-0.30078784435600003
ACH-000123,-0.459785145168
ACH-000127,-0.379540840761
ACH-000128,-0.46005292670000003
ACH-000132,-0.619746282566
ACH-000133,-0.31692464313
ACH-000137,-0.579724880412
ACH-000138,-0.603231225978
ACH-000142,-0.48954488482600006
ACH-000143,-0.425832003616
ACH-000146,-0.275530674337
ACH-000148,-0.468582163039
ACH-000150,-0.38879923865500005
ACH-000152,-0.5417503619039999
ACH-000153,-0.499965296014
ACH-000159,-0.251539894808
ACH-000160,-0.42905462752800005
ACH-000163,-0.220163108702
ACH-000167,-0.723049303776
ACH-000168,-0.26619468521
ACH-000169,-0.428450785718
ACH-000178,-0.42438747890199996
ACH-000182,-0.258719132132
ACH-000183,-0.351699534912
ACH-000188,-0.458257519841
ACH-000189,-0.0971878947084
ACH-000190,-0.252806321379
ACH-000198,-0.14138505439500001
ACH-000204,-0.644714277903
ACH-000206,-0.162844674267
ACH-000207,-0.159084277062
ACH-000211,-0.420844780512
ACH-000215,-0.529619522415
ACH-000221,-0.23395561595800002
ACH-000222,-0.47733130848399996
ACH-000223,-0.320436179811
ACH-000226,-0.36200982231299994
ACH-000227,-0.49325479644500003
ACH-000228,-0.169256462164
ACH-000231,-0.408206815352
ACH-000232,-0.44393775469700003
ACH-000233,-0.561895772807
ACH-000234,-0.249317381894
ACH-000235,-0.524203594688
ACH-000237,-0.41112285914700003
ACH-000238,-0.265702892694
ACH-000243,-0.467440985285
ACH-000244,-0.38294960944
ACH-000246,-0.224111292579
ACH-000248,-0.39570815450900004
ACH-000250,-0.36538249850000004
ACH-000251,-0.276540441086
ACH-000253,-0.33322674241300004
ACH-000255,-0.302496655487
ACH-000256,-0.5283364641699999
ACH-000257,-0.602527640721
ACH-000258,-0.844149829427
ACH-000259,-0.37525089681199997
ACH-000260,-0.39385507924999996
ACH-000261,-0.353674254485
ACH-000262,-0.234578653061
ACH-000263,-0.0863380618923
ACH-000264,-0.148931855792
ACH-000265,-0.33805356632399997
ACH-000266,-0.48972207737499995
ACH-000272,-0.693584788282
ACH-000273,-0.441148329131
ACH-000274,-0.510689701441
ACH-000277,-0.21934436295200002
ACH-000278,-0.0669856491032
ACH-000279,-0.480510417188
ACH-000280,-0.34310685501800003
ACH-000281,-0.139968708297
