,GAK (2580)
ACH-000004,-0.0481569655509
ACH-000007,-0.36540464639
ACH-000009,-0.612543437897
ACH-000011,-0.9661152745280001
ACH-000012,-0.6187206471019999
ACH-000013,-0.278543898093
ACH-000014,-0.253686988259
ACH-000015,-0.7540950087459999
ACH-000017,-0.264010380799
ACH-000018,-0.688315535224
ACH-000019,-0.45913869885499997
ACH-000021,-0.690721614295
ACH-000022,-0.5382879722380001
ACH-000025,-0.341671813165
ACH-000028,-0.454440642335
ACH-000030,-0.625670229762
ACH-000035,-0.374810617721
ACH-000036,-0.625155207572
ACH-000037,-0.94031495366
ACH-000039,-0.599233876417
ACH-000040,-0.898841833391
ACH-000041,-0.263119654328
ACH-000042,-0.722818172331
ACH-000045,-0.7355116370300001
ACH-000047,-0.5773547247290001
ACH-000052,-0.46524711161399995
ACH-000053,-0.577279442959
ACH-000054,-0.285629465065
ACH-000055,-0.7737112284540001
ACH-000060,-0.508494421875
ACH-000067,-0.396009443262
ACH-000070,-0.910261723831
ACH-000075,-0.41289771960199995
ACH-000078,-0.448810449889
ACH-000082,-0.627177890202
ACH-000085,-0.901559918961
ACH-000086,-0.263798621779
ACH-000087,-0.23262780144
ACH-000092,-0.252657293575
ACH-000095,-0.769907803015
ACH-000097,-0.438960282443
ACH-000098,0.0346752877079
ACH-000099,-0.40206508989
ACH-000108,-0.330370344637
ACH-000113,-0.574284373681
ACH-000115,-1.14337314278
ACH-000116,-0.7355915106550001
ACH-000118,-0.37445563265500004
ACH-000120,-0.450913573798
ACH-000123,-0.700262818135
ACH-000127,-0.952997106234
ACH-000128,-0.72379515728
ACH-000132,-1.09467729248
ACH-000133,-0.6070700906490001
ACH-000137,-0.254860513698
ACH-000138,-0.540877011309
ACH-000142,-0.8699802734450001
ACH-000143,-0.307760629861
ACH-000146,-0.912866233273
ACH-000148,-0.418452444085
ACH-000150,-0.661872053108
ACH-000152,-0.400327073262
ACH-000153,-0.595721445976
ACH-000159,-0.501137777205
ACH-000160,-0.919001513785
ACH-000163,-0.6903386231990001
ACH-000167,-0.692718133703
ACH-000168,-0.583168426968
ACH-000169,-0.75058597767
ACH-000178,-0.656885545215
ACH-000182,-0.899906087579
ACH-000183,-0.48714331978200004
ACH-000188,-0.812045948275
ACH-000189,-0.613636110036
ACH-000190,-0.872654432218
ACH-000198,-0.580256492905
ACH-000204,-0.46880971398599997
ACH-000206,-0.742255270553
ACH-000207,-0.847168419887
ACH-000211,-0.65631634574
ACH-000215,-0.741294960129
ACH-000221,-0.467089824062
ACH-000222,-0.372000724291
ACH-000223,-0.8650665826739999
ACH-000226,-0.672710655705
ACH-000227,-0.617887127641
ACH-000228,-0.7040781486609999
ACH-000231,-0.682320804682
