,PGAP3 (93210)
ACH-000004,-0.313440787299
ACH-000007,-0.233327932826
ACH-000009,-0.324768010366
ACH-000011,-0.081430394621
ACH-000012,-0.300876804038
ACH-000013,-0.270188725089
ACH-000014,-0.228510077495
ACH-000015,-0.1421352876
ACH-000017,-0.148322176714
ACH-000018,0.013648501221600001
ACH-000019,-0.120618427063
ACH-000021,-0.275875515679
ACH-000022,-0.0285860226002
ACH-000025,-0.0563767436816
ACH-000028,-0.259792326602
ACH-000030,-0.22720018311299997
ACH-000035,-0.520173248649
ACH-000036,-0.22053842679699998
ACH-000037,-0.18876014247499998
ACH-000039,-0.216666410521
ACH-000040,-0.181258157491
ACH-000041,-0.3183836995
ACH-000042,-0.196984771887
ACH-000045,-0.383475953342
ACH-000047,-0.168949787032
ACH-000052,-0.489992214428
ACH-000053,-0.103412577039
ACH-000054,-0.27147378320099996
ACH-000055,-0.283726882938
ACH-000060,-0.246685557717
ACH-000067,-0.25724196936
ACH-000070,-0.37343592375600004
ACH-000075,-0.553455271775
ACH-000078,-0.11380521422499999
ACH-000082,-0.371841966995
ACH-000085,-0.264211337641
ACH-000086,-0.257772465841
ACH-000087,-0.240373366802
ACH-000092,-0.17264009554
ACH-000095,-0.282648641492
ACH-000097,-0.24715830100000002
ACH-000098,-0.3290906613
ACH-000099,-0.305101032394
ACH-000108,-0.26105718688499996
ACH-000113,-0.319162301109
ACH-000115,-0.09677779264969999
ACH-000116,-0.269589690898
ACH-000118,-0.222839481945
ACH-000120,-0.444068058165
ACH-000123,-0.050711995866599996
ACH-000127,-0.17169156650400003
ACH-000128,-0.307878364086
ACH-000132,-0.188859262564
ACH-000133,-0.13712298431
ACH-000137,-0.127673584134
ACH-000138,-0.5135889354209999
ACH-000142,-0.315365190383
ACH-000143,-0.148812195602
ACH-000146,-0.131494947345
ACH-000148,-0.12266889345799999
ACH-000150,-0.30654870488
ACH-000152,-0.29356190486
ACH-000153,-0.053667413738400005
ACH-000159,-0.261578046228
ACH-000160,-0.499762625938
ACH-000163,-0.28694734812399997
ACH-000167,-0.248446178052
ACH-000168,-0.331227853498
ACH-000169,-0.30618097825
ACH-000178,-0.2033251248
ACH-000182,-0.258566362624
ACH-000183,-0.315361393762
ACH-000188,-0.226415344585
ACH-000189,-0.464331710066
ACH-000190,-0.20687074654100002
ACH-000198,-0.318621938798
ACH-000204,-0.38963173669600004
ACH-000206,-0.37582851980400006
ACH-000207,-0.0878451958986
ACH-000211,-0.27907272062
ACH-000215,-0.22204671674499998
ACH-000221,-0.261399445999
ACH-000222,-0.331298584565
ACH-000223,-0.20484660494399998
ACH-000226,-0.16791709340100003
ACH-000227,-0.28740831652300003
ACH-000228,-0.376145471179
ACH-000231,-0.21406662276799998
ACH-000232,-0.173783073706
ACH-000233,-0.251898067407
