,DCPS (28960)
ACH-000004,-0.33527111748599997
ACH-000007,-0.49517553111999996
ACH-000009,-0.407218768843
ACH-000011,-0.928507739674
ACH-000012,-0.437635494542
ACH-000013,-0.198259333491
ACH-000014,-0.37073444846000003
ACH-000015,-0.449337817427
ACH-000017,-0.026220168490499997
ACH-000018,-0.7478986549459999
ACH-000019,-0.276289864916
ACH-000021,-0.250410570619
ACH-000022,-0.150267666731
ACH-000025,-0.6715279241329999
ACH-000028,-0.5103980878559999
ACH-000030,-0.71471194839
ACH-000035,-0.404665822233
ACH-000036,-0.470088922101
ACH-000037,-0.30031743021699997
ACH-000039,-0.487128156469
ACH-000040,-0.21781279648600002
ACH-000041,-0.255246232669
ACH-000042,-0.438870179714
ACH-000045,-0.587185332381
ACH-000047,-0.238757490782
ACH-000052,-0.351200415984
ACH-000053,-0.38307172285700003
ACH-000054,-0.163990838616
ACH-000055,-0.667336309195
ACH-000060,-0.59223942032
ACH-000067,-0.221205959881
ACH-000070,-0.7480446123819999
ACH-000075,-0.19813462489999997
ACH-000078,-0.371741618801
ACH-000082,-0.124908038443
ACH-000085,-0.422826312179
ACH-000086,0.0488469329143
ACH-000087,-0.557105121455
ACH-000092,-0.305054893128
ACH-000095,-0.445917254205
ACH-000097,-0.012965365113
ACH-000098,-0.38101628579
ACH-000099,-0.477224517786
ACH-000108,-0.614671681433
ACH-000113,-0.439518953477
ACH-000115,-0.507161601492
ACH-000116,-0.108800690548
ACH-000118,-0.5803441484790001
ACH-000120,-0.345724139302
ACH-000123,-0.685291851322
ACH-000127,-0.697535614916
ACH-000128,-0.407215305357
ACH-000132,-0.47558574647699997
ACH-000133,-0.190692682786
ACH-000137,-0.216867949526
ACH-000138,-0.711063124588
ACH-000142,-0.6087924497330001
ACH-000143,-0.523645376918
ACH-000146,-0.133624524229
ACH-000148,-0.26187810498799996
ACH-000150,-0.14362634224999998
ACH-000152,-0.38652046181999994
ACH-000153,-0.5450681598830001
ACH-000159,-0.187740134699
ACH-000160,-0.260601543338
ACH-000163,-0.211029441744
ACH-000167,1.53082571153
ACH-000168,-0.497133998965
ACH-000169,-0.513182495761
ACH-000178,-0.6008711507310001
ACH-000182,-0.09025220202639998
ACH-000183,-0.634238423823
ACH-000188,-0.859956916187
ACH-000189,-0.738831509518
ACH-000190,-0.550863366528
ACH-000198,-0.615958129282
ACH-000204,-0.0564404471653
ACH-000206,-0.11653086902000001
ACH-000207,-0.802074690812
ACH-000211,-0.153228302777
ACH-000215,-0.17919828309
ACH-000221,0.024953932054499996
ACH-000222,-0.552639476677
ACH-000223,-0.330394476737
ACH-000226,-0.563759028001
ACH-000227,-0.525577747184
ACH-000228,-0.483719452223
ACH-000231,-0.25958993864
ACH-000232,-0.329087459661
ACH-000233,-0.751722096307
ACH-000234,-0.50691979405
ACH-000235,-0.427429587821
ACH-000237,-0.362955619331
ACH-000238,-0.6529230112259999
ACH-000243,-0.601710784753
ACH-000244,-0.323495700436
ACH-000246,-0.538936263141
ACH-000248,-0.0236013918989
ACH-000250,-0.286854781306
ACH-000251,-0.418657969792
ACH-000253,-0.227252456104
ACH-000255,-0.612663536802
ACH-000256,-0.355796084581
ACH-000257,-0.705266311011
ACH-000258,-0.5499466617409999
ACH-000259,-0.648662624696
ACH-000260,-0.307520346614
ACH-000261,-0.255645724671
ACH-000262,-0.759535646551
ACH-000263,-0.163210909372
ACH-000264,-0.217338489376
ACH-000265,-0.643243508952
ACH-000266,-0.343145641474
ACH-000272,-0.42645360677
ACH-000273,-0.8648177689759999
ACH-000274,-0.054411259948199994
ACH-000277,-0.0204415396451
ACH-000278,-0.473206229501
ACH-000279,-0.805311986061
ACH-000280,-0.564553305231
ACH-000281,-0.933855255603
ACH-000288,-0.663092450369
ACH-000291,-0.140975385604
ACH-000293,-0.34464825289800005
ACH-000294,-0.560709226183
ACH-000295,-0.642443216577
ACH-000296,-0.748327687011
ACH-000302,0.063391525091
ACH-000304,-0.38674161576899996
ACH-000307,-0.699719354104
ACH-000308,-0.213919989427
ACH-000310,-0.7690130999089999
ACH-000311,-0.327200155853
ACH-000312,-0.480551047887
ACH-000315,-0.9042924948890001
ACH-000316,-0.749735689101
ACH-000317,-0.502174745443
ACH-000318,-0.396887734833
ACH-000319,-0.389167688242
ACH-000320,-0.833806317717
ACH-000322,-0.382200729292
ACH-000323,-0.164907423476
ACH-000324,-0.590118051966
ACH-000329,-0.05750232025259999
ACH-000330,-0.482068930308
ACH-000331,-0.306776612178
ACH-000332,-0.277926186741
ACH-000334,-0.48564292145599997
ACH-000335,-0.910516188459
ACH-000336,0.140655361301
ACH-000337,-0.37018906170599997
ACH-000339,-0.579617253003
ACH-000341,-0.47526293110699996
ACH-000348,-0.11622978141899999
ACH-000350,-0.332503350392
ACH-000352,-0.194732229342
ACH-000356,-0.49262616366499995
ACH-000361,-0.546328519844
ACH-000362,-0.601454420016
ACH-000363,0.10937486384199999
ACH-000364,-0.662969043095
ACH-000365,-0.76608845771
ACH-000366,-0.47523495567199997
ACH-000368,-0.250701846897
ACH-000374,-1.19513449463
ACH-000375,-0.722429561516
ACH-000376,-0.220527568057
ACH-000381,-0.543306316418
ACH-000383,-0.379927028482
ACH-000387,-0.5734025522439999
ACH-000389,-0.126654709838
ACH-000390,-0.270386282831
ACH-000393,-0.385161542617
ACH-000395,-0.432986309632
ACH-000397,-0.110174103766
ACH-000401,-0.197714592255
ACH-000402,-0.397971309552
ACH-000403,-0.1742231052
ACH-000404,-0.482121120863
ACH-000406,-0.133259010741
ACH-000407,-0.37164612338299996
ACH-000408,-0.717104096936
ACH-000410,-0.20365848909
ACH-000411,-0.663447855127
ACH-000414,-0.362198394588
ACH-000415,-0.483171644776
ACH-000416,-0.09076529333979999
ACH-000420,-0.34754103522299995
ACH-000421,-0.150805970672
ACH-000424,-0.48141644670100003
ACH-000425,-0.24328039811799998
ACH-000426,-0.198805108207
ACH-000427,-0.519266751687
ACH-000433,-0.426092503041
ACH-000436,-0.281602163384
ACH-000444,-0.306812734671
ACH-000445,-0.6150093741520001
ACH-000448,-0.178017106717
ACH-000450,-0.195140950653
ACH-000452,-0.455822136491
ACH-000454,-0.7319680621629999
ACH-000458,-0.528869488427
ACH-000459,-0.592597280221
ACH-000460,-0.640361646644
ACH-000461,-0.465802770544
ACH-000463,-0.12355609741800001
ACH-000464,-0.200462815817
ACH-000466,-0.328413631976
ACH-000467,-0.26089594214899997
ACH-000468,-0.673097637571
ACH-000469,-0.058717693185599995
ACH-000470,-0.28569206917
ACH-000471,-0.326890227719
ACH-000472,-0.360344764503
ACH-000473,-0.319060305444
ACH-000475,-0.254760195382
ACH-000476,-0.162660186667
ACH-000477,-0.32863306305100004
ACH-000480,-0.36067204830899996
ACH-000481,-0.39532538207199996
ACH-000483,-0.318231471756
ACH-000484,-0.357504397676
ACH-000485,-0.371909248289
ACH-000486,-0.497316431254
ACH-000487,-0.551641426203
ACH-000488,-0.37908954505900005
ACH-000490,-0.543065871144
ACH-000491,-0.04858102882259999
ACH-000495,-0.783436883793
ACH-000496,-0.657741775516
ACH-000499,-0.45179919018799997
ACH-000500,-0.495818676107
ACH-000502,-0.679947203363
ACH-000503,-0.731693498022
ACH-000505,-0.387495623332
ACH-000507,-0.19528095717099997
ACH-000510,-0.422201818055
ACH-000511,-0.0823234791037
ACH-000512,-0.232817787504
ACH-000516,-0.10680534188100001
ACH-000517,-0.24692970155299998
ACH-000518,-0.497526090938
