,WARS (7453)
ACH-000004,-1.3573109395200003
ACH-000007,-1.3128662469299999
ACH-000009,-1.32431558081
ACH-000011,-1.25451121234
ACH-000012,-1.21253365675
ACH-000013,-1.36413462276
ACH-000014,-1.2793959588200001
ACH-000015,-1.19450700448
ACH-000017,-1.70013023961
ACH-000018,-1.08210714362
ACH-000019,-0.8848031405589999
ACH-000021,-1.21449143393
ACH-000022,-0.948128026972
ACH-000025,-1.0850120088600002
ACH-000028,-0.989164857774
ACH-000030,-1.4695920736599999
ACH-000035,-1.1259323164200001
ACH-000036,-1.3746197126800002
ACH-000037,-1.53904532861
ACH-000039,-1.0239276812
ACH-000040,-1.2422919056100001
ACH-000041,-1.5922763638
ACH-000042,-1.3006716942899998
ACH-000045,-1.21128325069
ACH-000047,-1.24179628749
ACH-000052,-1.45647723733
ACH-000053,-1.2185963005
ACH-000054,-1.1747609767899998
ACH-000055,-1.28653882354
ACH-000060,-1.27120707253
ACH-000067,-1.11296299339
ACH-000070,-1.31061924025
ACH-000075,-0.9108143308609999
ACH-000078,-1.4377126859
ACH-000082,-1.17467649258
ACH-000085,-1.30445576389
ACH-000086,-1.4836059740099998
ACH-000087,-1.05726325076
ACH-000092,-1.3631867659399999
ACH-000095,-1.28716557356
ACH-000097,-1.1187911043
ACH-000098,-1.3382857741399998
ACH-000099,-1.46229435399
ACH-000108,-1.59857836412
ACH-000113,-1.1714825814
ACH-000115,-2.14804122868
ACH-000116,-1.01096264661
ACH-000118,-1.1784574971200001
ACH-000120,-1.29200139715
ACH-000123,-1.02563216337
ACH-000127,-1.18475100375
ACH-000128,-1.2231878087899999
ACH-000132,-1.1715769532
ACH-000133,-1.09301872107
ACH-000137,-1.26596273546
ACH-000138,-0.9461273296420001
ACH-000142,-1.2000576839700001
ACH-000143,-1.27593325076
ACH-000146,-1.26668761427
ACH-000148,-1.4041168098199999
ACH-000150,-1.26772427652
ACH-000152,-1.1195729592499999
ACH-000153,-0.97130404275
ACH-000159,-1.4137881505399998
ACH-000160,-1.34630968949
ACH-000163,-1.02313161067
ACH-000167,-1.3579946533
ACH-000168,-0.9193644843700001
ACH-000169,-1.15238756778
ACH-000178,-1.1234792036399999
ACH-000182,-1.19598227235
ACH-000183,-1.4797745671200002
ACH-000188,-1.0200492722399999
ACH-000189,-0.963969474516
ACH-000190,-0.98840767345
ACH-000198,-1.11070019581
ACH-000204,-1.0738911351
ACH-000206,-1.20701661859
ACH-000207,-1.4661579734999999
ACH-000211,-0.921231296163
ACH-000215,-1.17516965396
ACH-000221,-1.12103828275
ACH-000222,-1.2943906531
ACH-000223,-0.9079809838680001
ACH-000226,-1.01333482731
ACH-000227,-1.11439943896
ACH-000228,-1.23459852844
ACH-000231,-1.17272584425
ACH-000232,-1.24842305988
ACH-000233,-1.1059978462200002
ACH-000234,-1.0535933822299999
ACH-000235,-1.18387388636
ACH-000237,-0.88773962691
ACH-000238,-0.9168696632790001
ACH-000243,-1.2567392333399998
ACH-000244,-1.04479743892
ACH-000246,-1.28177250028
ACH-000248,-1.19051829551
ACH-000250,-1.25964377893
ACH-000251,-1.2887551726
ACH-000253,-1.24319685866
ACH-000255,-0.878176425887
ACH-000256,-1.10777311526
ACH-000257,-1.2130573232
ACH-000258,-1.52820386671
ACH-000259,-1.67030156617
ACH-000260,-1.20654138915
ACH-000261,-1.07646158843
ACH-000262,-1.20545599331
ACH-000263,-1.2830824000799999
ACH-000264,-1.18602528612
ACH-000265,-1.08835634949
ACH-000266,-1.27573887406
ACH-000272,-1.44033220697
ACH-000273,-1.12121587323
ACH-000274,-0.923883197054
ACH-000277,-1.43603417947
ACH-000278,-0.8163321125759999
ACH-000279,-1.5438456668599998
ACH-000280,-1.2210011249600001
ACH-000281,-1.6271011541999998
ACH-000288,-1.1742124763500001
ACH-000291,-1.24605466576
ACH-000293,-0.873446867975
ACH-000294,-1.52413993266
ACH-000295,-1.08322599816
ACH-000296,-0.95722104037
ACH-000302,-1.3397058829000001
ACH-000304,-0.926913027563
ACH-000307,-1.2165856664399999
ACH-000308,-1.60918408395
ACH-000310,-1.51856360761
ACH-000311,-1.14189974908
ACH-000312,-1.28250653746
ACH-000315,-1.43044900687
ACH-000316,-1.14645856677
ACH-000317,-1.2622722306299998
ACH-000318,-0.890276564627
ACH-000319,-1.03553312033
ACH-000320,-1.19520955949
ACH-000322,-1.12537329362
ACH-000323,-1.16318548914
ACH-000324,-1.19273991017
ACH-000329,-1.19687190303
ACH-000330,-1.08666922252
ACH-000331,-1.0996398952
ACH-000332,-1.1522991861299998
ACH-000334,-1.47582264442
ACH-000335,-1.16931351196
ACH-000336,-1.20957520931
ACH-000337,-0.976388166784
ACH-000339,-0.9897646243089999
ACH-000341,-1.73723868258
ACH-000348,-1.4870171876299998
ACH-000350,-1.35342302148
ACH-000352,-1.31468704625
ACH-000356,-1.07090831152
ACH-000361,-1.0185708783399998
ACH-000362,-1.2575512418700001
ACH-000363,-0.8177098921420001
ACH-000364,-1.2593102093100002
ACH-000365,-1.30557771358
ACH-000366,-1.4925369164500002
ACH-000368,-1.15023326882
ACH-000374,-1.0228167398299999
ACH-000375,-1.13067263192
ACH-000376,-1.07559895795
ACH-000381,-0.8927106725399999
ACH-000383,-1.39498234254
ACH-000387,-0.965745980317
ACH-000389,-1.26744829384
ACH-000390,-1.2289234499400001
ACH-000393,-0.988930859511
ACH-000395,-1.1733024973700001
ACH-000397,-1.03991754604
ACH-000401,-1.06894729128
ACH-000402,-1.4592503623800002
ACH-000403,-1.5353548625
ACH-000404,-1.59539889445
ACH-000406,-1.7197809235599997
ACH-000407,-1.21231594695
ACH-000408,-0.703823977942
ACH-000410,-1.19886799275
ACH-000411,-1.3343657809
ACH-000414,-1.2960218795
ACH-000415,-0.992564098706
ACH-000416,-1.2395809434
ACH-000420,-1.28978513936
ACH-000421,-1.00103010153
ACH-000424,-1.04871351719
ACH-000425,-1.23914710219
ACH-000426,-0.967969636821
ACH-000427,-1.32815428793
ACH-000433,-1.158417578
ACH-000436,-1.03007236141
ACH-000444,-1.4152162475299999
ACH-000445,-0.664579988792
ACH-000448,-1.36133374757
ACH-000450,-0.9689878239040001
ACH-000452,-1.35234489387
ACH-000454,-1.0478298237600001
ACH-000458,-0.880245002985
ACH-000459,-1.2542183919399998
ACH-000460,-1.0894040989899998
ACH-000461,-1.03091770475
ACH-000463,-1.0761710249299998
ACH-000464,-1.12738600963
ACH-000466,-1.23678409043
ACH-000467,-1.15866940279
ACH-000468,-1.0947626169700002
ACH-000469,-1.0
ACH-000470,-1.08204263088
ACH-000471,-1.25515589516
ACH-000472,-1.08681702625
ACH-000473,-1.06305272294
ACH-000475,-1.4317786492500002
ACH-000476,-1.3850289262200002
ACH-000477,-0.881668479364
ACH-000480,-1.3080785375700001
ACH-000481,-1.1271487104
ACH-000483,-1.35503425984
ACH-000484,-0.963862277438
ACH-000485,-1.33078799982
ACH-000486,-0.830598740123
ACH-000487,-1.29841963442
ACH-000488,-1.1278458152600002
