,TAF1D (79101)
ACH-000004,-0.157886977038
ACH-000007,-1.19747906071
ACH-000009,-0.230634376205
ACH-000011,-1.30810693152
ACH-000012,-0.7889196732189999
ACH-000013,-0.790494285386
ACH-000014,-0.45651016700099994
ACH-000015,-0.42131486076200003
ACH-000017,-0.375914274633
ACH-000018,-0.400221396217
ACH-000019,-0.536570441475
ACH-000021,-0.47669620638000004
ACH-000022,-0.602718307404
ACH-000025,-0.510126998058
ACH-000028,-0.839304238178
ACH-000030,-0.584279223918
ACH-000035,-0.469659102579
ACH-000036,-0.8131948771349999
ACH-000037,-1.20225200202
ACH-000039,-0.501448911956
ACH-000040,-0.678475171432
ACH-000041,-0.334036420852
ACH-000042,-0.614153628656
ACH-000045,-0.730904312587
ACH-000047,-0.770730059613
ACH-000052,-0.389092503794
ACH-000053,-1.04415498231
ACH-000054,-0.6727975116249999
ACH-000055,-0.669720429406
ACH-000060,-0.8102791288850001
ACH-000067,-0.620126520758
ACH-000070,-0.751219999724
ACH-000075,-1.01744841865
ACH-000078,-0.627666487927
ACH-000082,-1.08690981633
ACH-000085,-0.6818172267129999
ACH-000086,-0.46572341299500003
ACH-000087,-0.7262827547390001
ACH-000092,-0.749118479608
ACH-000095,-0.737502799539
ACH-000097,-0.618692349802
ACH-000098,-0.300530352691
ACH-000099,-0.47084502240500004
ACH-000108,-0.636964792122
ACH-000113,-0.573216658016
ACH-000115,-0.21831438617600002
ACH-000116,-0.464629693105
ACH-000118,-0.593608691443
ACH-000120,-0.583885909771
ACH-000123,-0.814357584595
ACH-000127,-0.274655551532
ACH-000128,-0.50844739851
ACH-000132,-0.31620683250799997
ACH-000133,-0.704073272546
ACH-000137,-0.9359213972700001
ACH-000138,-0.59910455967
ACH-000142,-0.941557913766
ACH-000143,-0.584921404959
ACH-000146,-0.374395161357
ACH-000148,-0.779943528298
ACH-000150,-0.9570096268070001
ACH-000152,-0.766818101611
ACH-000153,-0.852450121319
ACH-000159,-0.756435084894
ACH-000160,-0.35783342131499996
ACH-000163,-0.85096293924
ACH-000167,-0.751977705222
ACH-000168,-0.911680723135
ACH-000169,-0.5140734305619999
ACH-000178,-0.734882487851
ACH-000182,-0.634569375652
ACH-000183,-0.8145236238689999
ACH-000188,-1.00796731809
ACH-000189,-1.04246685512
ACH-000190,-0.519876959457
ACH-000198,-0.673909366391
ACH-000204,-0.47955051166100005
ACH-000206,-1.38366483693
ACH-000207,-0.332594812545
ACH-000211,-0.47885538990000004
ACH-000215,-0.826734262184
ACH-000221,-0.220294445101
ACH-000222,-0.502679158502
ACH-000223,-0.711689945779
ACH-000226,-0.6810711482680001
ACH-000227,-0.08396958382750001
ACH-000228,-0.793544767931
ACH-000231,-0.719096774658
ACH-000232,-0.5668093832769999
ACH-000233,-0.9262430721170001
ACH-000234,-0.875151158062
ACH-000235,-0.57412105406
ACH-000237,-0.725752538104
ACH-000238,-0.758478821105
ACH-000243,-0.756350755806
ACH-000244,-0.6572721643689999
ACH-000246,-0.950839320676
ACH-000248,-0.288302628904
ACH-000250,-0.604701878511
ACH-000251,-1.1575394241899999
ACH-000253,-0.7010959765629999
ACH-000255,-0.8217823582870001
ACH-000256,-0.619465863921
ACH-000257,-0.49936795498099995
ACH-000258,-0.716411867172
ACH-000259,-0.526197104641
ACH-000260,-0.78724895221
ACH-000261,-0.491201395511
ACH-000262,-0.8562866930399999
ACH-000263,-0.568595289705
ACH-000264,-0.519658749123
ACH-000265,-0.564046552153
ACH-000266,-0.81641016036
ACH-000272,-0.361958492671
ACH-000273,-0.6080922498529999
ACH-000274,-0.755614929287
ACH-000277,-0.77787019161
ACH-000278,-0.540357112981
ACH-000279,-0.220032570544
ACH-000280,-0.598824126662
ACH-000281,-0.338408253862
ACH-000288,-0.695868351937
ACH-000291,-0.602214462878
ACH-000293,-0.642736972205
ACH-000294,-0.256387537189
ACH-000295,-0.428600209995
ACH-000296,-0.600018031452
ACH-000302,-0.35788005197300005
ACH-000304,-0.996564391101
ACH-000307,-0.602555410342
ACH-000308,-0.722256841525
ACH-000310,-0.498196087292
ACH-000311,-1.08269790833
ACH-000312,-0.443553955147
ACH-000315,-0.28313839025299997
ACH-000316,-0.65839639452
ACH-000317,-0.761060786806
ACH-000318,-0.898946591457
ACH-000319,-0.849886816252
ACH-000320,-0.713025470688
ACH-000322,-0.822265174128
ACH-000323,-0.6467805840959999
ACH-000324,-0.8108058090100001
ACH-000329,-0.789452307703
ACH-000330,-0.531685998235
ACH-000331,-0.8089845092129999
ACH-000332,-0.509074613639
ACH-000334,-0.656475619459
ACH-000335,-0.7111224496870001
ACH-000336,-1.11836869463
ACH-000337,-0.563936457754
ACH-000339,-0.7751926278479999
ACH-000341,-0.564544730798
ACH-000348,-0.626439204886
ACH-000350,-0.44387879884900006
ACH-000352,-0.43326071628300006
ACH-000356,-0.587678083447
ACH-000361,-1.0015140004799998
ACH-000362,-0.699742394029
ACH-000363,-0.794142396296
ACH-000364,-0.64614773299
ACH-000365,-0.47221945837800006
ACH-000366,-0.134136017161
ACH-000368,-0.540165191775
ACH-000374,-1.03034705296
ACH-000375,-0.575171551003
ACH-000376,-0.748818641028
ACH-000381,-0.436307904682
ACH-000383,-0.364666211403
ACH-000387,-0.34120263717699995
ACH-000389,-0.935845649418
ACH-000390,-0.408606692378
ACH-000393,-0.387975571862
ACH-000395,-0.509145505391
ACH-000397,-0.673675442999
ACH-000401,-0.504880959274
ACH-000402,-0.38898001288
ACH-000403,-0.379986970888
ACH-000404,-0.666459481154
ACH-000406,-0.655185328433
ACH-000407,-0.577025689171
ACH-000408,-0.9897874537729999
ACH-000410,-0.586439485819
ACH-000411,-1.2455221772
ACH-000414,-0.9602410916680001
ACH-000415,-0.878642825557
ACH-000416,-0.921192777603
ACH-000420,-0.526636114391
ACH-000421,-0.40978382654299994
ACH-000424,-0.568632058142
ACH-000425,-0.774717980742
ACH-000426,-0.7428530171719999
ACH-000427,-0.507339785638
ACH-000433,-0.9363913457449999
ACH-000436,-0.253706626123
ACH-000444,-0.78385427735
ACH-000445,-0.681737440231
ACH-000448,-0.920052476084
ACH-000450,-0.934493563656
ACH-000452,-0.788508508214
ACH-000454,-0.460457542495
ACH-000458,-1.1112978241299998
ACH-000459,-1.07532713855
ACH-000460,-0.708531139717
ACH-000461,-0.7982563477779999
ACH-000463,-0.741807459225
