,DPH5 (51611)
ACH-000004,-0.521148070471
ACH-000007,-0.42897522851
ACH-000009,-0.8078477329620001
ACH-000011,-0.477076217232
ACH-000012,-0.230314118743
ACH-000013,-0.174791785896
ACH-000014,-0.349556784236
ACH-000015,-0.286568554932
ACH-000017,0.22028174276
ACH-000018,-0.732467843964
ACH-000019,0.17703770545400002
ACH-000021,-0.23348929700399998
ACH-000022,-0.34227422879600006
ACH-000025,-0.752536800278
ACH-000028,-0.47576760113300004
ACH-000030,-0.7641759466310001
ACH-000035,-0.564378427618
ACH-000036,-0.47105948842100004
ACH-000037,-0.576286222108
ACH-000039,-0.327444046218
ACH-000040,-0.356595760118
ACH-000041,-0.751599406567
ACH-000042,-0.06094704032380001
ACH-000045,-0.327681712547
ACH-000047,-0.24305326730500001
ACH-000052,-0.47720958928199997
ACH-000053,0.0599532448445
ACH-000054,-0.057558411888399996
ACH-000055,-0.43221351114900003
ACH-000060,-0.200429036388
ACH-000067,-0.402896787672
ACH-000070,-0.125155132015
ACH-000075,-0.157385516572
ACH-000078,-0.061245112349699996
ACH-000082,-0.105000811663
ACH-000085,-0.516460766594
ACH-000086,-0.49514556706
ACH-000087,-0.533581257968
ACH-000092,-0.276440607751
ACH-000095,-0.229364319113
ACH-000097,-0.143522992505
ACH-000098,-0.683549250672
ACH-000099,-0.214587341982
ACH-000108,-0.17549774441500002
ACH-000113,-0.5059946030899999
ACH-000115,-0.155781978651
ACH-000116,-0.32929881987
ACH-000118,-0.166760493027
ACH-000120,-0.5356972493909999
ACH-000123,-0.455475828821
ACH-000127,-0.624151755826
ACH-000128,-0.343788679466
ACH-000132,-0.180097749916
ACH-000133,-0.158618264583
ACH-000137,-0.334064773531
ACH-000138,-0.39156231214599996
ACH-000142,-0.561625896119
ACH-000143,-0.396674536078
ACH-000146,-0.08729498831810001
ACH-000148,-0.34110931951800005
ACH-000150,-0.6720501686910001
ACH-000152,-0.392293059296
ACH-000153,-0.247382008212
ACH-000159,-0.0809240230474
ACH-000160,-0.230868424062
ACH-000163,-0.353815409343
ACH-000167,-0.0691322014882
ACH-000168,-0.604246446907
ACH-000169,-0.26300961728100003
ACH-000178,-0.6457378230740001
ACH-000182,-0.121984448605
ACH-000183,-0.510263151316
ACH-000188,-0.452978144862
ACH-000189,0.23216706604899998
ACH-000190,-0.515826730116
ACH-000198,-0.570560625426
ACH-000204,-0.13476966527200002
ACH-000206,-0.30687543015999996
ACH-000207,-0.320676111153
ACH-000211,-0.36721972445900003
ACH-000215,-0.29701863949499996
ACH-000221,-0.215385393521
ACH-000222,-0.437978198056
ACH-000223,-0.18959332732999998
ACH-000226,-0.261830938693
ACH-000227,-0.600519166913
ACH-000228,-0.334026498255
ACH-000231,-0.251179667839
ACH-000232,-0.49507804758100005
ACH-000233,-0.49226222944200004
ACH-000234,-0.230299166416
ACH-000235,-0.502130264939
ACH-000237,-0.532244275255
ACH-000238,-0.359174468562
ACH-000243,-0.864961646503
ACH-000244,0.0866927442367
ACH-000246,-0.061689688776400006
ACH-000248,-0.199990070874
ACH-000250,-0.43342722120399996
ACH-000251,-0.494187832467
ACH-000253,-0.362754908878
ACH-000255,-0.359497477813
ACH-000256,-0.383499888303
ACH-000257,0.0934416032296
ACH-000258,-0.290162678327
ACH-000259,-0.275087834036
ACH-000260,-0.667781682721
ACH-000261,-0.22158427319000001
ACH-000262,-0.41163976978699995
ACH-000263,-0.317197856433
ACH-000264,-0.265349953056
ACH-000265,-0.469034777508
ACH-000266,-0.043165581181300004
ACH-000272,-0.666343783681
ACH-000273,-0.364042576594
ACH-000274,-0.103019617471
ACH-000277,-0.6353442712399999
ACH-000278,-0.481684275623
ACH-000279,-0.458793795488
ACH-000280,-0.22381957209399997
ACH-000281,-0.686703408396
ACH-000288,-0.35231241105300004
ACH-000291,-0.743363727834
ACH-000293,-0.285897008665
ACH-000294,-1.1844106367
ACH-000295,-0.349176559934
ACH-000296,-0.40863619063699996
ACH-000302,-0.30501132362399996
ACH-000304,-0.494385498513
ACH-000307,-0.6375505815320001
ACH-000308,-0.20270699365699998
ACH-000310,-0.0835875910249
ACH-000311,-0.40111956384099995
ACH-000312,-0.367181029803
ACH-000315,-0.811153761144
ACH-000316,-0.6560176004980001
ACH-000317,-0.864654971924
ACH-000318,-0.537840774174
ACH-000319,-0.653671419444
ACH-000320,-0.47765251999700004
ACH-000322,-0.0991504079724
ACH-000323,-0.3254859743
ACH-000324,-0.320288351907
ACH-000329,-0.21288225702999997
ACH-000330,-0.238984550286
ACH-000331,-0.288296441484
ACH-000332,-0.567197254301
ACH-000334,-0.0931534926749
ACH-000335,-0.393043013915
ACH-000336,-0.114427135907
ACH-000337,-0.30165488949700003
ACH-000339,-0.37564694580799995
ACH-000341,-0.258022924276
ACH-000348,-0.543166601287
ACH-000350,-0.012847014983700002
ACH-000352,-0.268092856825
ACH-000356,-0.348744721533
ACH-000361,-0.0916659361007
ACH-000362,-0.7308316751549999
ACH-000363,-0.08365181778089999
ACH-000364,-0.338121254834
ACH-000365,-0.31181590079599997
ACH-000366,-0.613617822474
ACH-000368,-0.24769130527
ACH-000374,-0.190008990946
ACH-000375,-0.606225467181
ACH-000376,-0.48639814422100003
ACH-000381,-0.39338847881899996
ACH-000383,-0.18406198310400002
ACH-000387,-0.505695497373
ACH-000389,-0.366133994199
ACH-000390,-0.281880566649
ACH-000393,-0.149738572239
ACH-000395,-0.376571028468
ACH-000397,-0.0322226252034
ACH-000401,-0.349101233179
ACH-000402,-0.229540168402
ACH-000403,-0.26368719099300003
ACH-000404,-0.893931545471
ACH-000406,-0.4172354186
ACH-000407,-0.0794815897385
ACH-000408,-0.636464424779
ACH-000410,0.057764557091899996
ACH-000411,-0.481739140494
ACH-000414,-0.016118702673799997
ACH-000415,-0.339350314424
ACH-000416,-0.0369461645992
ACH-000420,-0.349252542055
ACH-000421,-0.378066372857
ACH-000424,-0.399928639758
ACH-000425,-0.116868092775
ACH-000426,-0.568758645658
ACH-000427,-0.124545761399
ACH-000433,-0.260054757697
ACH-000436,-0.168852192937
ACH-000444,-0.207567751725
ACH-000445,-0.278090377516
ACH-000448,-0.43675304839699997
ACH-000450,-0.43073563517499996
ACH-000452,-0.43126424520499995
ACH-000454,-0.631670584803
ACH-000458,-0.587456531434
ACH-000459,-1.04239420701
ACH-000460,-0.40776977248
ACH-000461,-0.7085140585549999
ACH-000463,-0.513090754611
ACH-000464,-0.24160929181899998
ACH-000466,-0.06955899272480001
ACH-000467,-0.250109814308
ACH-000468,-0.506710850718
ACH-000469,-0.46609141315499997
ACH-000470,-0.442717054281
ACH-000471,-0.152120045036
ACH-000472,-0.5196044015
ACH-000473,-0.554661838474
ACH-000475,-0.505738689093
ACH-000476,-0.198113410217
ACH-000477,-0.329183490764
ACH-000480,-0.675131344298
ACH-000481,-0.237949224905
ACH-000483,-0.345017751207
ACH-000484,-0.473082001214
ACH-000485,-0.544170486027
ACH-000486,-0.431965552774
ACH-000487,-0.131558773182
ACH-000488,-0.526791650044
ACH-000490,-0.321535089648
ACH-000491,-0.377282779102
ACH-000495,-0.47993473173100004
ACH-000496,-0.6882578165809999
ACH-000499,-0.531822562178
ACH-000500,-0.8023158232809999
ACH-000502,-0.309509517657
ACH-000503,-0.576571060277
ACH-000505,-0.546660424317
ACH-000507,-0.27679680302
ACH-000510,-0.547098674708
ACH-000511,-0.26257617741
ACH-000512,-0.802371202473
ACH-000516,-0.14297319843
ACH-000517,-0.153796256903
ACH-000518,-0.603393883603
ACH-000520,-0.44965100203
ACH-000521,-0.242592993569
ACH-000522,-0.394032960524
ACH-000524,-0.00172922980108
ACH-000527,-0.332698517315
ACH-000528,-0.0508574324641
