,GABARAPL1 (23710)
ACH-000004,-0.151708696412
ACH-000007,0.213175527054
ACH-000009,-0.17855278824999998
ACH-000011,0.0970044675949
ACH-000012,0.190365008213
ACH-000013,0.0397381157548
ACH-000014,-0.0497552537261
ACH-000015,0.0146228861526
ACH-000017,-0.07458850597950001
ACH-000018,0.035917845427300005
ACH-000019,-0.0969391444223
ACH-000021,-0.0577250750756
ACH-000022,-0.17276218204
ACH-000025,0.113583078906
ACH-000028,-0.0344143185602
ACH-000030,0.023406303947099995
ACH-000035,-0.0222469267606
ACH-000036,-0.08367002932010001
ACH-000037,-0.0534144096035
ACH-000039,-0.316510141764
ACH-000040,-0.0975149581817
ACH-000041,-0.19917788362599997
ACH-000042,0.019411860580200002
ACH-000045,-0.108752143829
ACH-000047,-0.20187362211800003
ACH-000052,0.0339732356154
ACH-000053,-0.0877058193598
ACH-000054,0.0371472241314
ACH-000055,-0.044850034915500006
ACH-000060,0.0364723508425
ACH-000067,-0.260606023461
ACH-000070,-0.113791606095
ACH-000075,-0.0357168739436
ACH-000078,0.09736525674730001
ACH-000082,-0.0404499532323
ACH-000085,-0.0844642795591
ACH-000086,-0.106495104319
ACH-000087,0.00388066260397
ACH-000092,-0.00309701274854
ACH-000095,-0.09871916189829999
ACH-000097,-0.11559296664999999
ACH-000098,-0.0463703707601
ACH-000099,0.038146511882
ACH-000108,0.165578971264
ACH-000113,-0.00678642673368
ACH-000115,-0.041188894855400005
ACH-000116,-0.00641223794404
ACH-000118,-0.0216452540606
ACH-000120,-0.014893757122
ACH-000123,-0.0896070667044
ACH-000127,0.0429181202668
ACH-000128,0.106443678261
ACH-000132,0.0734285348175
ACH-000133,-0.19175368936
ACH-000137,-0.11219682153100001
ACH-000138,-0.07964769549510001
ACH-000142,-0.175119988755
ACH-000143,-0.07859953697000001
ACH-000146,0.0687954565122
ACH-000148,0.138075675384
ACH-000150,-0.0470200681733
ACH-000152,0.0342930545082
ACH-000153,0.0189742433909
ACH-000159,0.03293834911
ACH-000160,-0.07581970609939999
ACH-000163,0.0480977776968
ACH-000167,0.0295293378127
ACH-000168,0.026141440608200003
ACH-000169,0.0200040262402
ACH-000178,0.0490407819948
ACH-000182,0.0739194082026
ACH-000183,-0.159348952117
ACH-000188,-0.0924865301813
ACH-000189,0.27592622914799997
ACH-000190,-0.12226294296700001
ACH-000198,-0.0569077106374
ACH-000204,-0.205197133633
ACH-000206,-0.16563952433700002
ACH-000207,-0.08304285030839999
ACH-000211,-0.032682436859400005
ACH-000215,-0.0471086642253
ACH-000221,0.167633371345
ACH-000222,0.107006435485
ACH-000223,-0.061488499060899995
ACH-000226,-0.052692392650199996
ACH-000227,0.18275984347100002
ACH-000228,-0.113922846548
ACH-000231,-0.0772306963936
ACH-000232,-0.0371462709926
ACH-000233,0.012151127000599999
ACH-000234,0.0641217409548
ACH-000235,0.08640468356139999
ACH-000237,0.0008366465484330001
ACH-000238,0.06287061357030001
ACH-000243,-0.0803917027846
ACH-000244,-0.130505175547
ACH-000246,-0.0623584441177
ACH-000248,0.023567480784200002
ACH-000250,-0.058716820987400005
ACH-000251,-0.0976498787297
ACH-000253,-0.140634242159
ACH-000255,-0.0816466183614
ACH-000256,0.120509352444
ACH-000257,0.33544198961399996
ACH-000258,0.0092258708086
ACH-000259,0.0123249562713
ACH-000260,0.0178091371626
ACH-000261,0.0201301655738
ACH-000262,0.154338727787
ACH-000263,-0.210655922709
ACH-000264,-0.146152167483
ACH-000265,0.007502586008979999
ACH-000266,-0.007688644136869999
ACH-000272,0.109180852891
ACH-000273,-0.00468068163048
ACH-000274,-0.178420107735
ACH-000277,-0.10788028277799999
ACH-000278,0.10519462224500001
ACH-000279,0.0293063149702
ACH-000280,0.0194086528801
ACH-000281,-0.112855147344
ACH-000288,-0.07847078460489999
ACH-000291,-0.08618549869480001
ACH-000293,0.268885224396
ACH-000294,0.0409587231879
ACH-000295,-0.208188422362
ACH-000296,0.08435712076469999
ACH-000302,0.0176568342727
ACH-000304,-0.125236753687
ACH-000307,-0.154944040632
ACH-000308,-0.0304300752898
ACH-000310,-0.132474350444
ACH-000311,-0.0940618802682
ACH-000312,-0.0281566349446
ACH-000315,0.117359656862
ACH-000316,-0.00689113914168
ACH-000317,0.06473201585459999
ACH-000318,0.08913750564470001
ACH-000319,-0.19810773556400002
ACH-000320,0.122315334308
ACH-000322,-0.08489711295780002
ACH-000323,0.019327585376400003
ACH-000324,0.00580147451515
ACH-000329,0.0582879690166
ACH-000330,0.126646004048
ACH-000331,0.072704881488
ACH-000332,-0.028924239590099998
ACH-000334,0.230528213572
ACH-000335,-0.113883737162
ACH-000336,0.0751771126074
ACH-000337,-0.0809096556174
ACH-000339,-0.026285956485900003
ACH-000341,0.329449300462
ACH-000348,-0.0519965385356
ACH-000350,-0.0354585117803
ACH-000352,-0.10103184816199999
ACH-000356,0.156956466082
ACH-000361,0.07358006257569999
ACH-000362,-0.0663919887799
ACH-000363,0.028582036909
ACH-000364,0.06054219317890001
ACH-000365,0.059308327603699994
ACH-000366,0.0664616028101
ACH-000368,-0.09919761290349999
ACH-000374,0.0614274046287
ACH-000375,0.04635931089359999
ACH-000376,-0.0444388364809
ACH-000381,-0.09949305812
ACH-000383,-0.07346539611039998
ACH-000387,-0.120240341691
ACH-000389,0.0458684925299
ACH-000390,0.024245809439
ACH-000393,0.207214038993
ACH-000395,0.00865469217883
ACH-000397,0.0150756681512
ACH-000401,-0.0991414138385
ACH-000402,0.0954206281677
ACH-000403,0.00206065593096
ACH-000404,-0.121947612972
ACH-000406,0.0395182902429
ACH-000407,0.120935006591
ACH-000408,-0.13183899445900002
ACH-000410,-0.150265595648
ACH-000411,0.0597799980938
ACH-000414,-0.05861207444569999
ACH-000415,0.07941339751339999
ACH-000416,0.011721416389600002
ACH-000420,-0.0365031627407
ACH-000421,0.036728993176899996
ACH-000424,-0.349068103557
ACH-000425,0.0701124496868
ACH-000426,0.34846577563500003
ACH-000427,-0.10542241371
ACH-000433,-0.0495112056459
ACH-000436,-0.0284076920316
ACH-000444,-0.050119181207099996
ACH-000445,0.193291972216
ACH-000448,-0.034630767490800005
ACH-000450,-0.08977665348539998
ACH-000452,-0.07524021601219999
ACH-000454,-0.230727891272
ACH-000458,-0.12387116719699999
ACH-000459,0.00353095862468
ACH-000460,-0.0403403728079
ACH-000461,-0.14839412118200002
ACH-000463,-0.0248245901064
ACH-000464,0.04334606855769999
ACH-000466,-0.254097634031
ACH-000467,0.047960599140099994
ACH-000468,-0.0392004594427
ACH-000469,0.079949905706
ACH-000470,-0.194848027419
ACH-000471,-0.034918655641900005
ACH-000472,-0.0724694270535
ACH-000473,-0.0890575722472
ACH-000475,0.0400317995694
ACH-000476,-0.022737831222799997
ACH-000477,-0.18912255753499999
ACH-000480,0.0410457767363
ACH-000481,0.112538250516
ACH-000483,0.0634233466229
ACH-000484,0.04448738898469999
ACH-000485,-0.37346783061800004
ACH-000486,0.0326880912346
ACH-000487,0.0450222480898
ACH-000488,-0.07914393298539998
ACH-000490,-0.0244967075619
ACH-000491,0.0478271858672
ACH-000495,0.0850833440465
ACH-000496,0.039835172785
ACH-000499,-0.037510220081300005
ACH-000500,-0.257424345657
ACH-000502,-0.00512526756695
ACH-000503,-0.018990279741
ACH-000505,-0.0359258271738
ACH-000507,-0.0867930879663
ACH-000510,0.04784487035619999
ACH-000511,-0.0365943718398
ACH-000512,-0.188408377885
ACH-000516,-0.131890687836
ACH-000517,-0.123123115236
ACH-000518,-0.0690153288526
ACH-000520,0.14748402972400002
ACH-000521,-0.181570868209
ACH-000522,0.04758874979169999
ACH-000524,0.0319904172125
ACH-000527,-0.073142064951
ACH-000528,0.060632746014599996
ACH-000537,0.00299531767093
ACH-000541,-0.381377742121
ACH-000542,-0.05170231150230001
ACH-000544,0.102173786512
ACH-000545,-0.0613795583755
ACH-000547,-0.17951231057199998
ACH-000548,0.0408808358581
ACH-000549,-0.0776674394987
ACH-000550,-0.0664086190633
ACH-000552,0.13331496095999998
ACH-000556,-0.04965834711830001
ACH-000557,-0.0624230852768
ACH-000570,0.138456177702
ACH-000571,-0.051655793952
ACH-000573,0.0007307138246320001
ACH-000576,-0.11818079606899999
ACH-000580,-0.156825350759
ACH-000584,0.0555390172894
ACH-000585,-0.07709884465210001
ACH-000588,0.12354478473200001
ACH-000589,0.0250492794232
ACH-000591,-0.20995096503199998
ACH-000593,0.004543738794619999
ACH-000600,0.054069662227
ACH-000601,-0.0133400846069
ACH-000604,0.30762948478
ACH-000605,-0.0152938010361
ACH-000606,-0.137814405703
ACH-000608,-0.0032234530541500003
ACH-000614,0.0197088224223
ACH-000616,-0.0691262502868
ACH-000618,0.00190331107451
ACH-000619,0.0425928120206
ACH-000620,-0.0204936900247
ACH-000621,-0.146370332384
ACH-000622,0.0710750378286
ACH-000623,-0.131932718508
ACH-000624,-0.017295430833999998
ACH-000627,-0.100208836527
ACH-000630,-0.07324975071489999
ACH-000632,0.021945597648099995
ACH-000633,-0.0662908990411
ACH-000637,-0.119184343389
ACH-000638,0.017181811437400003
ACH-000646,-0.182812502123
ACH-000647,-0.0425025630716
ACH-000648,-0.0820310658869
ACH-000649,0.100893184504
ACH-000651,0.0229713634131
ACH-000652,0.14106699469
ACH-000653,-0.22131497281100002
ACH-000657,0.0318732909118
ACH-000658,0.196573606514
ACH-000661,0.115289855342
ACH-000662,-0.10297550237500001
ACH-000663,0.07719705089639999
ACH-000665,-0.0008290059979489999
ACH-000671,0.0283311220412
ACH-000673,-0.0195672350495
ACH-000676,0.09153483571389999
ACH-000677,0.0298636380216
ACH-000681,0.18658158882800002
ACH-000682,-0.07574617148580001
ACH-000683,0.021455806957099997
ACH-000684,0.0161094755124
ACH-000688,-0.0208643478365
ACH-000693,0.0005845148551590001
ACH-000694,-0.0227788426277
ACH-000695,-0.028647716772699998
ACH-000696,-0.010783186570600001
ACH-000697,-0.146301141473
ACH-000699,-0.0719295286008
ACH-000701,-0.0688981993668
ACH-000706,0.026849832730999997
ACH-000711,0.057072545854000005
ACH-000713,0.259804466801
ACH-000714,-0.0516283245266
ACH-000718,-0.0016817497060199998
ACH-000720,0.0788627431068
ACH-000721,-0.0702261239579
ACH-000724,0.008337847456770001
ACH-000725,-0.0184109803976
ACH-000732,0.0757283027318
ACH-000734,-0.0481631010013
ACH-000735,-0.10429670464299999
ACH-000736,-0.0657918911833
ACH-000738,-0.037354690855
ACH-000746,-0.0530927341235
ACH-000747,0.056333295053000006
ACH-000748,-0.0316995393543
ACH-000753,-0.00815254664415
ACH-000756,-0.0197105298157
ACH-000757,0.143540175603
ACH-000758,0.0138995958699
ACH-000760,0.017765031687200002
ACH-000763,-0.0625322909101
ACH-000764,0.039240001508499996
ACH-000765,0.025084358355600002
ACH-000766,-0.0218021913472
ACH-000767,-0.212810670355
ACH-000768,0.0540780484095
ACH-000769,0.0241009649685
ACH-000770,-0.182455574604
ACH-000771,-0.0679736583203
ACH-000773,-0.06151316652430001
ACH-000776,0.0192609653217
ACH-000777,-0.0275121042576
ACH-000778,-0.109556631197
ACH-000781,-0.0735117827727
ACH-000782,0.0475872803446
ACH-000783,-0.009627138239590001
ACH-000784,0.022344083291799998
ACH-000785,-0.0199489353798
ACH-000787,-0.0729000303764
ACH-000788,0.0417648822025
ACH-000791,0.017835551040299998
ACH-000792,-0.0256926227287
ACH-000794,0.0032487112899599996
ACH-000796,-0.100164747829
ACH-000799,-0.163885621944
ACH-000800,0.262947632216
ACH-000802,-0.12439248295199999
ACH-000804,-0.12684675384000002
ACH-000805,-0.0191917268243
ACH-000809,-0.107679372105
ACH-000810,-0.103460071215
ACH-000811,-0.023584459014599997
ACH-000817,-0.11037649451199999
ACH-000819,-0.0342418831651
ACH-000820,-0.28164048684799997
ACH-000821,0.10090263935900001
ACH-000822,0.019599151375299998
ACH-000823,0.0691926927152
ACH-000824,-0.007530555017330001
ACH-000827,-0.026834772163200002
ACH-000829,0.133446839775
ACH-000831,-0.0627709502121
ACH-000832,0.0342782362509
ACH-000833,0.120765364741
ACH-000834,-0.025503403299799998
