,KRBA2 (124751)
ACH-000004,-0.46845758355800005
ACH-000007,-0.136549734322
ACH-000009,-0.43262910608000005
ACH-000011,0.140281645635
ACH-000012,-0.133355944529
ACH-000013,-0.19312829972800002
ACH-000014,-0.137286638151
ACH-000015,-0.210371741578
ACH-000017,0.0534378040362
ACH-000018,-0.193114746998
ACH-000019,0.140372041599
ACH-000021,-0.0909792315948
ACH-000022,-0.106314803599
ACH-000025,-0.0952196079425
ACH-000028,-0.1235007157
ACH-000030,-0.0284188423269
ACH-000035,-0.32296420647
ACH-000036,-0.19089241471299997
ACH-000037,-0.155752822841
ACH-000039,-0.43312100821500005
ACH-000040,-0.221441752181
ACH-000041,-0.197924300832
ACH-000042,-0.381854309202
ACH-000045,-0.0683999586569
ACH-000047,-0.06189136159130001
ACH-000052,0.049186542476399996
ACH-000053,-0.133811891191
ACH-000054,-0.053148153135500004
ACH-000055,-0.19139216439399998
ACH-000060,-0.254920037979
ACH-000067,-0.41774746845399996
ACH-000070,-0.027224616583799998
ACH-000075,-0.10763770171800001
ACH-000078,-0.22299613794300002
ACH-000082,-0.159836601986
ACH-000085,-0.13891313291
ACH-000086,-0.04661192543380001
ACH-000087,-0.262770397716
ACH-000092,-0.07443783324889999
ACH-000095,-0.148448431848
ACH-000097,-0.19620903041499999
ACH-000098,-0.120744675395
ACH-000099,-0.164962212226
ACH-000108,-0.283587972127
ACH-000113,-0.183992991813
ACH-000115,-0.141894544265
ACH-000116,-0.0630788094613
ACH-000118,-0.171990953772
ACH-000120,-0.221397140134
ACH-000123,-0.17623797845
ACH-000127,-0.059552032608500005
ACH-000128,-0.051040018437400005
ACH-000132,-0.0253247297003
ACH-000133,-0.00397555881404
ACH-000137,-0.0454261579232
ACH-000138,-0.37910348637100005
ACH-000142,-0.107572289596
ACH-000143,0.0414541987069
ACH-000146,-0.264129621208
ACH-000148,-0.14113651173900002
ACH-000150,-0.0177866063406
ACH-000152,-0.25192365545
ACH-000153,-0.255991522293
ACH-000159,-0.0924726488349
ACH-000160,-0.12953442452199998
ACH-000163,-0.412927578125
ACH-000167,-0.20837180072500003
ACH-000168,-0.0773681478519
ACH-000169,-0.0424662677884
ACH-000178,-0.111720465416
ACH-000182,-0.105635462926
ACH-000183,-0.157475995993
ACH-000188,-0.06921248684060001
ACH-000189,0.101063858728
ACH-000190,-0.222932267963
ACH-000198,-0.116349194102
ACH-000204,-0.0485596563544
ACH-000206,-0.172692144669
ACH-000207,-0.25682200565
ACH-000211,-0.0852055832491
ACH-000215,-0.0572400018209
ACH-000221,-0.15971249025
ACH-000222,-0.19526777096500003
ACH-000223,-0.07470945122560001
