,PMF1 (11243)
ACH-000004,-1.08720297408
ACH-000007,-1.04756083641
ACH-000009,-1.3012056458399999
ACH-000011,-1.2989508872700002
ACH-000012,-1.15481778604
ACH-000013,-1.2510349733200001
ACH-000014,-1.17439421922
ACH-000015,-1.1572512916700002
ACH-000017,-0.84700508758
ACH-000018,-1.21755076933
ACH-000019,-1.06408464658
ACH-000021,-1.24913194467
ACH-000022,-1.26337502457
ACH-000025,-1.26797519737
ACH-000028,-1.09425540823
ACH-000030,-1.0980253406
ACH-000035,-1.3855084920200003
ACH-000036,-1.11198434514
ACH-000037,-1.29339020094
ACH-000039,-1.13238397805
ACH-000040,-1.20082205703
ACH-000041,-1.14246116865
ACH-000042,-1.2989052155399998
ACH-000045,-1.22638567458
ACH-000047,-0.9860997948289999
ACH-000052,-1.0595367099200002
ACH-000053,-1.6076810873700003
ACH-000054,-1.2627500090700001
ACH-000055,-1.10710185749
ACH-000060,-0.8903333871870001
ACH-000067,-1.0426881782600002
ACH-000070,-1.1294367613
ACH-000075,-1.31808234378
ACH-000078,-1.12444329732
ACH-000082,-0.983528356135
ACH-000085,-1.17939719275
ACH-000086,-1.14960254497
ACH-000087,-0.977569998742
ACH-000092,-1.24111460189
ACH-000095,-1.16171965327
ACH-000097,-0.9306718719310001
ACH-000098,-1.16225362225
ACH-000099,-1.21461268069
ACH-000108,-1.09693439676
ACH-000113,-1.21149796004
ACH-000115,-1.7980870907
ACH-000116,-1.1123652908600001
ACH-000118,-1.2217962165799998
ACH-000120,-1.0932056350200001
ACH-000123,-1.20230472227
ACH-000127,-1.1115403909000001
ACH-000128,-0.9683640503479999
ACH-000132,-1.16954836311
ACH-000133,-1.00775904376
ACH-000137,-1.50819917951
ACH-000138,-1.1064070469
ACH-000142,-1.23575029303
ACH-000143,-1.4778254776100002
ACH-000146,-1.20775960107
ACH-000148,-1.23596340855
ACH-000150,-1.0120571034799999
ACH-000152,-1.09628196662
ACH-000153,-1.33051939465
ACH-000159,-1.1660040247399999
ACH-000160,-1.1138605088299998
ACH-000163,-1.36939566603
ACH-000167,-1.45085965
ACH-000168,-1.3028347743100002
ACH-000169,-1.17355233955
ACH-000178,-1.15097689964
ACH-000182,-1.0584097016299998
ACH-000183,-1.09943393255
ACH-000188,-1.2192758594
ACH-000189,-1.18567750516
ACH-000190,-1.2002240073000001
ACH-000198,-1.23804853043
ACH-000204,-1.0729577639799999
ACH-000206,-1.3666100669799999
ACH-000207,-1.18358483052
ACH-000211,-1.1412298463200001
ACH-000215,-1.18446583997
ACH-000221,-1.25544809621
ACH-000222,-1.26048556556
ACH-000223,-1.16209502357
ACH-000226,-1.18431116933
ACH-000227,-1.4537375967299997
ACH-000228,-1.5846237740600002
ACH-000231,-1.23016391727
ACH-000232,-1.1069699207500001
ACH-000233,-1.1363859166099999
ACH-000234,-1.05312240911
ACH-000235,-1.09749435963
ACH-000237,-1.2228909803399999
ACH-000238,-1.30608000123
ACH-000243,-1.23115961866
ACH-000244,-1.14038269131
ACH-000246,-0.9956016835439999
ACH-000248,-1.00064015236
ACH-000250,-1.1026997920100001
ACH-000251,-1.55922458822
ACH-000253,-1.24121954869
ACH-000255,-1.11963637437
ACH-000256,-1.1252981799200001
ACH-000257,-1.2837172564
ACH-000258,-1.02212700066
ACH-000259,-1.2204427390500001
ACH-000260,-1.06546543372
ACH-000261,-1.05085049802
ACH-000262,-0.9923069025360001
ACH-000263,-1.09074353736
ACH-000264,-1.51919477508
ACH-000265,-1.10732239791
ACH-000266,-1.28109571306
ACH-000272,-1.2077560814100001
ACH-000273,-1.0205522610100002
ACH-000274,-0.8960773401719999
ACH-000277,-1.01625791015
ACH-000278,-1.02888045253
ACH-000279,-0.8720820796250001
ACH-000280,-1.2101633547600001
ACH-000281,-1.13252002331
ACH-000288,-1.05997907809
ACH-000291,-0.972578328292
ACH-000293,-1.17806858315
ACH-000294,-1.5962106440000001
ACH-000295,-1.0575730004200001
ACH-000296,-1.17012602155
