,CENPO (79172)
ACH-000004,-0.192731375834
ACH-000007,-0.144884890236
ACH-000009,-0.09177236921880001
ACH-000011,-0.466108790213
ACH-000012,0.00247287704315
ACH-000013,0.161828354598
ACH-000014,-0.150935055065
ACH-000015,-0.130876388266
ACH-000017,0.200551465028
ACH-000018,-0.07330556576830001
ACH-000019,-0.247381024396
ACH-000021,0.0713511546804
ACH-000022,-0.405607408846
ACH-000025,-0.0679570246785
ACH-000028,-0.5963352728
ACH-000030,-0.388989436267
ACH-000035,-0.13999421074100002
ACH-000036,-0.281088002173
ACH-000037,-0.0009056349718910001
ACH-000039,-0.517049106326
ACH-000040,-0.232563580346
ACH-000041,-0.359616981924
ACH-000042,-0.118869185865
ACH-000045,-0.50179706942
ACH-000047,-0.442498670325
ACH-000052,-0.6457029706149999
ACH-000053,-0.149157830873
ACH-000054,-0.12554548625999998
ACH-000055,-0.32694675672400003
ACH-000060,-0.0125648822993
ACH-000067,-0.751013977393
ACH-000070,-0.537097303332
ACH-000075,0.179815296387
ACH-000078,-0.194793813455
ACH-000082,-0.0009917556809109999
ACH-000085,-0.202367475054
ACH-000086,0.0142315265965
ACH-000087,-0.37114221499300004
ACH-000092,-0.34429668573399996
ACH-000095,-0.294855986178
ACH-000097,-0.163803150334
ACH-000098,-0.298334455129
ACH-000099,-0.235754213372
ACH-000108,-0.199638288151
ACH-000113,-0.33743213898
ACH-000115,-0.630958047723
ACH-000116,-0.393677371209
ACH-000118,0.0635686978494
ACH-000120,-0.5501861305210001
ACH-000123,-0.356200605411
ACH-000127,0.220873503539
ACH-000128,-0.0818373352761
ACH-000132,0.1359267209
ACH-000133,-0.198653414546
ACH-000137,-0.0513900559075
ACH-000138,-0.0164890043296
ACH-000142,-0.174431476348
ACH-000143,-0.21517122165600003
ACH-000146,-0.170176565586
ACH-000148,-0.34316896342799996
ACH-000150,-0.533318788621
ACH-000152,-0.0987733872439
ACH-000153,-0.0632599986174
ACH-000159,-0.0507308084966
ACH-000160,0.49610985938100005
ACH-000163,-0.0377487617296
ACH-000167,0.5957915981440001
ACH-000168,-0.281619446438
ACH-000169,0.017330944286599998
ACH-000178,-0.24337237485899998
ACH-000182,0.221842604657
ACH-000183,-0.49899829417900005
ACH-000188,-0.35282909241099997
