,DPY30 (84661)
ACH-000004,-0.422030197011
ACH-000007,-0.581808990104
ACH-000009,-0.367289222509
ACH-000011,-0.594938796217
ACH-000012,-0.278187171193
ACH-000013,-0.401830399983
ACH-000014,-0.531640676782
ACH-000015,-0.578576696736
ACH-000017,-0.310536167572
ACH-000018,-0.416288694786
ACH-000019,-0.09955803971830002
ACH-000021,-0.36947982623400005
ACH-000022,-0.0740371867787
ACH-000025,-0.50446589593
ACH-000028,-0.20700433741000002
ACH-000030,-0.328055549926
ACH-000035,-0.52368490928
ACH-000036,-0.262520917398
ACH-000037,-0.71499036954
ACH-000039,-0.22264415665800003
ACH-000040,-0.21227325614700002
ACH-000041,-0.6209567803580001
ACH-000042,-0.581970329159
ACH-000045,-0.551399038945
ACH-000047,-0.49343223769199995
ACH-000052,-0.509995934304
ACH-000053,-0.375882961711
ACH-000054,-0.408450814772
ACH-000055,-0.36689358907499997
ACH-000060,-0.481011293785
ACH-000067,-0.305547915565
ACH-000070,-0.504326942582
ACH-000075,-0.224065313936
ACH-000078,-0.383050985387
ACH-000082,-0.38666086250299997
ACH-000085,-0.805034790767
ACH-000086,-0.212119355712
ACH-000087,-0.48727738752300004
ACH-000092,-0.524453913747
ACH-000095,-0.399354227377
ACH-000097,-0.459986928943
ACH-000098,-0.33038133167399997
ACH-000099,-0.310971689944
ACH-000108,-0.45020539930299996
ACH-000113,-0.732066950457
ACH-000115,-0.239227412853
ACH-000116,-0.750108718522
ACH-000118,-0.5758844442859999
ACH-000120,-0.507659874999
ACH-000123,-0.459130289001
ACH-000127,-0.30122229781800003
ACH-000128,-0.761773933925
ACH-000132,-0.421739543495
ACH-000133,-0.231973164787
ACH-000137,-0.496210807495
ACH-000138,-0.400988005273
ACH-000142,-0.366321474391
ACH-000143,-0.400650497934
ACH-000146,-0.243688413051
ACH-000148,-0.319112032184
ACH-000150,-0.5089781924260001
ACH-000152,-0.150221679807
ACH-000153,-0.0851669402741
ACH-000159,-0.42489408398
ACH-000160,0.008455893763180001
ACH-000163,-0.277256553333
ACH-000167,0.117492375644
ACH-000168,-0.11885783166300001
ACH-000169,-0.315722757774
ACH-000178,-0.698783007588
ACH-000182,-0.334781510282
ACH-000183,-0.49565711265100004
ACH-000188,-0.500150629908
ACH-000189,-0.633298840604
ACH-000190,-0.083616747034
ACH-000198,-0.402982214384
ACH-000204,-0.34498912936
ACH-000206,-0.497985368099
ACH-000207,-0.458204334529
ACH-000211,-0.303439439548
ACH-000215,-0.32658743738400003
ACH-000221,-0.362168100657
ACH-000222,-0.28221374642499997
