,SLPI (6590)
ACH-000004,0.111173806456
ACH-000007,-0.2658305044
ACH-000009,-0.173364664519
ACH-000011,-0.24923535701299998
ACH-000012,0.08759240078069999
ACH-000013,-0.016278442679899998
ACH-000014,-0.128960090787
ACH-000015,-0.021020586627199998
ACH-000017,-0.253432616038
ACH-000018,0.09145730020310001
ACH-000019,-0.0677718666623
ACH-000021,-0.043142623740999995
ACH-000022,-0.187112329145
ACH-000025,-0.0727646465687
ACH-000028,-0.0677971921776
ACH-000030,-0.09606409344830001
ACH-000035,0.0210308868003
ACH-000036,-0.200032656412
ACH-000037,0.011524582888700001
ACH-000039,0.062162807893300004
ACH-000040,-0.162778563428
ACH-000041,0.115945795563
ACH-000042,-0.057254965602
ACH-000045,0.062285931222000004
ACH-000047,-0.171679368883
ACH-000052,-0.0927946216769
ACH-000053,-0.0330696126135
ACH-000054,-0.0787313108819
ACH-000055,-0.0249829496774
ACH-000060,0.102445715634
ACH-000067,-0.227133596899
ACH-000070,-0.09072433415239999
ACH-000075,-0.186243756156
ACH-000078,-0.0346619045023
ACH-000082,-0.314538482572
ACH-000085,-0.196181820282
ACH-000086,-0.21985590088799997
ACH-000087,-0.107809198936
ACH-000092,-0.22694428816
ACH-000095,-0.00819981263971
ACH-000097,-0.29478033778
ACH-000098,0.0588124014152
ACH-000099,-0.06854877970319999
ACH-000108,0.0539705900581
ACH-000113,-0.028162282521599996
ACH-000115,-0.165121512056
ACH-000116,-0.123854106218
ACH-000118,-0.0838628957794
ACH-000120,-0.0976804318274
ACH-000123,-0.06553712547450001
ACH-000127,0.00679424346761
ACH-000128,0.230216657114
ACH-000132,0.12856829085899998
ACH-000133,-0.21200624342799998
ACH-000137,-0.19264700643399998
ACH-000138,-0.11602472450899999
ACH-000142,0.053396976377600006
ACH-000143,-0.08287969595089999
ACH-000146,-0.121202386946
ACH-000148,-0.132329448715
ACH-000150,-0.0490414246559
ACH-000152,-0.0677007939188
ACH-000153,-0.0721155314158
ACH-000159,-0.15055276476999999
ACH-000160,0.0338436067139
ACH-000163,0.012064931679100001
ACH-000167,-0.013232759515299999
ACH-000168,0.113005142546
ACH-000169,0.0995781115111
ACH-000178,0.0514609227278
ACH-000182,0.0029545018127199994
ACH-000183,0.028647383181199998
ACH-000188,0.153566327561
ACH-000189,0.0110627514753
ACH-000190,0.0358265435714
ACH-000198,0.042287503143800004
ACH-000204,-0.37464794112899996
ACH-000206,0.0312663063316
ACH-000207,-0.131393250012
ACH-000211,-0.042203911362399996
ACH-000215,0.0452384399284
ACH-000221,-0.0960377879696
ACH-000222,-0.05819374327790001
