,NDUFAF4 (29078)
ACH-000461,-0.9092703716539999
ACH-000463,-0.159019876157
ACH-000464,-0.116545765578
ACH-000466,-0.42218021299
ACH-000467,-0.691276028227
ACH-000468,-0.198312244447
ACH-000469,-0.39543621411200003
ACH-000470,0.189038710704
ACH-000471,-0.028044414869400004
ACH-000472,-0.324293759447
ACH-000473,-0.263362835608
ACH-000475,-0.35032918268200003
ACH-000476,-0.498491214517
ACH-000477,-0.269738382226
ACH-000480,-0.504922814746
ACH-000481,-0.31639307271899997
ACH-000483,-0.654388032574
ACH-000484,-0.249412636124
ACH-000485,-0.330515487945
ACH-000486,-0.333225035724
ACH-000487,-0.122551380078
ACH-000488,-0.888267640213
ACH-000490,-0.31836229533000004
ACH-000491,-0.361713416984
ACH-000495,0.0292423731146
ACH-000496,-0.00919371067888
ACH-000499,-0.177718677444
ACH-000500,-0.638644992629
ACH-000502,-0.24724692595400002
ACH-000503,-0.13080923806199998
ACH-000505,-0.192016389325
ACH-000507,-0.431521866197
ACH-000510,0.0187951553176
ACH-000511,-0.158594566862
ACH-000512,-0.593448300721
ACH-000516,-0.296439980966
ACH-000517,-0.20105843649
ACH-000518,-0.21210562209800002
ACH-000520,-0.105772461702
ACH-000521,-0.113933345826
ACH-000522,-0.39535518531400005
ACH-000524,-0.278814962885
ACH-000527,-0.190833695086
ACH-000528,-0.463137719259
ACH-000537,-0.38357045168799997
ACH-000541,-0.316284696327
ACH-000542,0.0110559471432
ACH-000544,-0.535333468455
ACH-000545,-0.439781002815
ACH-000547,-0.831266584454
ACH-000548,-0.165779688051
ACH-000549,-0.474064873947
ACH-000550,-0.19642790430100002
ACH-000552,-0.248423254727
ACH-000556,-0.5688027379439999
ACH-000557,0.0314732479261
ACH-000570,-0.12360776429400001
ACH-000571,-0.5090137390280001
ACH-000573,-0.0830171249567
ACH-000576,-0.011346190745000002
ACH-000580,0.054930138776599996
ACH-000584,0.0212507576262
ACH-000585,-0.2387471354
ACH-000588,-0.620254464842
ACH-000589,-0.804325073842
ACH-000591,-0.171798868711
ACH-000593,-0.441627509946
ACH-000600,-0.41964915309100004
ACH-000601,-0.17660539378600001
ACH-000604,-0.49253151874799994
ACH-000605,-0.35394077200999996
ACH-000606,-0.474600058687
ACH-000608,-0.142168062728
ACH-000614,-0.407011853543
ACH-000616,-0.0538183552056
ACH-000618,-1.24823602341
ACH-000619,-0.4551506784
ACH-000620,-0.714276028784
ACH-000621,-0.148572138375
ACH-000622,-0.09447007602710002
ACH-000623,-0.072887168911
ACH-000624,-0.151984910705
ACH-000627,-0.306638150391
ACH-000630,-0.153705452692
ACH-000632,-0.30663648484
ACH-000633,-0.957193155061
ACH-000637,-0.5599958453
ACH-000638,-0.296583507531
ACH-000646,-0.569024290516
ACH-000647,-0.34863508088399997
ACH-000648,-0.22142278639000001
ACH-000649,-0.16163820886299998
ACH-000651,-0.934297144018
ACH-000652,-0.094646415594
ACH-000653,-0.20497176918999999
ACH-000657,-0.410509279457
ACH-000658,-0.415171099735
ACH-000661,-0.264494383339
ACH-000662,-0.778138743773
ACH-000663,-0.31441798088399997
ACH-000665,-0.258429927306
ACH-000671,-0.7232801227429999
ACH-000673,-0.14269338341499999
ACH-000676,-0.32703869958799997
ACH-000677,-0.789199726999
ACH-000681,-0.17306776703600002
ACH-000682,-0.41077378012500004
ACH-000683,-0.346304091883
ACH-000684,-0.366990112426
ACH-000688,-0.187447260629
ACH-000693,-0.369658365673
ACH-000694,-0.422282420493
ACH-000695,-0.303652253278
ACH-000696,-0.37711486745399997
ACH-000697,-0.273572771866
ACH-000699,-0.36757723826600003
ACH-000701,-0.398330726149
ACH-000706,-0.738946660059
ACH-000711,-0.0855201047753
ACH-000713,-0.173074036074
ACH-000714,-0.24429663894099998
ACH-000718,-0.276381116431
ACH-000720,-0.152207004755
ACH-000721,-0.231732174501
ACH-000724,-0.305795083323
ACH-000725,-0.912242330653
ACH-000732,0.014865756825700002
ACH-000734,-0.6782632797149999
ACH-000735,-0.13338797497500002
ACH-000736,-0.436356854543
ACH-000738,-0.859471274548
ACH-000746,-0.491181034677
ACH-000747,-0.412843125532
ACH-000748,-0.020577400350900003
ACH-000753,-0.147145262178
ACH-000756,0.09550712301169999
ACH-000757,-0.26744382305799996
ACH-000758,-0.8340707631350001
ACH-000760,-0.187318889995
ACH-000763,-0.328514917172
ACH-000764,-0.28005445001999996
ACH-000765,-0.40339606457599997
ACH-000766,0.0444456369306
ACH-000767,-0.220469767328
ACH-000768,-0.392488160087
ACH-000769,-0.473390229371
ACH-000770,-0.00976357429887
ACH-000771,0.0062581684005799994
ACH-000773,-0.0766781764548
ACH-000776,-0.215085435145
ACH-000777,-0.19868903582199998
ACH-000778,-0.287018090205
