,CLEC4G (339390)
ACH-000004,-0.267574227226
ACH-000007,-0.105166750774
ACH-000009,-0.11687420841900001
ACH-000011,0.000267820220298
ACH-000012,-0.12980657533099998
ACH-000013,-0.19157780389600002
ACH-000014,-0.014080845446299999
ACH-000015,-0.28354940494
ACH-000017,-0.248828441272
ACH-000018,-0.30365738979
ACH-000019,-0.235087261523
ACH-000021,-0.227285650169
ACH-000022,-0.178241923107
ACH-000025,0.11090912320900001
ACH-000028,-0.154054926327
ACH-000030,-0.205797448838
ACH-000035,-0.156389864239
ACH-000036,0.0904796280229
ACH-000037,-0.313417205088
ACH-000039,-0.321902864551
ACH-000040,-0.023230566198200003
ACH-000041,-0.0583606851561
ACH-000042,0.103017538016
ACH-000045,-0.263560148914
ACH-000047,-0.136993738867
ACH-000052,-0.275298266758
ACH-000053,-0.0757383614983
ACH-000054,-0.0168632543015
ACH-000055,-0.277216218257
ACH-000060,0.112054553318
ACH-000067,-0.153242505793
ACH-000070,-0.07708012098519999
ACH-000075,-0.152680367998
ACH-000078,-0.237550129252
ACH-000082,0.139853925714
ACH-000085,-0.212527756696
ACH-000086,-0.27745577895
ACH-000087,-0.33485316080899996
ACH-000092,-0.190835708938
ACH-000095,-0.09405445963839998
ACH-000097,0.08204750289969999
ACH-000098,-0.36462220314800003
ACH-000099,-0.13951543013599998
ACH-000108,-0.182265755214
ACH-000113,-0.111123374226
ACH-000115,-0.45513238382
ACH-000116,-0.34174524443000004
ACH-000118,-0.34666379583400003
ACH-000120,-0.0166539273115
ACH-000123,0.08632569416480002
ACH-000127,-0.139346654055
ACH-000128,-0.26056415703
ACH-000132,0.008847059443450002
ACH-000133,0.00778092784283
ACH-000137,-0.193841855836
ACH-000138,-0.22718390487100001
ACH-000142,-0.43311525141999996
ACH-000143,-0.0389092633539
ACH-000146,-0.015801682395799998
ACH-000148,-0.0308493729348
ACH-000150,-0.288563326721
ACH-000152,-0.286183956352
ACH-000153,0.07320018610880001
ACH-000159,-0.046879189158399996
ACH-000160,0.0352435698714
ACH-000163,-0.160217339752
ACH-000167,-0.518643831839
ACH-000168,-0.048218882647400006
ACH-000169,-0.17484058846900002
ACH-000178,-0.13013004482100002
ACH-000182,-0.22751049657900002
ACH-000183,-0.321437984294
ACH-000188,-0.414868813738
ACH-000189,-0.131180603107
ACH-000190,0.17825631718600002
ACH-000198,-0.0321489253172
ACH-000204,-0.16779756344799998
ACH-000206,-0.230770206941
ACH-000207,-0.09600436054749999
ACH-000211,-0.13434383786499998
