,ALS2CR11 (151254)
ACH-000004,0.0192149627159
ACH-000007,0.23760469738899997
ACH-000009,0.040935031293199996
ACH-000011,0.11704875097100001
ACH-000012,0.166184278776
ACH-000013,0.126766009269
ACH-000014,0.14856373791
ACH-000015,0.0485565751939
ACH-000017,0.19597705107299998
ACH-000018,-0.0162971672992
ACH-000019,0.20170100801
ACH-000021,0.140860259116
ACH-000022,-0.0453538845801
ACH-000025,0.14584224126700002
ACH-000028,0.202646861969
ACH-000030,0.041375989948499996
ACH-000035,0.312407944937
ACH-000036,0.161524155541
ACH-000037,0.157318899079
ACH-000039,0.030420726184
ACH-000040,0.0181457757928
ACH-000041,0.011169763946
ACH-000042,-0.0702876579163
ACH-000045,0.0954705564868
ACH-000047,0.09481675003319999
ACH-000052,0.0301760460043
ACH-000053,0.0676231821137
ACH-000054,0.11843019829500001
ACH-000055,0.191699715326
ACH-000060,0.046771515514900004
ACH-000067,0.120561949316
ACH-000070,0.0109950100508
ACH-000075,0.030241643103999998
ACH-000078,0.1465703465
ACH-000082,0.08220073191539999
ACH-000085,-0.022591435605099998
ACH-000086,0.116798546017
ACH-000087,0.10270874241800002
ACH-000092,0.0112887201957
ACH-000095,0.0013953492470499998
ACH-000097,0.148031270475
ACH-000098,0.059390437449199994
ACH-000099,0.137357402916
ACH-000108,0.21995670168200002
ACH-000113,0.11915920967700001
ACH-000115,0.14859914187999998
ACH-000116,0.213578040927
ACH-000118,0.137344970648
ACH-000120,0.115579574362
ACH-000123,0.135366444453
ACH-000127,0.07830842828750001
ACH-000128,0.239916235328
ACH-000132,0.206812698526
ACH-000133,-0.0127896364988
ACH-000137,-0.00945067439335
ACH-000138,0.09887123965439999
ACH-000142,0.195147408094
ACH-000143,0.0335396346044
ACH-000146,0.0908092269839
ACH-000148,0.13863821828700001
ACH-000150,0.0154642911289
ACH-000152,0.0956196701248
ACH-000153,-0.0457918623436
ACH-000159,0.18703267830200002
ACH-000160,0.166669291282
ACH-000163,0.08867149363
ACH-000167,0.169902223182
ACH-000168,-0.124495711493
ACH-000169,0.030654876278699998
ACH-000178,0.14970508198899998
ACH-000182,0.117790367489
ACH-000183,-0.0925865508897
