,MIEN1 (84299)
ACH-000004,-0.202152757806
ACH-000007,-0.6876077125419999
ACH-000009,-0.45090957794299996
ACH-000011,-0.500487192196
ACH-000012,-0.505031221967
ACH-000013,-0.192039183496
ACH-000014,-0.195649009703
ACH-000015,-0.174162193499
ACH-000017,-0.561853170124
ACH-000018,-0.34144944380000003
ACH-000019,-0.273310840673
ACH-000021,-0.283533570997
ACH-000022,-0.42276418764
ACH-000025,-0.08131540049960001
ACH-000028,-0.418642245514
ACH-000030,-0.4113368919
ACH-000035,-0.386617815418
ACH-000036,-0.158402206514
ACH-000037,0.08903164019739998
ACH-000039,-0.461140591973
ACH-000040,-0.36784276435
ACH-000041,-0.6220534824580001
ACH-000042,-0.25278754614300003
ACH-000045,-0.536148002343
ACH-000047,-0.467052401885
ACH-000052,-0.240119528644
ACH-000053,-0.383330741803
ACH-000054,-0.34676718921599997
ACH-000055,-0.352683520132
ACH-000060,-0.35025191995899996
ACH-000067,-0.37348701712399995
ACH-000070,-0.414304512764
ACH-000075,-0.620337417392
ACH-000078,-0.343328931703
ACH-000082,-0.316694911767
ACH-000085,-0.424546989543
ACH-000086,-0.29770752427499997
ACH-000087,-0.274980022428
ACH-000092,-0.164001394623
ACH-000095,-0.45079157023500005
ACH-000097,-0.455107805368
ACH-000098,-0.511149497015
ACH-000099,-0.396934160023
ACH-000108,-0.18743333103300003
ACH-000113,-0.214828867267
ACH-000115,-0.126311359978
ACH-000116,-0.47117195369900006
ACH-000118,-0.334861717042
ACH-000120,-0.359073058442
ACH-000123,-0.24993145633900002
ACH-000127,-0.19070111113699997
ACH-000128,-0.345962628451
ACH-000132,-0.5130337867539999
ACH-000133,-0.231130987073
ACH-000137,-0.030623291033999998
ACH-000138,-0.685204286694
ACH-000142,-0.430325802416
ACH-000143,-0.27143465875100004
ACH-000146,-0.205898862814
ACH-000148,-0.423903357942
ACH-000150,-0.189431056518
ACH-000152,-0.39511456537600004
ACH-000153,-0.552308369617
ACH-000159,-0.274453296091
ACH-000160,-0.44245649472599996
ACH-000163,-0.39117028231
ACH-000167,-0.358213446712
ACH-000168,-0.187219998325
ACH-000169,-0.232066420127
ACH-000178,-0.407635322571
ACH-000182,-0.317466745498
ACH-000183,-0.469147590178
ACH-000188,-0.301011390035
ACH-000189,-0.531346988205
ACH-000190,-0.510737269426
ACH-000198,-0.263093050745
ACH-000204,-0.41651459942599994
ACH-000206,-0.52788197401
ACH-000207,-0.292617466549
ACH-000211,-0.389757091995
ACH-000215,-0.4783598506
ACH-000221,-0.16793815969599998
ACH-000222,-0.274203704926
ACH-000223,-0.271932699298
ACH-000226,-0.415717965103
ACH-000227,-0.349829986888
ACH-000228,-0.391421308516
ACH-000231,-0.426660475198
ACH-000232,-0.42257307267099997
ACH-000233,-0.291943686942
ACH-000234,-0.4140146754
ACH-000235,-0.305783030061
ACH-000237,-0.29270704738000003
ACH-000238,-0.451130436751
ACH-000243,-0.525181048773
ACH-000244,-0.5773583086190001
ACH-000246,-0.13903943300899999
ACH-000248,-0.35007146209600004
ACH-000250,-0.37880370309
ACH-000251,-0.7922472413830001
ACH-000253,-0.312091847809
ACH-000255,-0.481334580809
ACH-000256,-0.461413079504
ACH-000257,-0.173059469431
ACH-000258,-0.142148465675
ACH-000259,-0.177884710612
ACH-000260,-0.41607754189999996
ACH-000261,-0.298018398343
ACH-000262,-0.19172508897399998
ACH-000263,-0.250137303237
ACH-000264,-0.334368424393
ACH-000265,-0.349774791076
ACH-000266,-0.300614919028
