,BIRC6 (57448)
ACH-000004,-0.6555555675770001
ACH-000007,-0.396560561463
ACH-000009,-0.11211234998700001
ACH-000011,0.0500264009322
ACH-000012,-0.716639130745
ACH-000013,-0.360804244655
ACH-000014,-0.0869775549267
ACH-000015,-0.260632313797
ACH-000017,-0.958869681331
ACH-000018,-0.208591939969
ACH-000019,-0.641900301917
ACH-000021,-0.335395497912
ACH-000022,-0.605666517992
ACH-000025,-0.27910374377700004
ACH-000028,-0.976115495305
ACH-000030,-0.8160253965109999
ACH-000035,-0.37538303103799997
ACH-000036,-0.115043597728
ACH-000037,-0.653152048119
ACH-000039,-0.133919005971
ACH-000040,-0.37113782768200004
ACH-000041,-0.14920742983
ACH-000042,-0.166970452109
ACH-000045,0.530343098251
ACH-000047,-0.450858955887
ACH-000052,-0.199107761784
ACH-000053,-0.171136878218
ACH-000054,-0.35232418106799995
ACH-000055,-0.335867842549
ACH-000060,-0.264032469822
ACH-000067,-0.0921354204684
ACH-000070,-0.0969024495452
ACH-000075,-0.09041446115070001
ACH-000078,-0.241809814844
ACH-000082,-0.472677142236
ACH-000085,-0.31237263723
ACH-000086,-0.364774617406
ACH-000087,-0.24445071396499998
ACH-000092,-0.188688081055
ACH-000095,-0.537532275798
ACH-000097,-1.01740518652
ACH-000098,-0.0111786135964
ACH-000099,0.125218717715
ACH-000108,-0.15744184449
ACH-000113,0.13592675860300002
ACH-000115,-0.592334068716
ACH-000116,-0.652808521703
ACH-000118,-0.5527606964890001
ACH-000120,-0.240423700559
ACH-000123,-0.748398880118
ACH-000127,-0.5236722180610001
ACH-000128,0.015309346675200002
ACH-000132,-0.37338985119499996
ACH-000133,-0.640999055777
ACH-000137,-0.185816647758
ACH-000138,-0.36306510799099995
ACH-000142,-0.08868615755419999
ACH-000143,-0.408076617203
ACH-000146,0.0412314431478
ACH-000148,-0.399926345748
ACH-000150,-0.31604482466600003
ACH-000152,-0.45714385163099996
ACH-000153,0.038660296324
ACH-000159,0.0126167254367
ACH-000160,-0.605095847013
ACH-000163,0.13692882777899998
ACH-000167,-0.239166241875
ACH-000168,0.457203840731
ACH-000169,0.0233402770089
ACH-000178,-0.30033368318799997
ACH-000182,-0.356306523104
ACH-000183,-0.131581688786
ACH-000188,-0.30669357953299997
ACH-000189,0.117462093063
ACH-000190,-0.42855298535400005
ACH-000198,-0.570311771198
ACH-000204,-0.262081239929
ACH-000206,-0.644758629045
ACH-000207,-0.8114411951080001
ACH-000211,-0.43134701686300003
ACH-000215,-0.208043950225
ACH-000221,-0.31591568235399997
ACH-000222,-0.602422739762
ACH-000223,-0.5555173471320001
ACH-000226,-0.311877319614
ACH-000227,0.075010263304
ACH-000228,-0.56495843411
ACH-000231,-0.335017211752
ACH-000232,-0.0528465138224
ACH-000233,-0.44862838692100004
ACH-000234,0.07344368048160001
ACH-000235,-0.223670041266
ACH-000237,-0.259837260334
ACH-000238,-0.394770259464
ACH-000243,-0.386351262729
ACH-000244,-0.26705816268000004
ACH-000246,0.00203937260634
ACH-000248,-0.928997524367
ACH-000250,-0.07357924410410001
ACH-000251,-0.54232004603
ACH-000253,-0.374655472316
ACH-000255,-0.393245834878
ACH-000256,-0.663928661911
ACH-000257,-0.405945988593
ACH-000258,-0.312725545616
ACH-000259,-0.29432000977
ACH-000260,-0.305310140164
ACH-000261,-0.398150658553
ACH-000262,-0.25534797389499997
ACH-000263,-0.21531545482900002
ACH-000264,-0.136254723104
ACH-000265,-0.359251595581
ACH-000266,-0.38847055242399997
ACH-000272,0.0980205681653
ACH-000273,-0.143449621626
ACH-000274,-0.36493580514799995
ACH-000277,-0.950746575492
ACH-000278,-0.196760466472
ACH-000279,-0.292190421789
ACH-000280,-0.0686530539899
ACH-000281,-0.618430117303
ACH-000288,-0.289058681851
ACH-000291,-0.294607446751
ACH-000293,-0.460281630104
ACH-000294,0.441595317819
ACH-000295,0.191641938698
ACH-000296,-0.584622379891
ACH-000302,0.0026275168834299996
ACH-000304,-0.5554214656700001
ACH-000307,-0.626598848025
ACH-000308,-0.22886055433699998
ACH-000310,-0.0830748183286
ACH-000311,-0.724676651667
ACH-000312,-0.165869812883
ACH-000315,-0.0843533165105
ACH-000316,-0.24332091980700002
ACH-000317,-0.678903813566
ACH-000318,-0.563512716379
ACH-000319,0.144845734653
ACH-000320,-0.698255135608
ACH-000322,-0.533791106402
ACH-000323,-0.195033855844
ACH-000324,-0.295825869386
ACH-000329,-0.47354842930600005
ACH-000330,-0.79590117109
ACH-000331,-0.36888489520499995
ACH-000332,-0.23858706382599998
ACH-000334,-0.131029029238
ACH-000335,0.12089886686899999
ACH-000336,-0.25160172947
ACH-000337,-0.35094116761999994
ACH-000339,-0.541219687093
ACH-000341,0.00276310045787
ACH-000348,-0.38019365403800004
ACH-000350,-0.34138067544399997
