,PARPBP (55010)
ACH-000004,0.0564673003941
ACH-000007,-0.0935099253638
ACH-000009,-0.34736382988200004
ACH-000011,-0.124489377585
ACH-000012,-0.184508033721
ACH-000013,-0.0927874281635
ACH-000014,-0.0459436554923
ACH-000015,0.0216144110105
ACH-000017,-0.14642640885299998
ACH-000018,-0.132822326244
ACH-000019,0.0134596451804
ACH-000021,-0.14972090584699999
ACH-000022,-0.260698003504
ACH-000025,-0.12054414684699999
ACH-000028,0.0280229311135
ACH-000030,-0.11162391578099999
ACH-000035,-0.184900111181
ACH-000036,-0.176086847623
ACH-000037,-0.0845203361262
ACH-000039,-0.20036147735800003
ACH-000040,-0.161023834427
ACH-000041,-0.0325020587439
ACH-000042,-0.217465003466
ACH-000045,-0.0285050965
ACH-000047,0.057643577276300005
ACH-000052,-0.463428736224
ACH-000053,-0.174300138827
ACH-000054,-0.029693032877099998
ACH-000055,0.0812584373558
ACH-000060,0.0263713351742
ACH-000067,-0.00791060602082
ACH-000070,0.0127801663602
ACH-000075,-0.22234817402399998
ACH-000078,-0.330842874507
ACH-000082,-0.19568151903099998
ACH-000085,-0.199806578827
ACH-000086,-0.101953052079
ACH-000087,-0.0536682415657
ACH-000092,-0.251635879663
ACH-000095,-0.23374664816100002
ACH-000097,-0.169474046151
ACH-000098,-0.141315746843
ACH-000099,-0.163451015295
ACH-000108,-0.12799463862
ACH-000113,-0.112540098839
ACH-000115,-0.0533744085111
ACH-000116,-0.09730633639260002
ACH-000118,-0.0935581092399
ACH-000120,-0.0864825171534
ACH-000123,-0.115577164898
ACH-000127,-0.0419349046982
ACH-000128,-0.110414043629
ACH-000132,0.030605513780099996
ACH-000133,-0.20971835321899998
ACH-000137,-0.128205856456
ACH-000138,-0.155456416772
ACH-000142,-0.0638863960141
ACH-000143,-0.131320836296
ACH-000146,-0.128222195261
ACH-000148,-0.163332688025
ACH-000150,-0.27777705645
ACH-000152,-0.177462431027
ACH-000153,-0.09224513151210001
ACH-000159,-0.186146705366
ACH-000160,-0.22690364841999996
ACH-000163,-0.127496424871
ACH-000167,-0.171622758347
ACH-000168,-0.255585148368
ACH-000169,-0.11633973745899999
ACH-000178,0.0177829124648
ACH-000182,-0.018334772443
ACH-000183,-0.046999167581
ACH-000188,-0.11680040570599999
ACH-000189,0.053245552643300005
ACH-000190,-0.0286724826364
ACH-000198,-0.113663155589
ACH-000204,0.16141238008300002
ACH-000206,-0.06307760362999999
ACH-000207,0.22680968578299998
ACH-000211,-0.13782444971
ACH-000215,-0.184101664949
ACH-000221,-0.028693369816700003
ACH-000222,-0.23476412519900003
ACH-000223,-0.253811750957
ACH-000226,-0.165980604761
ACH-000227,-0.21609726177400002
ACH-000228,-0.156399959088
ACH-000231,-0.10269559102499999
ACH-000232,-0.12266327786900001
ACH-000233,-0.13785837789
ACH-000234,-0.245946363509
ACH-000235,-0.18399044582600002
ACH-000237,-0.11888099732999999
ACH-000238,-0.29483361376899997
ACH-000243,-0.12223928115
ACH-000244,-0.279450046985
ACH-000246,-0.138551333175
ACH-000248,-0.21222018123599998
ACH-000250,-0.09757529846270001
ACH-000251,-0.10121823683
ACH-000253,-0.0954342354757
ACH-000255,0.06691818389740001
ACH-000256,-0.23546884179699998
ACH-000257,-0.0752661714318
ACH-000258,-0.20422760952100003
ACH-000259,-0.23978275110599997
ACH-000260,-0.14736610499000002
ACH-000261,-0.21331571544599998
ACH-000262,0.0797577678863
ACH-000263,-0.20016543911899998
ACH-000264,-0.124353591959
ACH-000265,-0.039791247220800005
ACH-000266,-0.17156994731699998
ACH-000272,-0.11024112682000001
ACH-000273,-0.286363263277
ACH-000274,-0.183911682374
ACH-000277,-0.0739558193409
ACH-000278,-0.11848144358200001
ACH-000279,-0.0257778106387
ACH-000280,-0.187811206343
ACH-000281,-0.22517396077799998
ACH-000288,-0.124344577872
ACH-000291,-0.08122955083689999
ACH-000293,-0.173525307981
ACH-000294,-0.151438754756
ACH-000295,-0.055853951577500005
ACH-000296,-0.0614405116144
ACH-000302,-0.097835980332
ACH-000304,-0.0990506927421
ACH-000307,-0.21098229771
