,INPP5B (3633)
ACH-000004,0.107531035994
ACH-000007,0.11560266729299999
ACH-000009,-0.0729278881472
ACH-000011,0.0967212376574
ACH-000012,0.025036016297599998
ACH-000013,0.00893881636067
ACH-000014,0.142428813404
ACH-000015,0.105191522368
ACH-000017,-0.07644280249169999
ACH-000018,0.059668129953800005
ACH-000019,0.0859571251162
ACH-000021,0.026047419760799998
ACH-000022,0.0513938856475
ACH-000025,0.0580854473245
ACH-000028,0.028870563491700002
ACH-000030,0.0021239944670599998
ACH-000035,-0.184629247821
ACH-000036,0.0767199902509
ACH-000037,-0.167138783795
ACH-000039,-0.044266003280800006
ACH-000040,-0.183230395372
ACH-000041,0.0410822535299
ACH-000042,0.0844270449972
ACH-000045,0.0867326418768
ACH-000047,-0.0366882306572
ACH-000052,0.17984506568300002
ACH-000053,0.036031253081099994
ACH-000054,-0.247932931008
ACH-000055,-0.218746727045
ACH-000060,0.050744485649800004
ACH-000067,-0.164974974657
ACH-000070,-0.0450328573652
ACH-000075,0.265159625441
ACH-000078,-0.19629309316799998
ACH-000082,0.142267004892
ACH-000085,-0.139895831841
ACH-000086,0.034601302
ACH-000087,-0.0768553253069
ACH-000092,-0.14070246453
ACH-000095,-0.0681542585268
ACH-000097,-0.07051469825510001
ACH-000098,-0.0680020677084
ACH-000099,-0.011710446669299998
ACH-000108,-0.15637605714400002
ACH-000113,-0.041328360027
ACH-000115,-0.35766247388899997
ACH-000116,0.0648882537266
ACH-000118,0.0583569687292
ACH-000120,-0.024109951979099997
ACH-000123,-0.177221857777
ACH-000127,0.04832255072819999
ACH-000128,-0.0843532319376
ACH-000132,0.107122434231
ACH-000133,-0.127904842583
ACH-000137,-0.263757861672
ACH-000138,-0.0240339252546
ACH-000142,0.059554796517000005
ACH-000143,-0.17743061847600003
ACH-000146,0.015253197141299999
ACH-000148,0.128325763803
ACH-000150,-0.219215371793
ACH-000152,-0.0670668454045
ACH-000153,-0.131738204847
ACH-000159,0.07636618606750001
ACH-000160,0.000171336202271
ACH-000163,0.14891044911499998
ACH-000167,-0.22819706176100002
ACH-000168,-0.152530591559
ACH-000169,-0.20888708558
ACH-000178,0.0211305002978
ACH-000182,0.147095383058
ACH-000183,-0.10823275071499999
ACH-000188,-0.0410656022645
ACH-000189,0.19925014174400002
ACH-000190,-0.15357226255
ACH-000198,-0.07451529351410001
ACH-000204,-0.105875273782
ACH-000206,-0.08580649139310001
