,PLCZ1 (89869)
ACH-000004,-0.153616726791
ACH-000007,0.00643406961897
ACH-000009,-0.297382318583
ACH-000011,-0.140501248542
ACH-000012,0.0877328727475
ACH-000013,0.0429269264501
ACH-000014,-0.066466414863
ACH-000015,-0.125412605549
ACH-000017,-0.08562755109510001
ACH-000018,0.129258046937
ACH-000019,0.0267841184563
ACH-000021,-0.131846510467
ACH-000022,-0.028645220921400004
ACH-000025,-0.0737162057713
ACH-000028,-0.0129549298966
ACH-000030,-0.0027086889193400003
ACH-000035,-0.061797559727999996
ACH-000036,0.0904286930284
ACH-000037,0.36349503217
ACH-000039,0.007267917589670001
ACH-000040,-0.0848921664206
ACH-000041,-0.123694863597
ACH-000042,0.0362431396899
ACH-000045,0.057348079861199996
ACH-000047,-0.114297869803
ACH-000052,-0.21192482419300002
ACH-000053,-0.0266385528774
ACH-000054,-0.11402074157
ACH-000055,-0.0366160161064
ACH-000060,-0.181428785458
ACH-000067,-0.369528694905
ACH-000070,0.0908739724742
ACH-000075,-0.0515878467154
ACH-000078,0.07485415867800001
ACH-000082,0.027165918808
ACH-000085,0.050266521427
ACH-000086,-0.276841002547
ACH-000087,-0.235538068794
ACH-000092,-0.0717658259995
ACH-000095,-0.0263117397676
ACH-000097,-0.0077291595234
ACH-000098,-0.0617504675908
ACH-000099,-0.025894160487000002
ACH-000108,-0.09071151251939999
ACH-000113,-0.146471674676
ACH-000115,-0.232102814116
ACH-000116,-0.24060454088199998
ACH-000118,0.028540779333200005
ACH-000120,-0.17232114063499998
ACH-000123,-0.175529514252
ACH-000127,-0.221052525124
ACH-000128,-0.254688133032
ACH-000132,-0.0447912974262
ACH-000133,0.022310846159200003
ACH-000137,0.107076344979
ACH-000138,-0.0758748521368
ACH-000142,0.14160152043299998
ACH-000143,-0.17255257105799998
ACH-000146,-0.07551284157539999
ACH-000148,-0.248927028133
ACH-000150,-0.0036010144726399997
ACH-000152,-0.16780775369000003
ACH-000153,-0.16309400933
ACH-000159,-0.0636686839705
ACH-000160,-0.29884650312600003
ACH-000163,-0.056992137250699994
ACH-000167,-0.208448787641
ACH-000168,0.157676677727
ACH-000169,0.023979055410599998
ACH-000178,-0.0993346219347
ACH-000182,0.0205140651202
ACH-000183,-0.09383898678099999
ACH-000188,-0.031532535096499996
ACH-000189,0.222353054544
ACH-000190,-0.116755732851
ACH-000198,0.012191090322799998
ACH-000204,0.110535859111
ACH-000206,0.0566046588239
ACH-000207,0.0340579352885
ACH-000211,-0.14401260220599998
ACH-000215,-0.165419974334
ACH-000221,-0.03653971362530001
ACH-000222,-0.0462345758032
ACH-000223,-0.218335370211
ACH-000226,-0.0682193194015
ACH-000227,-0.350766783204
ACH-000228,0.014286948537600002
ACH-000231,-0.21903009891
ACH-000232,-0.162522085141
ACH-000233,-0.134698127583
ACH-000234,-0.0482648712732
ACH-000235,-0.08454674765789999
ACH-000237,0.037608954948800004
ACH-000238,-0.0026964356915
ACH-000243,-0.25347151173
ACH-000244,-0.443617656499
ACH-000246,-0.11676684027899999
ACH-000248,-0.021102108157099998
ACH-000250,-0.060259918287399995
ACH-000251,-0.457410674861
ACH-000253,-0.0757936699138
ACH-000255,-0.14212219356699998
ACH-000256,-0.160382462466
ACH-000257,-0.245573376307
ACH-000258,0.212851847321
ACH-000259,-0.055651599547399996
ACH-000260,0.0678258193671
ACH-000261,-0.0718510771131
ACH-000262,-0.113371964978
ACH-000263,-0.0616464161496
ACH-000264,-0.0844097368135
ACH-000265,-0.1186635208
ACH-000266,-0.17737684418699998
ACH-000272,-0.19072730194600002
ACH-000273,-0.134773617409
ACH-000274,-0.166634527156
ACH-000277,-0.0586472318892
ACH-000278,-0.10162183638
ACH-000279,-0.105825090693
ACH-000280,-0.00343944364502
ACH-000281,-0.0654161274976
ACH-000288,-0.151747239668
ACH-000291,-0.113456189737
ACH-000293,-0.04613656695119999
ACH-000294,-0.321422004674
ACH-000295,-0.027805599299
ACH-000296,-0.09482625863739999
ACH-000302,-0.101327465677
ACH-000304,-0.05983178799819999
ACH-000307,-0.251078354772
ACH-000308,0.030011302750900002
ACH-000310,-0.225039865157
ACH-000311,-0.06380338867459999
ACH-000312,0.0136484261043
ACH-000315,-0.24777418551600003
ACH-000316,-0.028660439572200002
ACH-000317,0.011126352486100001
ACH-000318,0.125870725174
ACH-000319,0.014809342647200002
ACH-000320,-0.143836790835
ACH-000322,-0.113490985913
ACH-000323,-0.143500506958
ACH-000324,-0.173964242513
ACH-000329,-0.183437412152
ACH-000330,-0.13052201845
ACH-000331,-0.0646930692062
ACH-000332,-0.0882367749639
ACH-000334,-0.0178566883056
ACH-000335,-0.264425599922
ACH-000336,-0.036735916756800005
ACH-000337,0.11661972004799999
ACH-000339,-0.0740765922217
ACH-000341,0.191140163796
ACH-000348,-0.130496021459
ACH-000350,-0.009592240836340001
ACH-000352,-0.058099409508699996
ACH-000356,-0.20268857952599997
ACH-000361,-0.240584960865
ACH-000362,0.0379982765348
ACH-000363,-0.0722252611862
ACH-000364,-0.156529045666
ACH-000365,-0.0471313939178
ACH-000366,-0.132617862724
ACH-000368,-0.20499415718199998
ACH-000374,0.168022012816
ACH-000375,-0.187198694018
ACH-000376,0.0063401504558899995
ACH-000381,-0.27271902267299997
ACH-000383,-0.0006882300916589999
ACH-000387,-0.0361098963455
ACH-000389,0.24518740292100002
ACH-000390,-0.0307978400895
ACH-000393,-0.0898312872373
ACH-000395,0.14736375886199998
ACH-000397,-0.142725768196
ACH-000401,-0.09296983801349999
ACH-000402,-0.129694971719
ACH-000403,-0.0558977470342
ACH-000404,0.252274464108
ACH-000406,-0.0612388522201
ACH-000407,-0.137186225741
ACH-000408,-0.0160437329447
ACH-000410,-0.110381930613
ACH-000411,-0.0176878424123
ACH-000414,-0.25635851852499997
ACH-000415,-0.0409802772517
ACH-000416,-0.0483999275628
ACH-000420,0.013555250280000002
