,MZF1 (7593)
ACH-000004,-0.6011614377910001
ACH-000007,-0.34271802202600005
ACH-000009,-0.623529059525
ACH-000011,-0.465143959526
ACH-000012,-0.496469529225
ACH-000013,-0.39490551433300003
ACH-000014,-0.467918830472
ACH-000015,-0.462458791859
ACH-000017,-0.39981449075900005
ACH-000018,-0.406447725928
ACH-000019,-0.32299407716
ACH-000021,-0.350283720413
ACH-000022,-0.669704908523
ACH-000025,-0.22677797079700002
ACH-000028,-0.460573987332
ACH-000030,-0.40650666954000003
ACH-000035,-0.521543540673
ACH-000036,-0.625136280538
ACH-000037,-0.5724208044
ACH-000039,-0.625176762563
ACH-000040,-0.332431106013
ACH-000041,-0.576665677055
ACH-000042,-0.323886787051
ACH-000045,-0.328227276472
ACH-000047,-0.599548310306
ACH-000052,-0.800824877801
ACH-000053,-0.423793142249
ACH-000054,-0.493857351816
ACH-000055,-0.42001728540399996
ACH-000060,-0.48630247031900004
ACH-000067,-0.5027507659780001
ACH-000070,-0.901306113414
ACH-000075,-0.630832039658
ACH-000078,-0.387231743512
ACH-000082,-0.458030082797
ACH-000085,-0.429890291303
ACH-000086,-0.34027973313500004
ACH-000087,-0.33882459699199996
ACH-000092,-0.564929673711
ACH-000095,-0.601129752507
ACH-000097,-0.636209656071
ACH-000098,-0.435430336757
ACH-000099,-0.532077247716
ACH-000108,-0.438127580128
ACH-000113,-0.292300715487
ACH-000115,-0.651696612088
ACH-000116,-0.630130608367
ACH-000118,-0.403447814867
ACH-000120,-0.262362117024
ACH-000123,-0.746743510872
ACH-000127,-0.278206260072
ACH-000128,-0.530846064984
ACH-000132,-0.592252837657
ACH-000133,-0.37121857902500005
ACH-000137,-0.310338420131
ACH-000138,-0.58347043935
ACH-000142,-0.591128125309
ACH-000143,-0.556485120538
ACH-000146,-0.510820508559
ACH-000148,-0.432274074936
ACH-000150,-0.24796537116999998
ACH-000152,-0.35964466954
ACH-000153,-0.5613834688830001
ACH-000159,-0.658049230934
ACH-000160,-0.270081359358
ACH-000163,-0.506420031857
ACH-000167,-0.282350071675
