,CMTM5 (116173)
ACH-000004,-0.057725244943000006
ACH-000007,-0.0530182549116
ACH-000009,-0.21318426428
ACH-000011,-0.191226368955
ACH-000012,-0.21348938264000003
ACH-000013,-0.156589712174
ACH-000014,-0.0498377414552
ACH-000015,-0.116562486244
ACH-000017,-0.324907266112
ACH-000018,-0.244461454085
ACH-000019,-0.41152046678599996
ACH-000021,-0.176126195446
ACH-000022,-0.116455382795
ACH-000025,-0.208082480876
ACH-000028,-0.238012473417
ACH-000030,-0.154780024461
ACH-000035,-0.103961496517
ACH-000036,-0.075564761431
ACH-000037,-0.0467687073778
ACH-000039,-0.056728686690999994
ACH-000040,-0.06535448971800001
ACH-000041,-0.0923149145985
ACH-000042,-0.174964229507
ACH-000045,-0.119984251776
ACH-000047,-0.11963778012599999
ACH-000052,-0.25517022816
ACH-000053,-0.104484831437
ACH-000054,-0.17808779447700002
ACH-000055,-0.108892816278
ACH-000060,-0.024791487057
ACH-000067,0.00886307159796
ACH-000070,-0.196237494052
ACH-000075,-0.07913779978360001
ACH-000078,-0.042454145349500004
ACH-000082,-0.108146351078
ACH-000085,-0.112363093414
ACH-000086,-0.24642604007599997
ACH-000087,-0.346430906192
ACH-000092,-0.20028414809599998
ACH-000095,-0.10743962497000001
ACH-000097,-0.189034428118
ACH-000098,-0.252712789029
ACH-000099,-0.06747229800919999
ACH-000108,-0.230891884544
ACH-000113,-0.206989449474
ACH-000115,-0.0172508558154
ACH-000116,-0.21298542005899998
ACH-000118,-0.330294152638
ACH-000120,-0.209690242163
ACH-000123,-0.278835366902
ACH-000127,-0.251971972581
ACH-000128,-0.193022636722
ACH-000132,-0.021634149371500003
ACH-000133,-0.212831865828
ACH-000137,-0.244774075221
ACH-000138,-0.0914456141427
ACH-000142,-0.0035002034924899996
ACH-000143,-0.224686635508
ACH-000146,-0.125666285706
ACH-000148,-0.256511443957
ACH-000150,0.037228477779699995
ACH-000152,-0.131329146833
ACH-000153,-0.0969665922893
ACH-000159,-0.13432325553899999
ACH-000160,-0.6974697152730001
ACH-000163,-0.0205771127789
ACH-000167,-0.030440453505899998
ACH-000168,-0.268827331051
ACH-000169,-0.162166997168
ACH-000178,-0.100984824936
ACH-000182,-0.14728011442
ACH-000183,-0.2965642129
ACH-000188,-0.206797935079
ACH-000189,-0.28576151730599997
ACH-000190,-0.274083638211
ACH-000198,-0.0821654545891
ACH-000204,-0.230943501532
ACH-000206,-0.13633366360500002
ACH-000207,-0.111294612139
ACH-000211,-0.20698847915600002
ACH-000215,-0.211290771377
ACH-000221,-0.122201912775
ACH-000222,-0.09097841196249999
ACH-000223,-0.135124790714
ACH-000226,-0.38486882139399997
ACH-000227,-0.0299429834802
ACH-000228,-0.16979362740600001
ACH-000231,-0.207942862682
ACH-000232,-0.196606393412
ACH-000233,-0.0984029731085
ACH-000234,-0.122539122346
ACH-000235,-0.149065843014
ACH-000237,0.0315185869465
ACH-000238,0.00693336872983
ACH-000243,-0.413982255106
ACH-000244,-0.013693570394200001
ACH-000246,-0.320016918585
ACH-000248,-0.30859718102899997
ACH-000250,-0.243602598975
ACH-000251,0.022073090406299997
ACH-000253,-0.131970333264
ACH-000255,-0.20982143727699998
ACH-000256,0.07572666254180001
ACH-000257,-0.381480180086
ACH-000258,-0.50388238049
ACH-000259,-0.228238742915
ACH-000260,-0.316960961792
ACH-000261,-0.14361401549799999
ACH-000262,-0.0503172161802
ACH-000263,-0.36542147239
ACH-000264,-0.238243896734
ACH-000265,-0.221683783486
ACH-000266,-0.19263542330400002
ACH-000272,-0.227318426444
ACH-000273,0.0575051448274
ACH-000274,0.0185226643587
ACH-000277,-0.0934673560817
ACH-000278,-0.204407893397
ACH-000279,-0.0989364472257
ACH-000280,-0.137695205613
ACH-000281,-0.187189494881
ACH-000288,-0.117454407542
ACH-000291,-0.163328574999
ACH-000293,-0.239671288979
ACH-000294,-0.198743345953
ACH-000295,-0.11784530268200001
ACH-000296,-0.235771411003
ACH-000302,-0.10650153166099999
ACH-000304,-0.08140044381410001
ACH-000307,-0.220796843472
ACH-000308,-0.11800818872000002
ACH-000310,-0.166833467477
ACH-000311,-0.43180373357699997
ACH-000312,-0.155495060543
ACH-000315,-0.339978359148
ACH-000316,-0.133456321884
ACH-000317,-0.243711528131
ACH-000318,-0.440856406702
ACH-000319,-0.137467140258
ACH-000320,-0.10413505045600001
ACH-000322,-0.190730217697
ACH-000323,-0.19233451786400002
ACH-000324,-0.122055342126
ACH-000329,-0.043951208753
ACH-000330,-0.353244622689
ACH-000331,-0.182054254485
ACH-000332,-0.211275523609
ACH-000334,-0.0480425267028
ACH-000335,-0.171603261738
ACH-000336,-0.325215473979
ACH-000337,-0.625861042633
ACH-000339,-0.183878247243
ACH-000341,-0.0774478686446
ACH-000348,-0.125806662254
ACH-000350,-0.321060729921
ACH-000352,-0.180391861193
ACH-000356,-0.400250753358
ACH-000361,-0.044464620814199995
ACH-000362,-0.11213015677999999
ACH-000363,-0.242122746661
ACH-000364,-0.192957431196
ACH-000365,-0.163992775971
ACH-000366,-0.160983018563
ACH-000368,-0.23556065481999997
ACH-000374,-0.07399041677149999
ACH-000375,-0.220892881171
ACH-000376,-0.314896745769
ACH-000381,-0.174832709639
ACH-000383,-0.165098854258
ACH-000387,-0.0649711830545
ACH-000389,-0.169430361857
ACH-000390,-0.109256523783
ACH-000393,-0.371950085958
ACH-000395,0.16309694221100002
ACH-000397,-0.207518531556
ACH-000401,-0.231127345721
ACH-000402,-0.23283236359200002
ACH-000403,-0.225078349297
ACH-000404,-0.270692095397
ACH-000406,-0.29321903662
ACH-000407,-0.20622029233
ACH-000408,0.031372180459799996
ACH-000410,-0.147868299244
ACH-000411,-0.13177587928200002
ACH-000414,-0.106229728985
ACH-000415,-0.137281288592
ACH-000416,-0.102101965287
ACH-000420,-0.13203091615700002
ACH-000421,-0.14730019843699999
ACH-000424,-0.320911250983
ACH-000425,-0.292128071697
ACH-000426,-0.080270977074
ACH-000427,-0.38587866434
ACH-000433,-0.21509877863600002
ACH-000436,-0.104311349318
ACH-000444,-0.31056190954
ACH-000445,-0.280708700624
ACH-000448,-0.301091543254
ACH-000450,-0.273332240999
ACH-000452,-0.122622205047
ACH-000454,-0.242428801452
ACH-000458,-0.293433974361
ACH-000459,-0.154754728636
ACH-000460,-0.201702838561
ACH-000461,0.0391870544385
ACH-000463,-0.374057193146
ACH-000464,-0.028776714208299997
ACH-000466,-0.0390412390448
ACH-000467,-0.143496959098
ACH-000468,0.017943916687
ACH-000469,-0.132002814737
ACH-000470,-0.12548876188
ACH-000471,-0.28138590047400003
ACH-000472,-0.17512743877
ACH-000473,0.0017546807293199998
ACH-000475,-0.153873482359
ACH-000476,-0.193844755964
ACH-000477,-0.251989328014
ACH-000480,-0.08996034156739999
ACH-000481,-0.320450720233
ACH-000483,-0.0951332272792
ACH-000484,-0.25749991590599997
ACH-000485,-0.22885905676999999
ACH-000486,-0.226390873156
ACH-000487,0.028282999013099996
ACH-000488,-0.261822226906
ACH-000490,-0.256180454248
ACH-000491,-0.158643414965
ACH-000495,-0.419245528408
ACH-000496,-0.052242659754800004
ACH-000499,-0.19526779910300002
ACH-000500,-0.123459702857
ACH-000502,-0.170374429088
ACH-000503,-0.16874105010499998
ACH-000505,-0.06957574716010001
ACH-000507,-0.20100538607000001
ACH-000510,-0.049317836612900005
ACH-000511,-0.0590369367786
ACH-000512,-0.223314234047
ACH-000516,-0.388672506533
ACH-000517,-0.11084009836400001
ACH-000518,-0.139464766869
ACH-000520,-0.143222474831
ACH-000521,-0.0178542185228
ACH-000522,-0.182490353127
ACH-000524,-0.0784324866423
ACH-000527,-0.17481508335499998
ACH-000528,-0.23694072733399998
ACH-000537,-0.11618239374500001
ACH-000541,-0.0405105427285
ACH-000542,-0.254467075594
ACH-000544,-0.229080878263
ACH-000545,-0.0947942894689
ACH-000547,0.060016270134199995
ACH-000548,-0.23051231429000002
ACH-000549,0.0339433383753
ACH-000550,-0.11112436766599999
ACH-000552,-0.27249418237100004
ACH-000556,-0.290800421689
ACH-000557,-0.093367660506
ACH-000570,-0.259868935698
ACH-000571,-0.268621406773
ACH-000573,-0.186713187734
ACH-000576,-0.161622026361
ACH-000580,-0.09776782580900001
ACH-000584,-0.20320972507500001
ACH-000585,-0.138604824291
ACH-000588,-0.20489204219999999
ACH-000589,-0.24447333939100002
ACH-000591,-0.21873622328
ACH-000593,-0.039368399617800004
ACH-000600,-0.211967364045
ACH-000601,-0.199769614564
ACH-000604,0.0861647592073
ACH-000605,-0.138592927264
ACH-000606,-0.209102792257
ACH-000608,-0.0736817331178
ACH-000614,-0.321009082362
ACH-000616,-0.24819364540999997
ACH-000618,-0.37331544418300006
ACH-000619,-0.378752505594
ACH-000620,-0.26250875039099997
ACH-000621,-0.0257235204239
ACH-000622,-0.19242038158100003
ACH-000623,-0.10358131822200001
ACH-000624,-0.187850993897
ACH-000627,-0.0716729669224
ACH-000630,-0.0477786124423
ACH-000632,-0.326145597647
ACH-000633,-0.163672242287
ACH-000637,-0.130590050294
ACH-000638,-0.066378487918
ACH-000646,-0.371694161483
ACH-000647,-0.09678447279060001
ACH-000648,-0.0597984821473
ACH-000649,-0.23947092412700002
ACH-000651,-0.194309664224
ACH-000652,-0.18515205715799998
ACH-000653,-0.259207004083
ACH-000657,-0.238673411305
ACH-000658,0.029806897337500003
ACH-000661,-0.155084356246
ACH-000662,0.105739515824
ACH-000663,-0.222384665625
ACH-000665,-0.0952665553982
ACH-000671,-0.256508177744
ACH-000673,-0.0651392485463
ACH-000676,-0.177624488244
ACH-000677,-0.45700220725699997
ACH-000681,-0.1285999136
ACH-000682,-0.191535761646
ACH-000683,-0.163939255022
ACH-000684,-0.00508269210604
ACH-000688,-0.253088017419
ACH-000693,-0.256973718013
ACH-000694,-0.402381996549
ACH-000695,0.0678246987944
ACH-000696,-0.237990255799
ACH-000697,-0.10000643551
ACH-000699,-0.27408255439
ACH-000701,-0.35054566799599995
ACH-000706,-0.158198391843
ACH-000711,-0.23742484998399999
ACH-000713,-0.380253995678
ACH-000714,-0.151625319473
ACH-000718,-0.08019570603369999
ACH-000720,-0.132594960214
ACH-000721,-0.20647448417999997
ACH-000724,0.108332714333
ACH-000725,-0.344042660819
ACH-000732,-0.331170058138
ACH-000734,-0.052685675092099996
ACH-000735,-0.15353155200899998
ACH-000736,-0.240057657894
ACH-000738,-0.270210030652
ACH-000746,0.00955363115718
ACH-000747,-0.191400863818
ACH-000748,-0.21842769214000002
ACH-000753,-0.20987295039
ACH-000756,-0.461840951345
ACH-000757,-0.17373684175299997
ACH-000758,-0.291495909662
ACH-000760,-0.237200331628
ACH-000763,-0.164038175702
ACH-000764,-0.166699312897
ACH-000765,-0.285412846876
ACH-000766,-0.346066390305
ACH-000767,-0.10306900749299999
ACH-000768,-0.124820604427
ACH-000769,-0.20921728868500003
ACH-000770,-0.22890332181499998
ACH-000771,-0.154053069638
ACH-000773,-0.11416290099300001
ACH-000776,-0.12323545906300001
ACH-000777,-0.0722333303184
ACH-000778,-0.199383233059
ACH-000781,-0.236175146956
ACH-000782,-0.0244686962374
ACH-000783,-0.122500671461
ACH-000784,-0.139116587351
ACH-000785,-0.0603020456568
ACH-000787,-0.0796516796449
ACH-000788,-0.186142162453
ACH-000791,-0.4164978072
ACH-000792,-0.268313246019
ACH-000794,-0.128776729922
ACH-000796,-0.185041664283
ACH-000799,-0.204177745421
ACH-000800,-0.339985233119
ACH-000802,-0.224854716329
ACH-000804,-0.03388386118
ACH-000805,-0.245652141985
ACH-000809,0.0187206936557
ACH-000810,-0.251207510722
ACH-000811,-0.050759020115099994
ACH-000817,0.0241597699852
ACH-000819,-0.139844450349
ACH-000820,-0.527464533203
ACH-000821,-0.42740775540200004
ACH-000822,-0.0786182931637
ACH-000823,-0.29013198133900003
ACH-000824,-0.229693083319
ACH-000827,-0.18026348508499998
ACH-000829,-0.00882145228627
ACH-000831,-0.353394542266
ACH-000832,-0.321962991122
ACH-000833,-0.20697885245900002
ACH-000834,0.0025314333751199998
ACH-000835,-0.35607059919600004
ACH-000836,-0.261280016649
ACH-000837,-0.195531174976
ACH-000838,-0.17702741385600002
ACH-000839,-0.377750163772
ACH-000840,-0.241305823059
ACH-000841,-0.365421744085
ACH-000843,-0.255430057871
ACH-000846,-0.277396967183
ACH-000847,-0.110778803997
ACH-000848,-0.309862541098
ACH-000849,-0.20383657688200002
ACH-000851,-0.351951570505
ACH-000855,-0.280142114544
ACH-000856,-0.118553626513
ACH-000858,-0.367807996446
ACH-000859,-0.425057527452
ACH-000861,-0.231884835328
ACH-000862,-0.06730057346990001
ACH-000865,-0.24921508253199998
ACH-000866,-0.171777022165
ACH-000867,-0.122286492726
ACH-000869,-0.209434945161
ACH-000872,-0.0283856160354
ACH-000873,-0.204751752699
ACH-000876,-0.270162521436
ACH-000878,-0.24914861615800002
ACH-000880,-0.19237911757599999
ACH-000881,-0.222160349851
ACH-000882,0.0050582879907799996
ACH-000884,-0.142698447421
