,PGRMC2 (10424)
ACH-000004,0.0925412364184
ACH-000007,-0.236260259529
ACH-000009,-0.032485419364099995
ACH-000011,0.0280385623557
ACH-000012,-0.19448112907600001
ACH-000013,-0.11277035140999998
ACH-000014,-0.0773270070165
ACH-000015,-0.0336821700471
ACH-000017,-0.156254674409
ACH-000018,-0.20524068322099998
ACH-000019,-0.49342413143200003
ACH-000021,-0.14018799676
ACH-000022,-0.242621916107
ACH-000025,-0.10088639758
ACH-000028,-0.17992582257599998
ACH-000030,-0.250169332278
ACH-000035,-0.0494741064709
ACH-000036,-0.240261914707
ACH-000037,-0.261283807298
ACH-000039,0.0376425182387
ACH-000040,-0.388531253558
ACH-000041,-0.394641593609
ACH-000042,-0.136136021431
ACH-000045,0.180434197024
ACH-000047,-0.40743009790299994
ACH-000052,-0.347603531048
ACH-000053,-0.121171875409
ACH-000054,-0.306752963419
ACH-000055,-0.0581622828322
ACH-000060,-0.19766271745
ACH-000067,-0.0675030717748
ACH-000070,-0.473019394622
ACH-000075,-0.527322844145
ACH-000078,-0.114885636774
ACH-000082,-0.11900666703500001
ACH-000085,-0.13893457539999998
ACH-000086,-0.121461733556
ACH-000087,-0.017183495498599998
ACH-000092,-0.290579346338
ACH-000095,-0.09938919361279999
ACH-000097,-0.11526511545
ACH-000098,-0.13673671872
ACH-000099,-0.212440645562
ACH-000108,-0.24014761933200002
ACH-000113,-0.35522260467600003
ACH-000115,0.052425383626300004
ACH-000116,-0.372818513308
ACH-000118,-0.144533704967
ACH-000120,0.046084075251199993
ACH-000123,-0.152992336941
ACH-000127,-0.302528138596
ACH-000128,-0.34343488210900003
ACH-000132,-0.287000927586
ACH-000133,-0.37922947894599995
ACH-000137,-0.102807033105
ACH-000138,-0.142027423175
ACH-000142,-0.146861087617
ACH-000143,-0.34937861813500004
ACH-000146,-0.0558673791726
ACH-000148,-0.12250010757999999
ACH-000150,-0.225704596715
ACH-000152,-0.315213133152
ACH-000153,-0.56061887017
ACH-000159,-0.451176377727
ACH-000160,-0.404490883583
ACH-000163,-0.103454604689
ACH-000167,-0.476946932868
ACH-000168,-0.10647513739499999
ACH-000169,-0.297155718613
ACH-000178,-0.0316426949778
ACH-000182,-0.229275234518
ACH-000183,-0.34156180876000003
ACH-000188,-0.173375714628
ACH-000189,0.206369532962
ACH-000190,-0.28192973218199996
ACH-000198,-0.0306257055812
ACH-000204,-0.49028105930699994
ACH-000206,-0.310424028059
ACH-000207,-0.05725590788380001
ACH-000211,-0.324519944693
ACH-000215,-0.19253914772599998
ACH-000221,-0.148794047775
ACH-000222,-0.0110179700219
ACH-000223,-0.19070306154
ACH-000226,-0.0785392661523
ACH-000227,-0.424217749535
ACH-000228,-0.154517382198
ACH-000231,-0.039098746853
ACH-000232,-0.215090711241
ACH-000233,-0.295041354072
ACH-000234,-0.264925407358
ACH-000235,0.019518661791099998
ACH-000237,-0.250688952974
ACH-000238,-0.251081447137
ACH-000243,-0.18370288006299998
ACH-000244,-0.17916711015999998
ACH-000246,-0.0593171124856
ACH-000248,-0.18725627682999998
ACH-000250,-0.09378509855139999
ACH-000251,-0.182291765445
ACH-000253,-0.250987048946
ACH-000255,-0.155493040887
ACH-000256,-0.341092195995
ACH-000257,0.12566787010299998
ACH-000258,-0.49716437471299996
ACH-000259,-0.240697061378
ACH-000260,-0.24213125353300002
