,LCE2A (353139)
ACH-000004,-0.425232921831
ACH-000007,-0.166608574457
ACH-000009,-0.297437181753
ACH-000011,-0.156928998096
ACH-000012,-0.27640421698
ACH-000013,-0.0997378888477
ACH-000014,-0.23901737387
ACH-000015,-0.191724056694
ACH-000017,-0.398168677299
ACH-000018,-0.204982026326
ACH-000019,-0.397891711335
ACH-000021,-0.350637020001
ACH-000022,-0.183658977517
ACH-000025,-0.303754411071
ACH-000028,-0.257701384952
ACH-000030,-0.20005841496500001
ACH-000035,-0.200597482275
ACH-000036,-0.33048913210700004
ACH-000037,-0.475374463491
ACH-000039,-0.387679270544
ACH-000040,-0.380041502512
ACH-000041,-0.12562373466399998
ACH-000042,-0.15557987607999998
ACH-000045,-0.246765494661
ACH-000047,-0.197824394826
ACH-000052,-0.379065469766
ACH-000053,-0.20685011902
ACH-000054,-0.20096414551
ACH-000055,-0.330499739706
ACH-000060,-0.394902006256
ACH-000067,-0.22474989546799998
ACH-000070,-0.292293055249
ACH-000075,-0.366432350622
ACH-000078,-0.145541166433
ACH-000082,-0.303429839303
ACH-000085,-0.151373095538
ACH-000086,-0.36837970026699995
ACH-000087,-0.245909086912
ACH-000092,-0.33922323967600004
ACH-000095,-0.235265820029
ACH-000097,-0.430859963554
ACH-000098,-0.35833216736400003
ACH-000099,-0.16911773392
ACH-000108,-0.28000523935800004
ACH-000113,-0.14367453076300002
ACH-000115,-0.33047030249000003
ACH-000116,-0.173686190529
ACH-000118,-0.240807688337
ACH-000120,-0.344780686642
ACH-000123,-0.24799131257100002
ACH-000127,-0.342961851798
ACH-000128,-0.328478451165
ACH-000132,-0.281261136804
ACH-000133,-0.36369008689000004
ACH-000137,-0.304395157773
ACH-000138,-0.208760526939
ACH-000142,-0.404314132429
ACH-000143,-0.171004691085
ACH-000146,-0.153557123301
ACH-000148,-0.34340775754
ACH-000150,-0.18709785893800002
ACH-000152,-0.201202406481
ACH-000153,-0.515791030427
ACH-000159,-0.36786955617899997
ACH-000160,-0.14475646745100001
ACH-000163,-0.48410535086199996
ACH-000167,-0.466608585667
ACH-000168,-0.329488007247
ACH-000169,-0.19672329197799998
ACH-000178,-0.168842047748
ACH-000182,-0.12995787313100002
ACH-000183,-0.274623880705
ACH-000188,-0.226490344592
ACH-000189,-0.46696727886699996
ACH-000190,-0.343701341428
ACH-000198,-0.39879412388700003
ACH-000204,-0.6558019424329999
ACH-000206,-0.377592380163
ACH-000207,-0.209377237703
ACH-000211,-0.32578340880999995
ACH-000215,-0.32490083147599996
ACH-000221,-0.40115717454300004
ACH-000222,-0.312680033888
ACH-000223,-0.249818034377
ACH-000226,-0.454111193662
ACH-000227,-0.018745426266499998
ACH-000228,-0.273474395222
ACH-000231,-0.26826368932100003
ACH-000232,-0.355267419455
ACH-000233,-0.279528359907
ACH-000234,-0.416892059256
ACH-000235,-0.340500509792
ACH-000237,-0.390445769531
ACH-000238,-0.164158220747
