,LTB4R2 (56413)
ACH-000004,-0.475190940015
ACH-000007,-0.459729439859
ACH-000009,-0.40363366152099994
ACH-000011,-0.5189235812349999
ACH-000012,-0.5328896878639999
ACH-000013,-0.475182002878
ACH-000014,-0.515866114991
ACH-000015,-0.40231388728100004
ACH-000017,-0.542183683147
ACH-000018,-0.368390757856
ACH-000019,-0.5192930449750001
ACH-000021,-0.377208293411
ACH-000022,-0.27882272670200003
ACH-000025,-0.39444903764399997
ACH-000028,-0.689130359806
ACH-000030,-0.580149140648
ACH-000035,-0.525241629328
ACH-000036,-0.318117752666
ACH-000037,-0.279900624273
ACH-000039,-0.9051214933249999
ACH-000040,-0.648239580936
ACH-000041,-0.467256716975
ACH-000042,-0.5418908836949999
ACH-000045,-0.164467100279
ACH-000047,-0.559932803117
ACH-000052,-0.226608484295
ACH-000053,-0.533663116019
ACH-000054,-0.578680960773
ACH-000055,-0.427714668737
ACH-000060,-0.580485864798
ACH-000067,-0.5626768796630001
ACH-000070,-0.592146942354
ACH-000075,-0.43049979044500003
ACH-000078,-0.419359821304
ACH-000082,-0.49541078906
ACH-000085,-0.404304014767
ACH-000086,-0.392466775366
ACH-000087,-0.31928214685899997
ACH-000092,-0.425313645854
ACH-000095,-0.632434468282
ACH-000097,-0.49707805995
ACH-000098,-0.527097758754
ACH-000099,-0.489090784037
ACH-000108,-0.287011693724
ACH-000113,-0.537923712443
ACH-000115,-0.644904752629
ACH-000116,-0.48363231277400004
ACH-000118,-0.527603924497
ACH-000120,-0.40233640885
ACH-000123,-0.655245656639
ACH-000127,-0.330918150408
ACH-000128,-0.518602466943
ACH-000132,-0.40191891960500004
ACH-000133,-0.607368841034
ACH-000137,-0.373243005686
ACH-000138,-0.584909528467
ACH-000142,-0.5019201392600001
ACH-000143,-0.18867607682
ACH-000146,-0.646105858081
ACH-000148,-0.450188626162
ACH-000150,-0.16131791413
ACH-000152,-0.35585741505400004
ACH-000153,-0.36779452678900004
ACH-000159,-0.6452229435369999
ACH-000160,-0.866411392692
ACH-000163,-0.696043396791
ACH-000167,-0.19449173163
ACH-000168,-0.457707022162
ACH-000169,-0.401777871772
ACH-000178,-0.37797427412100004
ACH-000182,-0.51305056047
ACH-000183,-0.473753278601
ACH-000188,-0.270099270169
ACH-000189,-0.681201945289
ACH-000190,-0.511549584765
ACH-000198,-0.42567855833000007
ACH-000204,-0.277564140814
ACH-000206,-0.286716790742
ACH-000207,-0.7827787152079999
ACH-000211,-0.5427404483899999
ACH-000215,-0.501972917587
ACH-000221,-0.499367921659
ACH-000222,-0.323682458957
ACH-000223,-0.32958082426
ACH-000226,-0.560732754894
ACH-000227,-0.07155197445839999
ACH-000228,-0.845736182368
ACH-000231,-0.490109597599
ACH-000232,-0.39582228024300004
ACH-000233,-0.235712346197
ACH-000234,-0.24414254621
ACH-000235,-0.375281563523
ACH-000237,-0.16694672897399998
ACH-000238,-0.560309611365
ACH-000243,-0.501420542667
ACH-000244,-0.310960536749
ACH-000246,-0.586456639609
ACH-000248,-0.7115323072390001
ACH-000250,-0.445950920734
ACH-000251,-0.6205392652139999
ACH-000253,-0.37140057831699996
ACH-000255,-0.441903278837
ACH-000256,-0.448872031809
ACH-000257,-0.557173090015
ACH-000258,-0.249903503247
ACH-000259,-0.345557037171
ACH-000260,-0.515344836475
ACH-000261,-0.37916448244999995
ACH-000262,-0.813204260351
ACH-000263,-0.389068694112
ACH-000264,-0.501194341704
ACH-000265,-0.447648118759
ACH-000266,-0.486214356935
ACH-000272,-0.34441134208400004
ACH-000273,-0.19102099781800003
ACH-000274,-0.44195581261100003
ACH-000277,-0.42092258324799997
ACH-000278,-0.5782339483300001
ACH-000279,-0.450803729185
ACH-000280,-0.717115005298
ACH-000281,-0.236251941583
ACH-000288,-0.42848512791
ACH-000291,-0.346915042017
ACH-000293,-0.575850443372
ACH-000294,-0.7403545251639999
ACH-000295,-0.204790234589
ACH-000296,-0.5782849931499999
ACH-000302,-0.404027609066
ACH-000304,-0.430478892295
ACH-000307,-0.478001880175
ACH-000308,-0.48661567001500006
ACH-000310,-0.554945957424
ACH-000311,-0.700611300783
ACH-000312,-0.574826073412
ACH-000315,-0.674279502757
ACH-000316,-0.424817205317
ACH-000317,-0.431494403102
ACH-000318,-0.564520173379
ACH-000319,-0.21762275753899998
ACH-000320,-0.23246014411
ACH-000322,-0.557527550619
ACH-000323,-0.430616726967
ACH-000324,-0.586724740737
ACH-000329,-0.360471154961
ACH-000330,-0.463097823465
ACH-000331,-0.375722120642
ACH-000332,-0.297281455888
ACH-000334,-0.6661398170049999
ACH-000335,-0.14738794859999998
ACH-000336,-0.177336041361
ACH-000337,-0.519279471882
ACH-000339,-0.466891990373
ACH-000341,-0.534261045816
ACH-000348,-0.49353753008999995
ACH-000350,-0.580185511609
ACH-000352,-0.512735889124
ACH-000356,-0.766968361167
ACH-000361,-0.574174334988
ACH-000362,-0.668750497003
ACH-000363,-0.181551252779
ACH-000364,-0.300484283568
ACH-000365,-0.37343462658699994
ACH-000366,-0.565474661021
ACH-000368,-0.59772325122
ACH-000374,-0.381865817653
ACH-000375,-0.45317462053
ACH-000376,-0.42558285843500004
ACH-000381,-0.587678411225
ACH-000383,-0.496781323736
ACH-000387,-0.451565798031
ACH-000389,-0.278561420815
ACH-000390,-0.43125256482100005
ACH-000393,-0.56907707025
ACH-000395,-0.548749516286
ACH-000397,-0.5310212275330001
ACH-000401,-0.30848645102600003
ACH-000402,-0.909268070504
ACH-000403,-0.530925624642
ACH-000404,-0.780333444534
ACH-000406,-0.433953847052
ACH-000407,-0.560089501385
ACH-000408,-0.301327029164
ACH-000410,-0.25569578560899997
ACH-000411,-0.36702991406900004
ACH-000414,-0.5296976771280001
ACH-000415,-0.661373490589
ACH-000416,-0.46411571443300004
ACH-000420,-0.5297304816439999
ACH-000421,-0.345930564812
ACH-000424,-0.330775509835
ACH-000425,-0.38238167771
ACH-000426,-0.48431054530400003
ACH-000427,-0.445514492945
ACH-000433,-0.814329982684
ACH-000436,-0.344756370925
ACH-000444,-0.471410662882
ACH-000445,-0.40506024737499996
ACH-000448,-0.44082589716700005
ACH-000450,-0.48646026371000006
ACH-000452,-0.38216242571500003
ACH-000454,-0.544011918193
ACH-000458,-0.448345396647
ACH-000459,-0.667658641229
ACH-000460,-0.436891217285
ACH-000461,-0.570749740035
ACH-000463,-0.5857895013319999
ACH-000464,-0.45996806838200005
ACH-000466,-0.564686115876
ACH-000467,-0.45813901333800006
ACH-000468,-0.475219455975
ACH-000469,-0.401740219754
ACH-000470,-0.52140531198
ACH-000471,-0.638612283856
ACH-000472,-0.438994591002
ACH-000473,-0.44543786005400005
ACH-000475,-0.6350821996720001
ACH-000476,-0.445162457615
ACH-000477,-0.696549742346
ACH-000480,-0.339282082856
ACH-000481,-0.8894138398389999
ACH-000483,-0.508389962798
ACH-000484,-0.469090953212
ACH-000485,-0.634885553555
ACH-000486,-0.7984594248029999
ACH-000487,-0.253340909598
ACH-000488,-0.399783674594
ACH-000490,-0.506498026313
ACH-000491,-0.404516221711
ACH-000495,-0.310785556013
ACH-000496,-0.481899275413
ACH-000499,-0.34134629710600006
ACH-000500,0.16779627531
ACH-000502,-0.5304628221850001
ACH-000503,-0.38748276688600003
ACH-000505,-0.431399804755
ACH-000507,-0.468079497776
ACH-000510,-0.45445522982299996
ACH-000511,-0.361834028995
ACH-000512,-0.609897724748
ACH-000516,-0.37702984231700004
ACH-000517,-0.360012729851
ACH-000518,-0.5674748059229999
ACH-000520,-0.495815775237
ACH-000521,-0.185986554394
ACH-000522,-0.498046880401
ACH-000524,-0.683147335783
ACH-000527,-0.31738259196999996
ACH-000528,-0.36436409639399997
ACH-000537,-0.6154074490829999
ACH-000541,-0.32679284052499996
ACH-000542,-0.261416496299
ACH-000544,-0.5607039130229999
ACH-000545,-0.6186918193559999
ACH-000547,-0.32209292266199996
ACH-000548,-0.348376063848
ACH-000549,-0.236461158047
ACH-000550,-0.376758131665
ACH-000552,-0.544526565646
ACH-000556,-0.417248635608
ACH-000557,-0.368184750111
ACH-000570,-0.452991882565
ACH-000571,-0.655895106843
ACH-000573,-0.45390598714599995
ACH-000576,-0.452646635156
ACH-000580,-0.556657369792
ACH-000584,-0.562761048121
ACH-000585,-0.305552364647
ACH-000588,-0.41236110474
ACH-000589,-0.329496022325
ACH-000591,-0.653312363957
ACH-000593,-0.213957193728
ACH-000600,-0.46996518336099996
ACH-000601,-0.420408905467
ACH-000604,-0.508934684677
ACH-000605,-0.27248425043499996
ACH-000606,-0.45897614503600004
ACH-000608,-0.527143046097
ACH-000614,-0.438439203462
ACH-000616,-0.523298770335
ACH-000618,-0.291297769524
ACH-000619,-0.46711639551000006
ACH-000620,-0.524596419781
ACH-000621,-0.33902643708999997
ACH-000622,-0.508648776668
ACH-000623,-0.6253562776380001
ACH-000624,-0.659283904424
ACH-000627,-0.45002047185500005
ACH-000630,-0.412804144801
ACH-000632,-0.563968722847
ACH-000633,-0.390984595546
ACH-000637,-0.288406432002
ACH-000638,-0.53482233143
ACH-000646,-0.148579745313
ACH-000647,-0.42372073598300003
ACH-000648,-0.374711748563
ACH-000649,-0.428613898108
ACH-000651,-0.339141464581
ACH-000652,-0.251311456769
ACH-000653,-0.38448846076399995
ACH-000657,-0.48347306751999997
ACH-000658,-0.153308344794
ACH-000661,-0.5379199022300001
ACH-000662,-0.6821592825139999
ACH-000663,-0.543959754314
ACH-000665,-0.44841021747599996
ACH-000671,-0.277103315828
ACH-000673,-0.261274605792
