,CNP (1267)
ACH-000004,-0.47262615254900003
ACH-000007,-0.0798994292031
ACH-000009,-0.414442840538
ACH-000011,-0.217084565367
ACH-000012,-0.520767480458
ACH-000013,-0.43864777008199995
ACH-000014,-0.480716493059
ACH-000015,-0.38053312398
ACH-000017,-0.477575961434
ACH-000018,-0.283177631109
ACH-000019,-0.138149468093
ACH-000021,-0.342159485977
ACH-000022,-0.434620094165
ACH-000025,-0.159934289376
ACH-000028,-0.421988347571
ACH-000030,-0.39041169654200003
ACH-000035,-0.44463291068099997
ACH-000036,-0.291927294131
ACH-000037,-0.382750043222
ACH-000039,-0.164749476101
ACH-000040,-0.472689141814
ACH-000041,-0.370379411273
ACH-000042,-0.214910425234
ACH-000045,-0.138049811802
ACH-000047,-0.459587498307
ACH-000052,-0.23066467702399998
ACH-000053,-0.293957365375
ACH-000054,-0.18687935077999998
ACH-000055,-0.376772700854
ACH-000060,-0.42630928619900005
ACH-000067,-0.278906680847
ACH-000070,-0.466480001677
ACH-000075,-0.325174497966
ACH-000078,-0.39954635380099995
ACH-000082,-0.265566742856
ACH-000085,-0.395235100593
ACH-000086,-0.43151738063
ACH-000087,-0.546473209158
ACH-000092,-0.376880570471
ACH-000095,-0.470105052439
ACH-000097,-0.370926100121
ACH-000098,-0.506406571738
ACH-000099,-0.289913441868
ACH-000108,-0.34007949136699994
ACH-000113,-0.268812485276
ACH-000115,-0.228191228886
ACH-000116,-0.26530752597
ACH-000118,-0.328260831129
ACH-000120,-0.46263697721999997
ACH-000123,-0.2152799707
ACH-000127,-0.43075277117399996
ACH-000128,-0.418234863241
ACH-000132,-0.305335747579
ACH-000133,-0.268943198222
ACH-000137,-0.218910371301
ACH-000138,-0.46989941311800004
ACH-000142,-0.48527068109099997
ACH-000143,-0.267894762447
ACH-000146,-0.276939917239
ACH-000148,-0.41617067824299997
ACH-000150,-0.17774635689800003
ACH-000152,-0.36108862803
ACH-000153,-0.274147915527
ACH-000159,-0.40100207152199996
ACH-000160,-0.449747289917
ACH-000163,-0.25500609241300004
ACH-000167,-0.348116275947
ACH-000168,-0.26208891513
ACH-000169,-0.207735194174
ACH-000178,-0.268637134887
ACH-000182,-0.407834136556
ACH-000183,-0.36802021380500005
ACH-000188,-0.557239504176
ACH-000189,-0.19663935558600001
ACH-000190,-0.46875595726999997
ACH-000198,-0.486755045515
ACH-000204,-0.416474387238
ACH-000206,-0.273476047215
ACH-000207,-0.23803323228300002
ACH-000211,-0.42782955500200004
ACH-000215,-0.301174595375
ACH-000221,-0.534669885732
ACH-000222,-0.343490674317
ACH-000223,-0.217657458006
ACH-000226,-0.0571645810716
ACH-000227,-0.597792321319
ACH-000228,-0.49882277226300004
ACH-000231,-0.393893596753
ACH-000232,-0.258175333982
ACH-000233,-0.112775950242
ACH-000234,-0.34527420360100003
ACH-000235,-0.445499667891
ACH-000237,-0.432511234132
ACH-000238,-0.496586498101
ACH-000243,-0.405782630564
ACH-000244,-0.34462128523
ACH-000246,-0.17061993394699998
ACH-000248,-0.590367159178
ACH-000250,-0.426664022965
ACH-000251,-0.09866516987610001
ACH-000253,-0.306141014018
ACH-000255,-0.43763953893299995
ACH-000256,-0.425706364002
ACH-000257,-0.20641355726799998
ACH-000258,-0.27427696323899997
ACH-000259,-0.27772695915
ACH-000260,-0.34362854795599995
ACH-000261,-0.389134347127
ACH-000262,-0.567342624583
ACH-000263,-0.383043652346
ACH-000264,-0.42006525440399994
ACH-000265,-0.449600712364
ACH-000266,-0.316389518314
ACH-000272,-0.341522748716
ACH-000273,-0.390656169753
ACH-000274,-0.291515001155
ACH-000277,0.0669568957362
ACH-000278,-0.46262795163500003
ACH-000279,-0.397480862974
ACH-000280,-0.379342132315
ACH-000281,-0.429132906933
ACH-000288,-0.44643246493600003
ACH-000291,-0.221131823102
ACH-000293,-0.577818848494
ACH-000294,-0.48354947943800003
ACH-000295,-0.35884373583800006
ACH-000296,-0.357028383557
ACH-000302,-0.570765850012
ACH-000304,-0.478385921124
ACH-000307,-0.383299359494
ACH-000308,-0.424814401596
ACH-000310,-0.17625083283100001
ACH-000311,-0.34612757902099994
ACH-000312,-0.43339325044
ACH-000315,-0.385276014313
ACH-000316,-0.300925602806
ACH-000317,-0.565874265366
ACH-000318,-0.377320032134
ACH-000319,-0.345696251888
ACH-000320,-0.447697976902
ACH-000322,-0.40287882321900004
ACH-000323,-0.33710036213100003
ACH-000324,-0.457461153896
ACH-000329,-0.333763710564
ACH-000330,-0.5413888165199999
ACH-000331,-0.349890624658
ACH-000332,-0.343624185784
ACH-000334,-0.48111934975500004
ACH-000335,-0.29870078777
ACH-000336,-0.0706167314915
ACH-000337,-0.450212962025
ACH-000339,-0.422516028993
ACH-000341,-0.036471145289300004
ACH-000348,-0.27199021221
