,AVPR1A (552)
ACH-000004,0.13160276389699999
ACH-000007,-0.156335505802
ACH-000009,-0.124302590683
ACH-000011,-0.188055147325
ACH-000012,-0.7180159823860001
ACH-000013,-0.009334792984440001
ACH-000014,-0.22272425995099998
ACH-000015,-0.343541631937
ACH-000017,-0.00459423610308
ACH-000018,-0.0600575595789
ACH-000019,-0.34587248645
ACH-000021,-0.100592338604
ACH-000022,-0.161016512348
ACH-000025,-0.394252656846
ACH-000028,-0.371817328614
ACH-000030,-0.139903263336
ACH-000035,-0.197245597008
ACH-000036,-0.0346631748476
ACH-000037,-0.168816818721
ACH-000039,-0.162174325704
ACH-000040,-0.137725459584
ACH-000041,-0.354622392307
ACH-000042,-0.178065125757
ACH-000045,0.0816956721601
ACH-000047,-0.22591521365800002
ACH-000052,-0.279360666386
ACH-000053,-0.163692180265
ACH-000054,-0.20923242852600002
ACH-000055,-0.332530294397
ACH-000060,-0.0845147623175
ACH-000067,-0.284916628001
ACH-000070,0.143064897401
ACH-000075,-0.0130392648235
ACH-000078,0.015049066684900001
ACH-000082,-0.20714183443599998
ACH-000085,-0.280051829812
ACH-000086,-0.285678931803
ACH-000087,-0.325247099275
ACH-000092,-0.139236973102
ACH-000095,-0.118839102685
ACH-000097,-0.300232958491
ACH-000098,-0.199440715024
ACH-000099,-0.0614211774438
ACH-000108,0.0086109483302
ACH-000113,0.15690203207599998
ACH-000115,0.0435165850461
ACH-000116,-0.248337579774
ACH-000118,-0.16922070813999998
ACH-000120,-0.137262370469
ACH-000123,-0.10906093331599999
ACH-000127,0.037382529544300006
ACH-000128,-0.257565469767
ACH-000132,0.0237571141973
ACH-000133,-0.322467540523
ACH-000137,-0.047283970109099994
ACH-000138,-0.0440685965374
ACH-000142,-0.312890895146
ACH-000143,-0.0348091856734
ACH-000146,-0.0664355511876
ACH-000148,-0.204269790892
ACH-000150,-0.34761014330799994
ACH-000152,-0.34464682890299997
ACH-000153,0.0390404781614
ACH-000159,-0.0895707262019
ACH-000160,-0.320220735832
ACH-000163,-0.141477243733
ACH-000167,-0.13698672853399999
ACH-000168,0.10433360321900001
ACH-000169,-0.179239800525
ACH-000178,-0.106056286853
ACH-000182,-0.299273665177
ACH-000183,-0.145772848457
ACH-000188,-0.111398720749
ACH-000189,-0.051338613411300006
ACH-000190,-0.27836283547400004
ACH-000198,-0.06396373275
ACH-000204,-0.169801319559
ACH-000206,-0.162766032317
ACH-000207,0.116899327426
ACH-000211,-0.106871149331
ACH-000215,-0.144930337394
ACH-000221,-0.202000115279
ACH-000222,0.11466174309699999
ACH-000223,-0.255799474866
ACH-000226,-0.313344786667
ACH-000227,-0.270655495544
ACH-000228,-0.1731269104
ACH-000231,-0.242594418466
ACH-000232,-0.181257366021
ACH-000233,-0.298341721419
ACH-000234,-0.13435962607899998
ACH-000235,-0.22897124238400002
ACH-000237,-0.179103907145
ACH-000238,-0.30013561583299997
ACH-000243,-0.13145549551
ACH-000244,-0.421791252496
ACH-000246,-0.172222522215
ACH-000248,-0.402121126632
ACH-000250,-0.13415863565400002
ACH-000251,-0.33056066924800004
ACH-000253,-0.0985786796998
ACH-000255,-0.101037572167
ACH-000256,-0.051457061876099996
ACH-000257,-0.20019818572
ACH-000258,-0.140542959341
ACH-000259,-0.0806983740152
