,CSNK1E (1454)
ACH-000004,-0.057841295045400004
ACH-000007,-0.00512416965701
ACH-000009,-0.00983749140417
ACH-000011,-0.06761554888719999
ACH-000012,-0.07389856240039999
ACH-000013,-0.147772969324
ACH-000014,-0.277378816853
ACH-000015,-0.09655483477499999
ACH-000017,-0.0570878482154
ACH-000018,-0.0501534744199
ACH-000019,-0.319179336029
ACH-000021,0.028635780460200003
ACH-000022,-0.170977770882
ACH-000025,0.0924210420061
ACH-000028,-0.08631225458599999
ACH-000030,-0.19230681841299999
ACH-000035,-0.04976899950619999
ACH-000036,-0.022223830422900003
ACH-000037,0.132887978879
ACH-000039,-0.158688881952
ACH-000040,0.108377595285
ACH-000041,-0.110669963698
ACH-000042,-0.147574327576
ACH-000045,-0.009802691686809998
ACH-000047,-0.0933408276853
ACH-000052,0.21371700005199998
ACH-000053,-0.0136601689444
ACH-000054,0.0853385793998
ACH-000055,-0.26640074927499996
ACH-000060,-0.023504158044699998
ACH-000067,-0.07078698003
ACH-000070,0.0676476455441
ACH-000075,-0.20490277330099999
ACH-000078,0.018148758491599998
ACH-000082,0.0417654324177
ACH-000085,-0.27670759099500003
ACH-000086,-0.08682502709930001
ACH-000087,-0.139683350564
ACH-000092,-0.08088766815510001
ACH-000095,0.0915493908791
ACH-000097,-0.0183507707033
ACH-000098,0.027474136033099998
ACH-000099,0.0606698444341
ACH-000108,-0.08607608350780001
ACH-000113,0.0436299708847
ACH-000115,-0.272869805356
ACH-000116,0.0038655853991999994
ACH-000118,-0.07267415636300001
ACH-000120,-0.167103475526
ACH-000123,-0.11026197595699999
ACH-000127,0.11767214724300001
ACH-000128,0.063791461976
ACH-000132,-0.104677225962
ACH-000133,-0.06373234684489999
ACH-000137,-0.0531426234346
ACH-000138,0.253620548841
ACH-000142,0.024322704846200003
ACH-000143,0.11185735390399999
ACH-000146,0.00764517159534
ACH-000148,0.09097866481769999
ACH-000150,0.176497276338
ACH-000152,0.0047773933653199995
ACH-000153,0.308493085439
ACH-000159,0.0975197675192
ACH-000160,-0.08981439492010002
ACH-000163,-0.0682064886449
ACH-000167,0.18927325860599997
ACH-000168,-0.127784009511
ACH-000169,-0.041514846152599996
ACH-000178,0.045257846837
