,LEP (3952)
ACH-000004,-0.17075536327799998
ACH-000007,0.152247946423
ACH-000009,-0.138340071265
ACH-000011,0.04460579334430001
ACH-000012,-0.326113847517
ACH-000013,-0.036044713720999995
ACH-000014,-0.224213787534
ACH-000015,-0.0448987240775
ACH-000017,-0.17206161188299998
ACH-000018,-0.0037939453781199997
ACH-000019,-0.452658251781
ACH-000021,-0.406901245897
ACH-000022,-0.0647119042146
ACH-000025,-0.17233880603799998
ACH-000028,-0.19248147677299998
ACH-000030,-0.0300938706834
ACH-000035,0.041631895652600004
ACH-000036,-0.177099597768
ACH-000037,-0.221743121243
ACH-000039,0.0285841839363
ACH-000040,-0.100556472734
ACH-000041,0.114207995659
ACH-000042,-0.24702766138
ACH-000045,-0.0577898585986
ACH-000047,-0.11727109422800001
ACH-000052,-0.19353859120499997
ACH-000053,-0.165310064423
ACH-000054,-0.180518137461
ACH-000055,-0.334863155892
ACH-000060,-0.299264616596
ACH-000067,-0.0222791804603
ACH-000070,-0.10348677738399999
ACH-000075,-0.139559838036
ACH-000078,-0.261310345857
ACH-000082,-0.124575266874
ACH-000085,-0.125362542784
ACH-000086,0.0924890520562
ACH-000087,0.00853017874221
ACH-000092,-0.11765763988500001
ACH-000095,-0.0112281119186
ACH-000097,-0.152892494522
ACH-000098,0.0312594468079
ACH-000099,-0.201675922339
ACH-000108,-0.235144074477
ACH-000113,-0.0298209991165
ACH-000115,0.00952877032657
ACH-000116,-0.130932368977
ACH-000118,-0.225042699086
ACH-000120,-0.08287626549660002
ACH-000123,-0.0712208393879
ACH-000127,-0.175933857467
ACH-000128,-0.45905221496200005
ACH-000132,-0.0893498392408
ACH-000133,-0.177505176128
ACH-000137,-0.33730076056100006
ACH-000138,-0.12368049553200001
ACH-000142,-0.14457697810599998
ACH-000143,0.0808959449025
ACH-000146,-0.136464238973
ACH-000148,-0.07809172563780001
ACH-000150,-0.23128420078899997
ACH-000152,-0.0786381864525
ACH-000153,-0.040906307068400004
ACH-000159,-0.0791009268105
ACH-000160,0.10175066191700001
ACH-000163,-0.12739083167
ACH-000167,0.266842936275
ACH-000168,-0.194552812851
ACH-000169,0.00985208307155
