,GOLGA8K (653125)
ACH-000004,-1.04521039809
ACH-000007,-0.5756897343949999
ACH-000009,-0.8538288181649999
ACH-000011,-0.79841892842
ACH-000012,-0.8846938403919999
ACH-000013,-0.649670969089
ACH-000014,-0.619799408054
ACH-000015,-0.843646022528
ACH-000017,-0.6222288090429999
ACH-000018,-0.9036223290459999
ACH-000019,-0.7782082732790001
ACH-000021,-0.8859860120659999
ACH-000022,-0.648391021358
ACH-000025,-0.6915384308820001
ACH-000028,-0.690302565031
ACH-000030,-0.626502950434
ACH-000035,-0.6840782428450001
ACH-000036,-0.7139089776180001
ACH-000037,-0.613887568187
ACH-000039,-0.661435940659
ACH-000040,-0.715579702483
ACH-000041,-0.7280801426289999
ACH-000042,-0.747518659498
ACH-000045,-0.74270491293
ACH-000047,-0.759978600141
ACH-000052,-0.8055493058859999
ACH-000053,-0.7962912622600001
ACH-000054,-0.5856063869520001
ACH-000055,-0.5348486884520001
ACH-000060,-1.01291871816
ACH-000067,-0.7903447155769999
ACH-000070,-0.959838108312
ACH-000075,-0.9357165646510001
ACH-000078,-0.691482963216
ACH-000082,-0.5915076543710001
ACH-000085,-0.761571626623
ACH-000086,-0.809927720589
ACH-000087,-0.678395286509
ACH-000092,-0.692760128736
ACH-000095,-0.662576495508
ACH-000097,-0.666324825765
ACH-000098,-0.743985080643
ACH-000099,-0.730127167728
ACH-000108,-0.858107262622
ACH-000113,-0.7777549683399999
ACH-000115,-0.7411347970300001
ACH-000116,-0.7852574498
ACH-000118,-0.570432141876
ACH-000120,-0.6378864735499999
ACH-000123,-0.772269497036
ACH-000127,-0.742457779464
ACH-000128,-0.845831954587
ACH-000132,-0.6331281347209999
ACH-000133,-0.726104329321
ACH-000137,-0.8047282577320001
ACH-000138,-0.854522200423
ACH-000142,-0.611315821678
ACH-000143,-0.6937170579530001
ACH-000146,-0.763138823295
ACH-000148,-0.771283416999
ACH-000150,-0.609161511005
ACH-000152,-0.753248874487
ACH-000153,-0.990748086265
ACH-000159,-0.581562957373
ACH-000160,-0.800940791638
ACH-000163,-0.660484278301
ACH-000167,-0.832249562307
ACH-000168,-0.792309194031
ACH-000169,-0.825000573383
ACH-000178,-0.63288607651
ACH-000182,-0.675365833504
ACH-000183,-0.666636047798
ACH-000188,-0.7262149325120001
ACH-000189,-0.8478421337019999
ACH-000190,-0.8489202083699999
ACH-000198,-0.854358550384
ACH-000204,-0.565467941968
ACH-000206,-0.7210822141650001
ACH-000207,-0.941533773266
ACH-000211,-0.603122382584
ACH-000215,-0.7320391713779999
ACH-000221,-0.685140785687
ACH-000222,-0.780872862542
ACH-000223,-0.635274245002
ACH-000226,-0.65439148778
ACH-000227,-0.6113834153190001
ACH-000228,-0.8570298560230001
ACH-000231,-0.675516799876
ACH-000232,-0.766601124226
ACH-000233,-0.8863152973459999
ACH-000234,-0.646188334226
ACH-000235,-0.7744941800290001
ACH-000237,-0.742688637244
ACH-000238,-0.578847995033
ACH-000243,-0.9064066854889999
ACH-000244,-0.701387755523
ACH-000246,-0.602909725529
ACH-000248,-0.917293377106
ACH-000250,-0.762091472951
ACH-000251,-0.7934317985029999
ACH-000253,-0.8851862476629999
ACH-000255,-0.52182259194
ACH-000256,-0.6498802866269999
ACH-000257,-0.711785470432
ACH-000258,-1.2137466792899998
ACH-000259,-0.600896128844
ACH-000260,-0.811146205113
ACH-000261,-0.9033477045110001
ACH-000262,-0.75652868963
ACH-000263,-0.84619635477
ACH-000264,-0.533117792954
ACH-000265,-0.684370262985
ACH-000266,-0.755857570131
ACH-000272,-0.7990289770190001
ACH-000273,-0.818270455417
ACH-000274,-0.786446638359
ACH-000277,-0.256352095868
ACH-000278,-0.689842910406
ACH-000279,-0.692761431936
ACH-000280,-0.731968692031
ACH-000281,-0.774663640772
ACH-000288,-0.878914393043
