,TIMM23 (100287932)
ACH-000004,-0.526529617428
ACH-000007,-0.729443152837
ACH-000009,-0.20010585144
ACH-000011,-0.8837345710760001
ACH-000012,-0.700802656426
ACH-000013,-0.6077190985800001
ACH-000014,-0.7179593029520001
ACH-000015,-0.706629211567
ACH-000017,-0.639116643765
ACH-000018,-0.6816392744859999
ACH-000019,-0.831392015731
ACH-000021,-0.673561874929
ACH-000022,-0.654265445645
ACH-000025,-0.954998271413
ACH-000028,-0.706886574745
ACH-000030,-0.44128816827699996
ACH-000035,-0.536374956188
ACH-000036,-0.578648772416
ACH-000037,-1.00052693946
ACH-000039,-0.9140025878200001
ACH-000040,-0.7025100296179999
ACH-000041,-0.562485311025
ACH-000042,-0.817659738295
ACH-000045,-0.5176178068680001
ACH-000047,-0.800470750256
ACH-000052,-0.38733868056299997
ACH-000053,-0.6127664239580001
ACH-000054,-0.583089207958
ACH-000055,-0.80672523611
ACH-000060,-0.930275975643
ACH-000067,-0.940464283326
ACH-000070,-0.7401796963799999
ACH-000075,-0.48690487751999995
ACH-000078,-0.41558188639700006
ACH-000082,-0.934256459321
ACH-000085,-0.55440633571
ACH-000086,-0.67771733456
ACH-000087,-0.9781752980060001
ACH-000092,-0.631996410014
ACH-000095,-0.637326816229
ACH-000097,-0.72773868714
ACH-000098,-0.7511622631039999
ACH-000099,-0.56331726936
ACH-000108,-0.567953575889
ACH-000113,-0.8664098225769999
ACH-000115,-0.9051375935299999
ACH-000116,-0.7749854474979999
ACH-000118,-1.01224499524
ACH-000120,-0.638979428665
ACH-000123,-0.7019308624259999
ACH-000127,-0.8554492535189999
ACH-000128,-1.07791616917
ACH-000132,-1.01245560691
ACH-000133,-0.8789786513050001
ACH-000137,-0.477782951887
ACH-000138,-0.593798537114
ACH-000142,-0.918087434173
ACH-000143,-0.839898219749
ACH-000146,-0.754889780766
ACH-000148,-0.7927324930419999
ACH-000150,-0.522294990549
ACH-000152,-1.02197010972
ACH-000153,-0.38018920277199997
ACH-000159,-0.446454750973
ACH-000160,-1.02574435843
ACH-000163,-0.819282007715
ACH-000167,-1.14655226033
ACH-000168,-0.7784512320810001
ACH-000169,-0.499990051824
ACH-000178,-0.633265270774
ACH-000182,-0.633236348441
ACH-000183,-0.685627196884
ACH-000188,-0.548126967891
ACH-000189,-0.549755518565
ACH-000190,-0.8947992672949999
ACH-000198,-0.533015289011
ACH-000204,-0.8639015894930001
ACH-000206,-0.754880097317
ACH-000207,-0.688223948817
ACH-000211,-0.711820639537
ACH-000215,-0.579010504239
ACH-000221,-0.7082073958849999
ACH-000222,-0.62007055665
ACH-000223,-0.738258323686
ACH-000226,-0.6952023650660001
ACH-000227,-0.5483914731239999
ACH-000228,-1.04449413673
ACH-000231,-0.5280266705359999
ACH-000232,-0.517218495435
ACH-000233,-0.550603395796
ACH-000234,-0.469280749748
ACH-000235,-0.555651180893
ACH-000237,-0.23409191148400002
ACH-000238,-0.319794416488
ACH-000243,-0.547196095881
ACH-000244,-1.1329620988200002
ACH-000246,-0.583760892612
ACH-000248,-0.891159100598
ACH-000250,-0.512217522852
ACH-000251,-1.1927209296899999
ACH-000253,-0.9306333643260001
ACH-000255,-0.884691464832
ACH-000256,-0.539796851069
ACH-000257,-1.35563939471
ACH-000258,-0.480543639744
ACH-000259,-0.752822747237
ACH-000260,-0.720165208153
ACH-000261,-0.749884609827
ACH-000262,-0.874755808681
ACH-000263,-0.631353959849
ACH-000264,-0.5363990070310001
ACH-000265,-0.65294434057
ACH-000266,-0.7568262440960001
ACH-000272,-0.391761067564
ACH-000273,-0.415063824603
ACH-000274,-0.6766038203200001
ACH-000277,-0.7026533673209999
ACH-000278,-0.491929942307
ACH-000279,-0.7810765707790001
ACH-000280,-0.610808940929
ACH-000281,-0.56985621798
ACH-000288,-0.633143429015
ACH-000291,-0.591762947831
ACH-000293,-0.963894172156
ACH-000294,-0.8079059470450001
ACH-000295,-0.735806028733
ACH-000296,-0.667741279499
ACH-000302,-0.9266728293080001
ACH-000304,-1.12181375012
ACH-000307,-0.47205827713200005
ACH-000308,-0.769282204368
ACH-000310,-0.708302924657
ACH-000311,-0.501275916572
ACH-000312,-0.6966428602760001
ACH-000315,-0.676744018428
ACH-000316,-0.754453652019
ACH-000317,-0.386506889354
ACH-000318,-0.648071033527
ACH-000319,-0.773608592465
ACH-000320,-0.882920543511
ACH-000322,-0.804374887762
ACH-000323,-0.7705350479590001
ACH-000324,-0.690236738616
ACH-000329,-0.7510290891
ACH-000330,-0.6406138621949999
ACH-000331,-1.00899900787
ACH-000332,-0.48020478144199996
ACH-000334,-0.487049305942
ACH-000335,-0.9418757872329999
ACH-000336,-0.7534005477169999
