,ADK (132)
ACH-000004,-0.162368947658
ACH-000007,-0.25408279768500003
ACH-000009,-0.126764661469
ACH-000011,0.0875606438194
ACH-000012,-0.251294783046
ACH-000013,0.0169689868778
ACH-000014,-0.0725017731889
ACH-000015,-0.0362223696714
ACH-000017,-0.0652293327785
ACH-000018,0.0664406976724
ACH-000019,-0.11326935252
ACH-000021,-0.06967237158360001
ACH-000022,-0.0631235696007
ACH-000025,-0.104000368924
ACH-000028,-0.18452460788
ACH-000030,-0.329855236947
ACH-000035,-0.129509764676
ACH-000036,0.0452162086888
ACH-000037,0.0185607068433
ACH-000039,-0.42136091200900005
ACH-000040,-0.08879762474189999
ACH-000041,-0.0185281948792
ACH-000042,-0.172624033205
ACH-000045,0.237559713246
ACH-000047,-0.040134156172
ACH-000052,-0.182867393976
ACH-000053,-0.185314322839
ACH-000054,-0.12296009174
ACH-000055,-0.319356275699
ACH-000060,0.040820259432900005
ACH-000067,-0.138304764646
ACH-000070,-0.24229106812800003
ACH-000075,-0.0563747925765
ACH-000078,-0.22760296632
ACH-000082,-0.108040805951
ACH-000085,0.19248567747499998
ACH-000086,-0.156895775136
ACH-000087,-0.337918778791
ACH-000092,-0.0404917814851
ACH-000095,-0.0648878979473
ACH-000097,-0.040283323383900005
ACH-000098,-0.043248461524099995
ACH-000099,-0.197111149106
ACH-000108,-0.159446702902
ACH-000113,-0.401689469933
ACH-000115,-0.07393311990830001
ACH-000116,0.040431208152099996
ACH-000118,-0.317464947034
ACH-000120,-0.119065295811
ACH-000123,-0.164727751397
ACH-000127,-0.07721030158339999
ACH-000128,-0.12772748304099998
ACH-000132,-0.126619030184
ACH-000133,-0.0704231738627
ACH-000137,-0.131888139879
ACH-000138,-0.0681419327099
ACH-000142,0.10388467854399999
ACH-000143,0.00499611240462
ACH-000146,-0.0376609894971
ACH-000148,-0.22584521365600002
ACH-000150,0.11324648198899999
ACH-000152,-0.202162864784
ACH-000153,-0.0667634731997
ACH-000159,-0.20569718918299998
ACH-000160,-0.253779497491
ACH-000163,-0.224747051325
ACH-000167,-0.09888762493789999
ACH-000168,-0.147206617076
ACH-000169,-0.17516182818599998
ACH-000178,0.014884710144799999
ACH-000182,-0.14366254292300001
ACH-000183,-0.092202037015
ACH-000188,-0.067689900301
ACH-000189,-0.433468837349
ACH-000190,-0.0240053167803
ACH-000198,-0.0829351828901
ACH-000204,-0.28058466171700003
ACH-000206,-0.127673327422
ACH-000207,-0.286035669087
ACH-000211,-0.08931600377219999
ACH-000215,0.0289742784121
ACH-000221,-0.0813278061388
ACH-000222,-0.0006870214666430001
ACH-000223,-0.288389368389
ACH-000226,-0.165748976326
ACH-000227,-0.20586455491
ACH-000228,-0.16909838178199998
ACH-000231,-0.193524959762
ACH-000232,-0.118476209441
ACH-000233,-0.0979012348869
ACH-000234,-0.18223596031300002
ACH-000235,-0.132119509081
ACH-000237,-0.14824531893100001
ACH-000238,-0.00583603794396
ACH-000243,-0.229915587678
ACH-000244,-0.25524301492
ACH-000246,-0.352296737039
ACH-000248,-0.0998782075814
ACH-000250,-0.112424483246
ACH-000251,0.057874767444599996
ACH-000253,-0.116509421911
ACH-000255,-0.177217952268
ACH-000256,-0.33234657438799997
ACH-000257,0.0402552792841
ACH-000258,-0.231151341441
ACH-000259,-0.0750222940854
ACH-000260,-0.10914492605699999
ACH-000261,-0.17122198134
ACH-000262,-0.13715593927
ACH-000263,-0.386631545357
ACH-000264,-0.155165404362
ACH-000265,-0.0559248130941
ACH-000266,-0.115126457062
ACH-000272,-0.141564788262
ACH-000273,-0.012691376423500001
ACH-000274,-0.117114395831
ACH-000277,0.00908745559602
ACH-000278,-0.0213423846826
ACH-000279,-0.0296988137836
ACH-000280,0.0014834004083699999
ACH-000281,-0.019304213473
ACH-000288,-0.132388097378
ACH-000291,-0.0683709915967
ACH-000293,-0.20607552249699998
ACH-000294,-0.10328342247099999
ACH-000295,-0.059630999727800005
ACH-000296,-0.226387606593
ACH-000302,-0.17579629913800002
ACH-000304,-0.153140860711
ACH-000307,-0.0325446474128
ACH-000308,-0.203932517703
ACH-000310,-0.272792372742
