,EIF3M (10480)
ACH-000004,-0.996982549889
ACH-000007,-1.5229572670700002
ACH-000009,-1.40607930535
ACH-000011,-1.5585131451899998
ACH-000012,-1.2114084392
ACH-000013,-0.9900470573190001
ACH-000014,-1.24093925006
ACH-000015,-1.3005005249
ACH-000017,-1.08221324843
ACH-000018,-0.9989848621690001
ACH-000019,-1.13015404259
ACH-000021,-1.0197542495799998
ACH-000022,-1.02126569877
ACH-000025,-1.25446320842
ACH-000028,-1.1336913861
ACH-000030,-0.9836040792749999
ACH-000035,-1.18324465587
ACH-000036,-1.25923402747
ACH-000037,-0.630695369256
ACH-000039,-1.07036882259
ACH-000040,-1.3037535917799998
ACH-000041,-1.3910895864200001
ACH-000042,-0.903930483523
ACH-000045,-1.05978594738
ACH-000047,-0.8805475931669999
ACH-000052,-0.900268482354
ACH-000053,-1.2511192816299999
ACH-000054,-1.0334123727700002
ACH-000055,-1.23056080625
ACH-000060,-0.995807971275
ACH-000067,-1.38734424912
ACH-000070,-1.13420662359
ACH-000075,-0.929228251918
ACH-000078,-1.23906526543
ACH-000082,-1.05527859507
ACH-000085,-0.878158810134
ACH-000086,-0.972469902376
ACH-000087,-1.37347078183
ACH-000092,-1.14164498214
ACH-000095,-1.2052663697700001
ACH-000097,-1.3932523482199999
ACH-000098,-1.2248418799
ACH-000099,-1.57890926868
ACH-000108,-0.693511038317
ACH-000113,-1.1476685828
ACH-000115,-1.77820006564
ACH-000116,-1.27860807509
ACH-000118,-1.25649634031
ACH-000120,-1.5150106591999999
ACH-000123,-1.37313539459
ACH-000127,-0.929990718531
ACH-000128,-1.43625449933
ACH-000132,-1.13221201253
ACH-000133,-0.742331633414
ACH-000137,-1.0410211163299998
ACH-000138,-1.51052410081
ACH-000142,-1.28309335567
ACH-000143,-1.07652920422
ACH-000146,-1.16334237483
ACH-000148,-1.28907246088
ACH-000150,-0.7937213816230001
ACH-000152,-0.942116056373
ACH-000153,-1.1408888417
ACH-000159,-1.46206843115
ACH-000160,-0.916093131376
ACH-000163,-1.4973858846399999
ACH-000167,-1.23400449168
ACH-000168,-0.848260476569
ACH-000169,-1.20833181532
ACH-000178,-1.0674897971500001
ACH-000182,-1.16352628997
ACH-000183,-1.19602411814
ACH-000188,-0.470972434166
ACH-000189,-0.9186338336100001
ACH-000190,-1.13928940189
ACH-000198,-0.950484962914
ACH-000204,-1.1547469464700002
ACH-000206,-1.06408378103
ACH-000207,-0.8980142325049999
ACH-000211,-1.0654667446600001
ACH-000215,-1.33166109891
ACH-000221,-1.08997199624
ACH-000222,-1.2641250156100001
ACH-000223,-1.03541173001
ACH-000226,-1.09169025777
ACH-000227,-1.4952666799
ACH-000228,-0.546364953678
ACH-000231,-0.9523029134890001
ACH-000232,-1.3341101483600002
ACH-000233,-1.3813141532299997
ACH-000234,-1.7417077652400001
ACH-000235,-1.0592313974299998
ACH-000237,-1.45611248777
ACH-000238,-0.506379539708
ACH-000243,-0.889018259733
ACH-000244,-1.27919891988
ACH-000246,-1.3839399492200002
ACH-000248,-1.0768036958299998
ACH-000250,-1.0835799058600002
ACH-000251,-0.966528850342
ACH-000253,-1.06994565238
ACH-000255,-1.07111015706
ACH-000256,-1.27537091129
ACH-000257,-0.789502454557
ACH-000258,-1.54502716786
ACH-000259,-1.09644556022
ACH-000260,-1.0537562142299999
ACH-000261,-1.28216540994
ACH-000262,-1.01626559947
ACH-000263,-1.09565118356
ACH-000264,-1.06259776685
ACH-000265,-1.1666677339899998
ACH-000266,-0.944411869342
ACH-000272,-1.08629316125
ACH-000273,-1.46312214371
ACH-000274,-1.4484683944799999
ACH-000277,-1.3420972758
ACH-000278,-0.8486620764659999
ACH-000279,-1.43408922592
ACH-000280,-0.7608769073170001
ACH-000281,-1.4451722304899999
ACH-000288,-1.13347778719
ACH-000291,-1.1182597175700002
ACH-000293,-1.2372993648000001
ACH-000294,-1.07100600726
ACH-000295,-1.04139976677
ACH-000296,-0.879894839506
ACH-000302,-1.0057064572499999
ACH-000304,-0.8449712402330001
ACH-000307,-1.03644010999
ACH-000308,-1.31952096229
ACH-000310,-1.31893377131
ACH-000311,-1.1654934972700002
ACH-000312,-1.28441290561
ACH-000315,-0.981319048114
ACH-000316,-1.18853067241
ACH-000317,-0.970511840969
ACH-000318,-1.19061669441
ACH-000319,-1.28420307481
ACH-000320,-0.992704058133
ACH-000322,-1.08181116634
ACH-000323,-1.3442229014899998
ACH-000324,-1.24287133454
ACH-000329,-1.42771499991
ACH-000330,-1.59278467224
ACH-000331,-1.1116535996899999
ACH-000332,-1.23962477926
ACH-000334,-1.15583439073
ACH-000335,-1.24990191891
ACH-000336,-0.982591145899
ACH-000337,-1.11120428348
ACH-000339,-0.937337095149
ACH-000341,-1.38218526484
ACH-000348,-1.23699951443
ACH-000350,-1.6622751622999998
ACH-000352,-0.782637998753
ACH-000356,-1.14693508751
ACH-000361,-1.04920805525
ACH-000362,-0.975818957543
ACH-000363,-1.3082281445000001
ACH-000364,-1.41787622324
ACH-000365,-1.2317365947499999
ACH-000366,-1.39799860905
ACH-000368,-1.3027573652600002
ACH-000374,-1.00584661449
ACH-000375,-0.8042808731219999
ACH-000376,-1.3654345174
ACH-000381,-0.804971350422
ACH-000383,-0.8555770384229999
ACH-000387,-1.09996391989
ACH-000389,-1.4502212811300002
ACH-000390,-1.28479344421
ACH-000393,-1.01303452457
ACH-000395,-1.17732278226
ACH-000397,-1.25972243444
ACH-000401,-1.24360615642
ACH-000402,-1.2749778453
ACH-000403,-0.880892143329
ACH-000404,-1.0383467108
ACH-000406,-1.04543982031
ACH-000407,-1.4122419750600002
ACH-000408,-1.19039654905
ACH-000410,-1.36211705092
ACH-000411,-1.09568629702
