,HARS (3035)
ACH-000004,-1.46444258619
ACH-000007,-0.961505736925
ACH-000009,-1.28566494926
ACH-000011,-1.2268547115000001
ACH-000012,-1.48531162197
ACH-000013,-1.2616131429700002
ACH-000014,-1.36664139525
ACH-000015,-1.30140510543
ACH-000017,-1.21964139479
ACH-000018,-1.1664429533399998
ACH-000019,-1.39573746736
ACH-000021,-1.05063751546
ACH-000022,-1.40461727266
ACH-000025,-1.23124206928
ACH-000028,-1.13026199017
ACH-000030,-1.12403082681
ACH-000035,-1.15540010066
ACH-000036,-1.48539931424
ACH-000037,-1.49525116708
ACH-000039,-1.27391186924
ACH-000040,-1.29419294921
ACH-000041,-1.3523071074700002
ACH-000042,-1.2164449366799999
ACH-000045,-1.3024983287899998
ACH-000047,-1.11855962069
ACH-000052,-1.2321219835700001
ACH-000053,-1.26712086396
ACH-000054,-1.34110741865
ACH-000055,-1.06381789485
ACH-000060,-1.26200340765
ACH-000067,-1.31400724214
ACH-000070,-1.3490866452599999
ACH-000075,-1.20714912484
ACH-000078,-1.4720179396899997
ACH-000082,-1.40269164449
ACH-000085,-1.37443696269
ACH-000086,-1.3779693051100002
ACH-000087,-1.2177975881999998
ACH-000092,-1.4450538057799998
ACH-000095,-1.2987090029600001
ACH-000097,-1.2436937553
ACH-000098,-1.41079523283
ACH-000099,-1.2574910557899999
ACH-000108,-1.14269421013
ACH-000113,-1.12576212936
ACH-000115,-1.60538335166
ACH-000116,-1.2463017021
ACH-000118,-1.0231527681700001
ACH-000120,-1.44001603215
ACH-000123,-1.0563484143600002
ACH-000127,-1.1845977124299998
ACH-000128,-1.4618861625200001
ACH-000132,-1.6286970398500002
ACH-000133,-1.2795731505399999
ACH-000137,-1.37299789516
ACH-000138,-1.14070088275
ACH-000142,-1.35569988957
ACH-000143,-0.7274210698870001
ACH-000146,-1.46841121891
ACH-000148,-1.10263055264
ACH-000150,-1.4480315212900001
ACH-000152,-1.13453091625
ACH-000153,-1.02805131181
ACH-000159,-1.30457505859
ACH-000160,-1.3743246949799999
ACH-000163,-1.49081301254
ACH-000167,-1.50904292666
ACH-000168,-1.23137828964
ACH-000169,-1.285104497
ACH-000178,-1.07355483863
ACH-000182,-1.12833408766
ACH-000183,-1.170459627
ACH-000188,-1.3812687427099999
ACH-000189,-1.15027180664
ACH-000190,-1.3429093793900002
ACH-000198,-1.21435089054
ACH-000204,-1.0941303901700001
ACH-000206,-1.15521534639
ACH-000207,-1.20532828092
ACH-000211,-1.41472905277
ACH-000215,-1.5932243056400002
ACH-000221,-1.16868460625
ACH-000222,-1.1796081001899998
ACH-000223,-1.13766866574
ACH-000226,-1.05201006422
ACH-000227,-1.39760801481
ACH-000228,-1.1619751918999999
ACH-000231,-1.4471570184600002
ACH-000232,-1.25030813189
ACH-000233,-1.10177794855
ACH-000234,-1.37955895036
ACH-000235,-1.3449115343
ACH-000237,-1.27416605498
ACH-000238,-1.20448516936
ACH-000243,-1.2038629323
ACH-000244,-1.50870999006
ACH-000246,-1.31013016004
ACH-000248,-1.16949306501
ACH-000250,-1.2723488814200001
ACH-000251,-1.02297222244
ACH-000253,-1.0798766045000001
ACH-000255,-1.3706817062299999
ACH-000256,-1.2323262100299999
ACH-000257,-1.58627367599
ACH-000258,-1.33156291815
ACH-000259,-1.2853257121
ACH-000260,-1.27158488567
ACH-000261,-1.1727376026
ACH-000262,-0.975931020594
ACH-000263,-1.42002223542
ACH-000264,-1.5767006922100002
ACH-000265,-1.19085793266
