,CHORDC1 (26973)
ACH-000004,-0.8598219720579999
ACH-000007,-0.974577099826
ACH-000009,-0.798545834357
ACH-000011,-1.26986676565
ACH-000012,-0.893288243572
ACH-000013,-1.15297944799
ACH-000014,-1.3026663215
ACH-000015,-1.2450392259899998
ACH-000017,-1.6587058727700001
ACH-000018,-1.20117342278
ACH-000019,-0.39580086759000005
ACH-000021,-0.82547530763
ACH-000022,-1.3669639043700001
ACH-000025,-0.9471992044249999
ACH-000028,-0.923566462022
ACH-000030,-1.00010986425
ACH-000035,-1.28732380958
ACH-000036,-0.9627446151540001
ACH-000037,-0.867724665435
ACH-000039,-1.08061563005
ACH-000040,-0.9987534981559999
ACH-000041,-1.11726613514
ACH-000042,-1.27207857833
ACH-000045,-1.08371558595
ACH-000047,-1.1421040329799999
ACH-000052,-1.26153748073
ACH-000053,-1.08552157108
ACH-000054,-0.704816512175
ACH-000055,-1.0936240202399998
ACH-000060,-1.03595896541
ACH-000067,-1.0865920112899998
ACH-000070,-1.15682750138
ACH-000075,-1.06051176067
ACH-000078,-0.9994321548909999
ACH-000082,-0.7105741488699999
ACH-000085,-1.29562480269
ACH-000086,-0.818910525035
ACH-000087,-1.0287455475
ACH-000092,-1.0
ACH-000095,-0.943893955814
ACH-000097,-1.09679228708
ACH-000098,-1.14533134483
ACH-000099,-0.9917109384430001
ACH-000108,-0.9477594424500001
ACH-000113,-1.22792891912
ACH-000115,-0.60417131327
ACH-000116,-0.892944714084
ACH-000118,-1.3356298145899999
ACH-000120,-0.999423227741
ACH-000123,-1.14388611062
ACH-000127,-0.863986999873
ACH-000128,-1.2717309670799999
ACH-000132,-0.9143141836480001
ACH-000133,-1.0136489396500001
ACH-000137,-0.7527917989290001
ACH-000138,-1.37905578648
ACH-000142,-1.0945958257100001
ACH-000143,-1.20041233016
ACH-000146,-1.27317557222
ACH-000148,-0.929639322638
ACH-000150,-1.01824720924
ACH-000152,-0.558461603394
ACH-000153,-0.9586155978569999
ACH-000159,-0.589194063615
ACH-000160,-1.28338486509
ACH-000163,-1.00543177859
ACH-000167,-1.22410892606
ACH-000168,-1.3960552754700002
ACH-000169,-1.1490023597499999
ACH-000178,-1.13260183646
ACH-000182,-0.916723313952
ACH-000183,-0.9439899465780001
ACH-000188,-1.33755495715
ACH-000189,-0.636207849715
ACH-000190,-0.731132799719
ACH-000198,-1.0836479261
ACH-000204,-1.27196348317
ACH-000206,-1.1626278305600002
ACH-000207,-1.3491163109
ACH-000211,-0.27365273652399996
ACH-000215,-1.25632661152
ACH-000221,-0.946128333077
ACH-000222,-1.43775308994
ACH-000223,-0.992995352297
ACH-000226,-0.949033522914
ACH-000227,-0.826110140856
ACH-000228,-0.887472486233
ACH-000231,-1.00813262805
ACH-000232,-0.9644602789899999
ACH-000233,-1.30979982209
ACH-000234,-0.906007046972
ACH-000235,-1.02568506045
ACH-000237,-1.03206245548
ACH-000238,-1.4805680289899998
ACH-000243,-0.956325684678
ACH-000244,-1.2184607008200001
ACH-000246,-0.82651159898
ACH-000248,-1.20741816794
ACH-000250,-0.9270249479100001
ACH-000251,-1.59411500625
ACH-000253,-0.9993275532100001
ACH-000255,-1.01082738278
ACH-000256,-0.8870104636149999
ACH-000257,-1.0472816058399999
ACH-000258,-1.26561800159
ACH-000259,-1.22534943054
ACH-000260,-1.28515133339
ACH-000261,-0.894790370108
ACH-000262,-0.942778478228
ACH-000263,-1.0195069171
ACH-000264,-1.20625895483
ACH-000265,-0.96864773205
ACH-000266,-1.17747356565
ACH-000272,-0.9305006804170001
ACH-000273,-1.24923013463
ACH-000274,-1.18213765591
ACH-000277,-1.87485638301
ACH-000278,-1.0270941174700001
ACH-000279,-1.0927052808700002
ACH-000280,-1.13837786802
ACH-000281,-1.01793569678
ACH-000288,-1.1269433087
ACH-000291,-1.11532851201
ACH-000293,-0.840929581958
ACH-000294,-1.48901164484
ACH-000295,-0.880796595664
ACH-000296,-1.1042464753799999
ACH-000302,-0.733528970882
ACH-000304,-1.37357282968
ACH-000307,-1.25775119708
ACH-000308,-0.448910262159
ACH-000310,-0.62487647372
ACH-000311,-1.01958086035
ACH-000312,-1.0536019614799998
ACH-000315,-1.16094076411
