,THEGL (100506564)
ACH-000004,-0.204336311662
ACH-000007,-0.250230307871
ACH-000009,-0.136276765967
ACH-000011,-0.369435399722
ACH-000012,-0.354440134181
ACH-000013,-0.0022944649780300003
ACH-000014,-0.349097104877
ACH-000015,-0.175195757836
ACH-000017,-0.330669927513
ACH-000018,-0.32222238851999996
ACH-000019,-0.50235882557
ACH-000021,-0.29463550290999996
ACH-000022,-0.20806752216200003
ACH-000025,-0.304046266787
ACH-000028,-0.173564285929
ACH-000030,-0.321685197729
ACH-000035,-0.39808799709700005
ACH-000036,-0.185935870385
ACH-000037,-0.156625307348
ACH-000039,-0.16583003554
ACH-000040,-0.194718760115
ACH-000041,-0.13866725448
ACH-000042,-0.224182244089
ACH-000045,-0.00998597083746
ACH-000047,-0.224958830447
ACH-000052,-0.295945470343
ACH-000053,-0.16430404863
ACH-000054,-0.11405619984899999
ACH-000055,-0.327424756318
ACH-000060,-0.47318334545699997
ACH-000067,-0.323811716261
ACH-000070,-0.0752669129428
ACH-000075,-0.281718866314
ACH-000078,-0.154484189375
ACH-000082,-0.156196393751
ACH-000085,-0.25007866054600003
ACH-000086,-0.152718589317
ACH-000087,-0.299787639559
ACH-000092,-0.11849682264900001
ACH-000095,-0.123796269902
ACH-000097,-0.247859245462
ACH-000098,-0.283474242411
ACH-000099,-0.22452510235800002
ACH-000108,-0.14257421698
ACH-000113,-0.177450951626
ACH-000115,-0.17537591917599998
ACH-000116,-0.461664112761
ACH-000118,-0.193982633594
ACH-000120,-0.105712417669
ACH-000123,-0.40591623282300004
ACH-000127,-0.297514420768
ACH-000128,-0.14174476838199998
ACH-000132,-0.29952644753
ACH-000133,-0.20063150690499998
ACH-000137,-0.0302572223667
ACH-000138,-0.0557611142551
ACH-000142,-0.461189648305
ACH-000143,-0.147120706787
ACH-000146,-0.16998314599
ACH-000148,-0.214523142479
ACH-000150,0.112967166894
ACH-000152,-0.245802182886
ACH-000153,-0.569166382622
ACH-000159,-0.43958545672399996
ACH-000160,-0.412243479723
ACH-000163,-0.5077604499
ACH-000167,-0.41248734153000005
ACH-000168,-0.104156244468
ACH-000169,-0.336431094427
ACH-000178,-0.276108015409
ACH-000182,-0.30347540774099996
ACH-000183,-0.050020515420199994
ACH-000188,-0.30736705589200003
ACH-000189,-0.22310860382300002
ACH-000190,-0.323513652422
ACH-000198,-0.25625816811999996
ACH-000204,-0.360260005175
ACH-000206,0.0465161410317
ACH-000207,0.14954888975400002
ACH-000211,-0.444537024791
ACH-000215,-0.278948471248
ACH-000221,-0.43909909400799996
ACH-000222,-0.320213047767
ACH-000223,-0.16834753677099998
ACH-000226,-0.226229763334
ACH-000227,0.047159851541099994
ACH-000228,-0.21831099742600002
ACH-000231,-0.175989372373
ACH-000232,-0.220821571318
ACH-000233,-0.20751798079599998
ACH-000234,-0.154564005559
ACH-000235,-0.161623019437
ACH-000237,-0.167350240028
ACH-000238,0.0916520556215
ACH-000243,-0.282102951116
ACH-000244,-0.0923583437762
ACH-000246,-0.26584057259300004
ACH-000248,-0.0824348738573
ACH-000250,-0.191223073884
ACH-000251,-0.759963255909
ACH-000253,-0.17892566305
ACH-000255,-0.128437478143
ACH-000256,-0.19820120688499998
ACH-000257,-0.306307436216
ACH-000258,0.0278095560555
ACH-000259,-0.208496105627
ACH-000260,-0.27731162509199997
ACH-000261,-0.359052136452
ACH-000262,-0.5831905550909999
ACH-000263,-0.13310975017999999
ACH-000264,-0.136096096167
ACH-000265,-0.21791055528099998
ACH-000266,-0.158767358269
ACH-000272,-0.40595394958000003
ACH-000273,-0.18174128186299998
ACH-000274,-0.105006256975
ACH-000277,-0.143136067747
ACH-000278,-0.116571648683
ACH-000279,-0.160074320283
ACH-000280,-0.026904168389999997
ACH-000281,-0.219878075002
ACH-000288,-0.14158672030799999
ACH-000291,-0.155274516512
ACH-000293,-0.165717884972
ACH-000294,0.0666620892788
ACH-000295,-0.06711392713639999
ACH-000296,-0.498126109555
ACH-000302,-0.350010262262
ACH-000304,0.037281208932900003
ACH-000307,-0.24490969246199998
ACH-000308,-0.22456767459600002
ACH-000310,-0.521169102884
ACH-000311,-0.342988547831
ACH-000312,-0.0664164410068
ACH-000315,-0.09047117010080001
ACH-000316,-0.361518995195
ACH-000317,-0.11484969031199999
ACH-000318,-0.169239803865
ACH-000319,-0.24301546772799998
ACH-000320,-0.225239343847
ACH-000322,-0.0949400882316
ACH-000323,-0.48646068877899995
ACH-000324,-0.240640168327
ACH-000329,-0.118396474435
ACH-000330,-0.644931581144
ACH-000331,-0.146302694904
ACH-000332,-0.11313203921199999
ACH-000334,-0.08361504670719999
ACH-000335,-0.289914999936
ACH-000336,-0.177448953985
ACH-000337,-0.299371799111
ACH-000339,-0.44283453213
ACH-000341,-0.44179681630199996
ACH-000348,-0.34145510431500004
ACH-000350,-0.33647235641400003
ACH-000352,-0.12164457619699999
ACH-000356,-0.209616165635
ACH-000361,-0.268427132032
ACH-000362,-0.22709789668699998
ACH-000363,-0.270385919381
ACH-000364,-0.23059563526500002
ACH-000365,-0.0755644219999
ACH-000366,-0.128133870886
ACH-000368,-0.42987090925
ACH-000374,-0.35277986339699996
ACH-000375,-0.18743391802099998
ACH-000376,-0.0998051323889
ACH-000381,-0.270739202684
ACH-000383,-0.286577827359
ACH-000387,-0.20154063675099998
ACH-000389,-0.42630737304099997
ACH-000390,-0.240513404031
ACH-000393,-0.0590533058213
ACH-000395,-0.36139420719099996
ACH-000397,-0.16124283292400002
ACH-000401,-0.155023572883
ACH-000402,-0.26289046273600003
ACH-000403,-0.285105761455
ACH-000404,-0.286820879717
ACH-000406,-0.274278495919
ACH-000407,-0.0753403707946
ACH-000408,-0.252567377772
ACH-000410,-0.13519888278699999
ACH-000411,-0.26203563731199997
ACH-000414,-0.298321210651
ACH-000415,-0.346296780154
ACH-000416,-0.226010828834
ACH-000420,-0.09080596087480002
ACH-000421,-0.247609189757
ACH-000424,-0.44382989474600004
ACH-000425,-0.40389580640600004
ACH-000426,-0.291247362761
ACH-000427,-0.23196976489100002
ACH-000433,-0.4691437881
ACH-000436,-0.16515943514599998
ACH-000444,-0.153131459273
ACH-000445,-0.329331369726
ACH-000448,-0.155608644208
ACH-000450,-0.19153519984700001
ACH-000452,-0.257192631228
ACH-000454,-0.361636233021
ACH-000458,-0.16784548816599998
ACH-000459,-0.150989437642
ACH-000460,-0.370899821352
ACH-000461,-0.172813353154
ACH-000463,-0.279903635483
ACH-000464,-0.321434420632
ACH-000466,-0.108988580074
ACH-000467,-0.310444096959
ACH-000468,-0.44087499330700003
ACH-000469,-0.167455179096
ACH-000470,-0.283433874802
ACH-000471,-0.184469879988
ACH-000472,-0.17648333110300002
ACH-000473,-0.289000326666
ACH-000475,-0.21241348605000002
ACH-000476,-0.160695654515
ACH-000477,-0.156270238556
ACH-000480,-0.14373382395099998
ACH-000481,-0.24260516221
ACH-000483,-0.168222854909
ACH-000484,0.042575293640800004
ACH-000485,-0.405924209839
ACH-000486,-0.274029065039
ACH-000487,-0.259284239398
ACH-000488,-0.138936864083
ACH-000490,-0.19827709093499998
ACH-000491,-0.00335336364855
ACH-000495,-0.18377595759100002
ACH-000496,-0.375926630575
ACH-000499,-0.09791134262620001
ACH-000500,-0.18271047535999999
ACH-000502,-0.270213329019
ACH-000503,0.12568447792600002
ACH-000505,-0.165648753296
ACH-000507,-0.325153682087
ACH-000510,-0.265403038829
ACH-000511,-0.330264414101
ACH-000512,-0.119235778706
ACH-000516,-0.062661043887
ACH-000517,-0.193658296935
ACH-000518,-0.266344834187
ACH-000520,-0.186375691752
ACH-000521,-0.147999037236
ACH-000522,-0.341610977119
ACH-000524,-0.166418922851
